Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Brenden Bates,82,TE,ACT,0,255,2,Kentucky,CLE,Cleveland Browns
David Bell,18,WR,ACT,0,212,4,Purdue,CLE,Cleveland Browns
Sal Cannella,"",TE,ACT,0,228,1,Auburn,CLE,Cleveland Browns
DeAndre Carter,2,WR,ACT,0,188,8,Sacramento State,CLE,Cleveland Browns
Kaden Davis,89,WR,ACT,0,193,1,NW Missouri State University,CLE,Cleveland Browns
Harold Fannin Jr.,88,TE,ACT,0,241,1,Bowling Green,CLE,Cleveland Browns
Joe Flacco,15,QB,ACT,0,230,19,Delaware,CLE,Cleveland Browns
Luke Floriea,37,WR,ACT,0,179,1,Kent State,CLE,Cleveland Browns
Jerome Ford,34,RB,ACT,0,210,4,Cincinnati,CLE,Cleveland Browns
Dillon Gabriel,"",QB,ACT,0,202,1,Oregon,CLE,Cleveland Browns
Jaelen Gill,"",WR,ACT,0,185,1,Fresno State,CLE,Cleveland Browns
Troy Hairston,36,RB,ACT,0,245,3,Central Michigan,CLE,Cleveland Browns
Dustin Hopkins,7,K,ACT,0,210,12,Florida State,CLE,Cleveland Browns
Jerry Jeudy,3,WR,ACT,0,195,6,Alabama,CLE,Cleveland Browns
Diontae Johnson,16,WR,ACT,0,183,7,Toledo,CLE,Cleveland Browns
Kisean Johnson,83,WR,ACT,0,216,1,Western Kentucky,CLE,Cleveland Browns
Quinshon Judkins,"",RB,UDF,0,219,1,Ohio State,CLE,Cleveland Browns
Gage Larvadain,84,WR,ACT,0,171,1,South Carolina,CLE,Cleveland Browns
Ahmani Marshall,39,RB,ACT,0,225,1,Appalachian State,CLE,Cleveland Browns
Cade McDonald,31,WR,ACT,0,196,1,Miami (Ohio),CLE,Cleveland Browns
David Njoku,85,TE,ACT,0,246,9,Miami,CLE,Cleveland Browns
Kenny Pickett,8,QB,ACT,0,220,4,Pittsburgh,CLE,Cleveland Browns
Dylan Sampson,22,RB,ACT,0,201,1,Tennessee,CLE,Cleveland Browns
Shedeur Sanders,12,QB,ACT,0,212,1,Colorado,CLE,Cleveland Browns
Pierre Strong,20,RB,ACT,0,215,4,South Dakota State,CLE,Cleveland Browns
Andre Szmyt,38,K,ACT,0,200,1,Syracuse,CLE,Cleveland Browns
Jamari Thrash,80,WR,ACT,0,190,2,Louisville,CLE,Cleveland Browns
Cedric Tillman,19,WR,ACT,0,215,3,Tennessee,CLE,Cleveland Browns
Deshaun Watson,4,QB,ACT,0,223,9,Clemson,CLE,Cleveland Browns
Blake Whiteheart,86,TE,ACT,0,250,3,Wake Forest,CLE,Cleveland Browns
Mike Woods,81,WR,ACT,0,204,3,Oklahoma,CLE,Cleveland Browns
