Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Brandon Aubrey,17,K,ACT,0,218,3,Notre Dame,DAL,Dallas Cowboys
Jaydon Blue,34,RB,ACT,0,196,1,Texas,DAL,Dallas Cowboys
Jalen Brooks,83,WR,ACT,0,205,3,South Carolina,DAL,Dallas Cowboys
Parris Campbell,80,WR,ACT,0,208,7,Ohio State,DAL,Dallas Cowboys
Jalen Cropper,16,WR,ACT,0,172,1,Fresno State,DAL,Dallas Cowboys
Rivaldo Fairweather,45,TE,ACT,0,252,1,Auburn,DAL,Dallas Cowboys
Princeton Fant,85,TE,ACT,0,235,2,Tennessee,DAL,Dallas Cowboys
Jake Ferguson,87,TE,ACT,0,244,4,Wisconsin,DAL,Dallas Cowboys
Ryan Flournoy,19,WR,ACT,0,200,2,Southeast Missouri State,DAL,Dallas Cowboys
Will Grier,15,QB,ACT,0,220,6,West Virginia,DAL,Dallas Cowboys
Kelvin Harmon,84,WR,ACT,0,215,2,N.C. State,DAL,Dallas Cowboys
Traeshon Holden,7,WR,ACT,0,205,1,Oregon,DAL,Dallas Cowboys
Josh Kelly,14,WR,ACT,0,195,1,Texas Tech,DAL,Dallas Cowboys
CeeDee Lamb,88,WR,ACT,0,200,6,Oklahoma,DAL,Dallas Cowboys
Hunter Luepke,40,RB,ACT,0,238,3,North Dakota State,DAL,Dallas Cowboys
Phil Mafah,37,RB,ACT,0,234,1,Clemson,DAL,Dallas Cowboys
Joe Milton III,10,QB,ACT,0,246,2,Tennessee,DAL,Dallas Cowboys
Jonathan Mingo,81,WR,ACT,0,220,3,Mississippi,DAL,Dallas Cowboys
Tyler Neville,46,TE,ACT,0,248,1,Virginia,DAL,Dallas Cowboys
George Pickens,14,WR,ACT,0,200,4,Georgia,DAL,Dallas Cowboys
Dak Prescott,4,QB,ACT,0,238,10,Mississippi State,DAL,Dallas Cowboys
Miles Sanders,27,RB,ACT,0,211,7,Penn State,DAL,Dallas Cowboys
Luke Schoonmaker,86,TE,ACT,0,250,3,Michigan,DAL,Dallas Cowboys
Brevyn Spann-Ford,89,TE,ACT,0,270,2,Minnesota,DAL,Dallas Cowboys
John Stephens Jr.,81,TE,ACT,0,221,3,Louisiana-Lafayette,DAL,Dallas Cowboys
Jalen Tolbert,1,WR,ACT,0,195,4,South Alabama,DAL,Dallas Cowboys
KaVontae Turpin,9,WR,ACT,0,153,4,TCU,DAL,Dallas Cowboys
Deuce Vaughn,42,RB,ACT,0,176,3,Kansas State,DAL,Dallas Cowboys
Javonte Williams,33,RB,ACT,0,220,5,North Carolina,DAL,Dallas Cowboys
