Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Nate Adkins,45,TE,ACT,0,252,3,South Carolina,DEN,Denver Broncos
Tyler Badie,28,RB,ACT,0,197,2,Missouri,DEN,Denver Broncos
Michael Bandy,83,WR,ACT,0,190,3,San Diego,DEN,Denver Broncos
Pat Bryant,13,WR,ACT,0,204,1,Illinois,DEN,Denver Broncos
Joaquin Davis,80,WR,ACT,0,195,1,North Carolina Central,DEN,Denver Broncos
J.K. Dobbins,"",RB,ACT,0,215,6,Ohio State,DEN,Denver Broncos
Sam Ehlinger,4,QB,ACT,0,222,5,Texas,DEN,Denver Broncos
Evan Engram,1,TE,ACT,0,240,9,Mississippi,DEN,Denver Broncos
Audric Estimé,23,RB,ACT,0,227,2,Notre Dame,DEN,Denver Broncos
Troy Franklin,16,WR,ACT,0,180,2,Oregon,DEN,Denver Broncos
RJ Harvey,"",RB,UDF,0,220,1,UCF,DEN,Denver Broncos
Courtney Jackson,89,WR,ACT,0,179,1,Arkansas State,DEN,Denver Broncos
Lucas Krull,85,TE,ACT,0,260,3,Pittsburgh,DEN,Denver Broncos
Caleb Lohner,84,TE,ACT,0,250,1,Utah,DEN,Denver Broncos
Wil Lutz,3,K,ACT,0,184,10,Georgia State,DEN,Denver Broncos
Jaleel McLaughlin,38,RB,ACT,0,187,3,Youngstown State,DEN,Denver Broncos
Marvin Mims Jr.,19,WR,ACT,0,182,3,Oklahoma,DEN,Denver Broncos
Jerjuan Newton,81,WR,ACT,0,192,1,Toledo,DEN,Denver Broncos
Bo Nix,10,QB,ACT,0,217,2,Oregon,DEN,Denver Broncos
A.T. Perry,87,WR,ACT,0,205,2,Wake Forest,DEN,Denver Broncos
Caden Prieskorn,"",TE,ACT,0,255,1,Mississippi,DEN,Denver Broncos
Trent Sherfield,5,WR,ACT,0,206,8,Vanderbilt,DEN,Denver Broncos
Jarrett Stidham,8,QB,ACT,0,215,6,Auburn,DEN,Denver Broncos
Courtland Sutton,14,WR,ACT,0,216,8,SMU,DEN,Denver Broncos
Adam Trautman,82,TE,ACT,0,253,6,Dayton,DEN,Denver Broncos
Devaughn Vele,17,WR,ACT,0,210,2,Utah,DEN,Denver Broncos
Blake Watson,25,RB,ACT,0,195,2,Memphis,DEN,Denver Broncos
Kyrese Rowan,"",WR,ACT,0,185,1,Utah State,DEN,Denver Broncos
