Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Kyle Allen,8,QB,ACT,0,210,7,Houston,DET,Detroit Lions
Jake Bates,39,K,ACT,0,202,2,Arkansas,DET,Detroit Lions
Ronnie Bell,10,WR,ACT,0,190,3,Michigan,DET,Detroit Lions
Luke Deal,82,TE,ACT,0,259,1,Auburn,DET,Detroit Lions
Jahmyr Gibbs,"",RB,ACT,0,202,3,Alabama,DET,Detroit Lions
Jared Goff,16,QB,ACT,0,217,10,California,DET,Detroit Lions
Hendon Hooker,2,QB,ACT,0,221,3,Tennessee,DET,Detroit Lions
Zach Horton,40,TE,ACT,0,251,1,Indiana,DET,Detroit Lions
Jakobie Keeney-James,80,WR,ACT,0,195,1,UMass Amherst,DET,Detroit Lions
Tom Kennedy,85,WR,ACT,0,195,3,Bryant,DET,Detroit Lions
Sam LaPorta,87,TE,ACT,0,245,3,Iowa,DET,Detroit Lions
Dominic Lovett,19,WR,ACT,0,185,1,Georgia,DET,Detroit Lions
Jackson Meeks,83,WR,ACT,0,210,1,Syracuse,DET,Detroit Lions
David Montgomery,5,RB,ACT,0,230,7,Iowa State,DET,Detroit Lions
Tim Patrick,12,WR,ACT,0,210,8,Utah,DET,Detroit Lions
Kalif Raymond,11,WR,ACT,0,180,9,Holy Cross,DET,Detroit Lions
Craig Reynolds,13,RB,ACT,0,216,6,Kutztown,DET,Detroit Lions
Kye Robichaux,25,RB,ACT,0,217,1,Boston College,DET,Detroit Lions
Amon-Ra St. Brown,14,WR,ACT,0,202,5,USC,DET,Detroit Lions
Malik Taylor,86,WR,ACT,0,220,5,Ferris State,DET,Detroit Lions
Isaac TeSlaa,18,WR,ACT,0,214,1,Arkansas,DET,Detroit Lions
Anthony Tyus III,42,RB,ACT,0,226,1,Ohio,DET,Detroit Lions
Sione Vaki,33,RB,ACT,0,213,2,Utah,DET,Detroit Lions
Jameson Williams,1,WR,ACT,0,180,4,Alabama,DET,Detroit Lions
Brock Wright,89,TE,ACT,0,254,5,Notre Dame,DET,Detroit Lions
Kenny Yeboah,88,TE,ACT,0,250,5,Mississippi,DET,Detroit Lions
Shane Zylstra,84,TE,ACT,0,244,4,Minnesota State,DET,Detroit Lions
