Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Chris Brooks,30,RB,ACT,0,219,3,BYU,GB,Green Bay Packers
Sam Brown Jr.,"",WR,ACT,0,195,1,Miami,GB,Green Bay Packers
Sean Clifford,16,QB,ACT,0,217,2,Penn State,GB,Green Bay Packers
Romeo Doubs,87,WR,ACT,0,204,4,Nevada,GB,Green Bay Packers
Taylor Elgersma,19,QB,ACT,0,227,1,"",GB,Green Bay Packers
John FitzPatrick,86,TE,ACT,0,262,4,Georgia,GB,Green Bay Packers
Matthew Golden,22,WR,ACT,0,195,1,Texas,GB,Green Bay Packers
Alex Hale,16,K,ACT,0,203,1,Oklahoma State,GB,Green Bay Packers
Mecole Hardman,6,WR,ACT,0,187,7,Georgia,GB,Green Bay Packers
Malik Heath,18,WR,ACT,0,213,3,Mississippi,GB,Green Bay Packers
Julian Hicks,81,WR,ACT,0,201,1,Albany,GB,Green Bay Packers
Josh Jacobs,8,RB,ACT,0,223,7,Alabama,GB,Green Bay Packers
Amar Johnson,46,RB,ACT,0,205,1,South Dakota State,GB,Green Bay Packers
Cornelius Johnson,84,WR,ACT,0,212,1,Michigan,GB,Green Bay Packers
Tucker Kraft,85,TE,ACT,0,259,3,South Dakota State,GB,Green Bay Packers
MarShawn Lloyd,32,RB,ACT,0,220,2,USC,GB,Green Bay Packers
Jordan Love,10,QB,ACT,0,219,6,Utah State,GB,Green Bay Packers
Johnny Lumpkin,43,TE,ACT,0,264,1,Louisiana-Lafayette,GB,Green Bay Packers
Brandon McManus,17,K,ACT,0,201,12,Temple,GB,Green Bay Packers
Bo Melton,80,WR,ACT,0,189,2,Rutgers,GB,Green Bay Packers
Luke Musgrave,88,TE,ACT,0,253,3,Oregon State,GB,Green Bay Packers
Jayden Reed,11,WR,ACT,0,187,3,Michigan State,GB,Green Bay Packers
Ben Sims,89,TE,ACT,0,250,3,Baylor,GB,Green Bay Packers
Messiah Swinson,48,TE,ACT,0,259,1,Arizona State,GB,Green Bay Packers
Christian Watson,9,WR,ACT,0,208,4,North Dakota State,GB,Green Bay Packers
Jalen White,35,RB,ACT,0,205,1,Georgia Southern,GB,Green Bay Packers
Dontayvion Wicks,13,WR,ACT,0,206,3,Virginia,GB,Green Bay Packers
Savion Williams,83,WR,ACT,0,222,1,TCU,GB,Green Bay Packers
Malik Willis,2,QB,ACT,0,225,4,Liberty,GB,Green Bay Packers
Emanuel Wilson,31,RB,ACT,0,226,3,Fort Valley State College,GB,Green Bay Packers
