Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Braxton Berrios,17,WR,ACT,0,185,8,Miami,HOU,Houston Texans
British Brooks,44,RB,ACT,0,225,2,North Carolina,HOU,Houston Texans
Nick Chubb,"",RB,ACT,0,227,8,Georgia,HOU,Houston Texans
Nico Collins,12,WR,ACT,0,222,5,Michigan,HOU,Houston Texans
Tank Dell,3,WR,ACT,0,165,3,Houston,HOU,Houston Texans
Ka'imi Fairbairn,15,K,ACT,0,183,10,UCLA,HOU,Houston Texans
Jayden Higgins,81,WR,ACT,0,215,1,Iowa State,HOU,Houston Texans
Xavier Hutchinson,19,WR,ACT,0,210,3,Iowa State,HOU,Houston Texans
Daniel Jackson,85,WR,ACT,0,195,1,Minnesota,HOU,Houston Texans
Xavier Johnson,89,WR,ACT,0,204,1,Ohio State,HOU,Houston Texans
Johnny Johnson III,88,WR,ACT,0,199,1,Oregon,HOU,Houston Texans
Brevin Jordan,9,TE,ACT,0,245,5,Miami,HOU,Houston Texans
Jawhar Jordan,22,RB,ACT,0,186,1,Louisville,HOU,Houston Texans
Christian Kirk,13,WR,ACT,0,200,8,Texas A&M,HOU,Houston Texans
Luke Lachey,42,TE,ACT,0,247,1,Iowa,HOU,Houston Texans
Woody Marks,27,RB,ACT,0,208,1,USC,HOU,Houston Texans
Graham Mertz,18,QB,ACT,0,216,1,Florida,HOU,Houston Texans
John Metchie III,8,WR,ACT,0,195,3,Alabama,HOU,Houston Texans
Davis Mills,10,QB,ACT,0,225,5,Stanford,HOU,Houston Texans
Joe Mixon,28,RB,ACT,0,220,9,Oklahoma,HOU,Houston Texans
Jaylin Noel,82,WR,ACT,0,200,1,Iowa State,HOU,Houston Texans
Dare Ogunbowale,33,RB,ACT,0,205,7,Wisconsin,HOU,Houston Texans
Dameon Pierce,31,RB,ACT,0,215,4,Florida,HOU,Houston Texans
Dalton Schultz,86,TE,ACT,0,242,8,Stanford,HOU,Houston Texans
Kedon Slovis,16,QB,ACT,0,223,1,BYU,HOU,Houston Texans
Irv Smith,83,TE,ACT,0,240,6,Alabama,HOU,Houston Texans
Cade Stover,87,TE,ACT,0,251,2,Ohio State,HOU,Houston Texans
C.J. Stroud,7,QB,ACT,0,218,3,Ohio State,HOU,Houston Texans
J.J. Taylor,26,RB,ACT,0,185,3,Arizona,HOU,Houston Texans
Justin Watson,84,WR,ACT,0,215,6,Penn,HOU,Houston Texans
Jared Wayne,14,WR,ACT,0,210,1,Pittsburgh,HOU,Houston Texans
