Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Salvon Ahmed,36,RB,ACT,0,197,5,Washington,IND,Indianapolis Colts
Ajou Ajou,9,WR,ACT,0,218,1,Garden City CC,IND,Indianapolis Colts
Mo Alie-Cox,81,TE,ACT,0,267,8,Virginia Commonwealth Univ.,IND,Indianapolis Colts
Jason Bean,8,QB,ACT,0,196,2,Kansas,IND,Indianapolis Colts
Ulysses Bentley IV,37,RB,ACT,0,201,1,Mississippi,IND,Indianapolis Colts
Josh Downs,1,WR,ACT,0,171,3,North Carolina,IND,Indianapolis Colts
Ashton Dulin,16,WR,ACT,0,215,7,Malone,IND,Indianapolis Colts
DJ Giddens,21,RB,ACT,0,212,1,Kansas State,IND,Indianapolis Colts
Tyler Goodson,31,RB,ACT,0,197,3,Iowa,IND,Indianapolis Colts
Anthony Gould,6,WR,ACT,0,174,2,Oregon State,IND,Indianapolis Colts
Khalil Herbert,26,RB,ACT,0,212,5,Virginia Tech,IND,Indianapolis Colts
Daniel Jones,17,QB,ACT,0,230,7,Duke,IND,Indianapolis Colts
Tyler Kahmann,"",WR,ACT,0,207,1,Emporia State University,IND,Indianapolis Colts
Riley Leonard,15,QB,ACT,0,216,1,Notre Dame,IND,Indianapolis Colts
Will Mallory,86,TE,ACT,0,239,3,Miami,IND,Indianapolis Colts
Maximilian Mang,"",TE,ACT,0,267,1,Syracuse,IND,Indianapolis Colts
Sean McKeon,49,TE,ACT,0,255,5,Michigan,IND,Indianapolis Colts
Adonai Mitchell,10,WR,ACT,0,205,2,Texas,IND,Indianapolis Colts
D.J. Montgomery,2,WR,ACT,0,201,3,Austin Peay,IND,Indianapolis Colts
Andrew Ogletree,85,TE,ACT,0,260,4,Youngstown State,IND,Indianapolis Colts
Albert Okwuegbunam,83,TE,ACT,0,258,6,Missouri,IND,Indianapolis Colts
Coleman Owen,"",WR,ACT,0,191,1,Ohio,IND,Indianapolis Colts
Landon Parker,8,WR,ACT,0,215,1,Troy,IND,Indianapolis Colts
Alec Pierce,14,WR,ACT,0,211,4,Cincinnati,IND,Indianapolis Colts
Michael Pittman,11,WR,ACT,0,223,6,USC,IND,Indianapolis Colts
Anthony Richardson,5,QB,ACT,0,244,3,Florida,IND,Indianapolis Colts
Spencer Shrader,3,K,ACT,0,201,2,Notre Dame,IND,Indianapolis Colts
Blayne Taylor,"",WR,ACT,0,212,1,Abilene Christian,IND,Indianapolis Colts
Jonathan Taylor,28,RB,ACT,0,226,6,Wisconsin,IND,Indianapolis Colts
Laquon Treadwell,13,WR,ACT,0,215,9,Mississippi,IND,Indianapolis Colts
Maddux Trujillo,48,K,ACT,0,172,1,Temple,IND,Indianapolis Colts
Tyler Warren,84,TE,ACT,0,256,1,Penn State,IND,Indianapolis Colts
Jelani Woods,80,TE,ACT,0,253,4,Virginia,IND,Indianapolis Colts
