Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
LeQuint Allen,36,RB,ACT,0,201,1,Syracuse,JAX,Jacksonville Jaguars
Tank Bigsby,4,RB,ACT,0,215,3,Auburn,JAX,Jacksonville Jaguars
Shawn Bowman,49,TE,ACT,0,249,1,Rutgers,JAX,Jacksonville Jaguars
Chandler Brayboy,15,WR,ACT,0,199,1,Elon,JAX,Jacksonville Jaguars
Dyami Brown,5,WR,ACT,0,195,5,North Carolina,JAX,Jacksonville Jaguars
Cam Camper,17,WR,ACT,0,197,1,Boise State,JAX,Jacksonville Jaguars
Joshua Cephus,80,WR,ACT,0,193,1,Texas-San Antonio,JAX,Jacksonville Jaguars
John Copenhaver,43,TE,ACT,0,240,1,North Carolina,JAX,Jacksonville Jaguars
Travis Etienne,1,RB,ACT,0,215,5,Clemson,JAX,Jacksonville Jaguars
Seth Henigan,19,QB,ACT,0,215,1,Memphis,JAX,Jacksonville Jaguars
Patrick Herbert,47,TE,ACT,0,255,1,Oregon,JAX,Jacksonville Jaguars
Trenton Irwin,"",WR,ACT,0,204,6,Stanford,JAX,Jacksonville Jaguars
Ja'Quinden Jackson,38,RB,ACT,0,233,1,Arkansas,JAX,Jacksonville Jaguars
J.J. Jones,87,WR,ACT,0,210,1,North Carolina,JAX,Jacksonville Jaguars
Darius Lassiter,88,WR,ACT,0,205,1,BYU,JAX,Jacksonville Jaguars
Trevor Lawrence,16,QB,ACT,0,220,5,Clemson,JAX,Jacksonville Jaguars
Cam Little,39,K,ACT,0,172,2,Arkansas,JAX,Jacksonville Jaguars
Hunter Long,84,TE,ACT,0,243,5,Boston College,JAX,Jacksonville Jaguars
Quintin Morris,45,TE,ACT,0,252,4,Bowling Green,JAX,Jacksonville Jaguars
Nick Mullens,12,QB,ACT,0,210,7,Southern Mississippi,JAX,Jacksonville Jaguars
Johnny Mundt,81,TE,ACT,0,243,8,Oregon,JAX,Jacksonville Jaguars
Eli Pancol,10,WR,ACT,0,205,1,Duke,JAX,Jacksonville Jaguars
Louis Rees-Zammit,89,WR,ACT,0,209,1,"",JAX,Jacksonville Jaguars
Dorian Singer,13,WR,ACT,0,180,1,Utah,JAX,Jacksonville Jaguars
Brenton Strange,85,TE,ACT,0,253,3,Penn State,JAX,Jacksonville Jaguars
Brian Thomas Jr.,7,WR,ACT,0,209,2,LSU,JAX,Jacksonville Jaguars
Austin Trammell,86,WR,ACT,0,185,3,Rice,JAX,Jacksonville Jaguars
Bhayshul Tuten,33,RB,ACT,0,209,1,Virginia Tech,JAX,Jacksonville Jaguars
Parker Washington,11,WR,ACT,0,204,3,Penn State,JAX,Jacksonville Jaguars
John Wolford,18,QB,ACT,0,200,5,Wake Forest,JAX,Jacksonville Jaguars
