Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Elijhah Badger,80,WR,ACT,0,192,1,Florida,KC,Kansas City Chiefs
Jake Briningstool,88,TE,ACT,0,240,1,Clemson,KC,Kansas City Chiefs
Marquise Brown,5,WR,ACT,0,180,7,Oklahoma,KC,Kansas City Chiefs
Jason Brownlee,89,WR,ACT,0,202,2,Southern Mississippi,KC,Kansas City Chiefs
Harrison Butker,7,K,ACT,0,205,9,Georgia Tech,KC,Kansas City Chiefs
Mac Dalena,84,WR,ACT,0,180,1,Fresno State,KC,Kansas City Chiefs
Noah Gray,83,TE,ACT,0,240,5,Duke,KC,Kansas City Chiefs
Jimmy Holiday,"",WR,ACT,0,211,1,Louisiana Tech,KC,Kansas City Chiefs
Kareem Hunt,29,RB,ACT,0,216,9,Toledo,KC,Kansas City Chiefs
Keaontay Ingram,30,RB,RES,0,221,3,USC,KC,Kansas City Chiefs
Travis Kelce,87,TE,ACT,0,250,13,Cincinnati,KC,Kansas City Chiefs
Patrick Mahomes,15,QB,ACT,0,225,9,Texas Tech,KC,Kansas City Chiefs
Gardner Minshew,17,QB,ACT,0,225,7,Washington State,KC,Kansas City Chiefs
Elijah Mitchell,25,RB,ACT,0,200,5,Louisiana-Lafayette,KC,Kansas City Chiefs
Skyy Moore,24,WR,ACT,0,195,4,Western Michigan,KC,Kansas City Chiefs
Chris Oladokun,19,QB,ACT,0,213,1,South Dakota State,KC,Kansas City Chiefs
Isiah Pacheco,10,RB,ACT,0,216,4,Rutgers,KC,Kansas City Chiefs
Nikko Remigio,81,WR,ACT,0,187,1,Fresno State,KC,Kansas City Chiefs
Rashee Rice,4,WR,ACT,0,203,3,SMU,KC,Kansas City Chiefs
Justyn Ross,8,WR,ACT,0,210,3,Clemson,KC,Kansas City Chiefs
Jalen Royals,11,WR,ACT,0,195,1,Utah State,KC,Kansas City Chiefs
Brashard Smith,30,RB,ACT,0,196,1,SMU,KC,Kansas City Chiefs
JuJu Smith-Schuster,9,WR,ACT,0,215,9,USC,KC,Kansas City Chiefs
Geor'Quarius Spivey,"",TE,ACT,0,240,1,Mississippi State,KC,Kansas City Chiefs
Carson Steele,42,RB,ACT,0,228,2,UCLA,KC,Kansas City Chiefs
Tyquan Thornton,19,WR,ACT,0,185,4,Baylor,KC,Kansas City Chiefs
Robert Tonyan,85,TE,ACT,0,240,7,Indiana State,KC,Kansas City Chiefs
Tre Watson,46,TE,ACT,0,250,1,Texas A&M,KC,Kansas City Chiefs
Jared Wiley,12,TE,ACT,0,249,2,TCU,KC,Kansas City Chiefs
Xavier Worthy,1,WR,ACT,0,165,2,Texas,KC,Kansas City Chiefs
Elijah Young,34,RB,ACT,0,198,1,Western Kentucky,KC,Kansas City Chiefs
Bailey Zappe,14,QB,ACT,0,215,4,Western Kentucky,KC,Kansas City Chiefs
