Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Alex Bachman,81,WR,ACT,0,190,2,Wake Forest,LV,Las Vegas Raiders
Jack Bech,18,WR,UDF,0,214,1,TCU,LV,Las Vegas Raiders
Brock Bowers,89,TE,ACT,0,230,2,Georgia,LV,Las Vegas Raiders
Carter Bradley,14,QB,ACT,0,213,1,South Alabama,LV,Las Vegas Raiders
Daniel Carlson,8,K,ACT,0,215,8,Auburn,LV,Las Vegas Raiders
Chris Collier,33,RB,ACT,0,210,2,University of Lock Haven,LV,Las Vegas Raiders
Pat Conroy,86,TE,ACT,0,240,1,Old Dominion,LV,Las Vegas Raiders
Zakhari Franklin,82,WR,ACT,0,204,1,Illinois,LV,Las Vegas Raiders
Qadir Ismail,84,TE,ACT,0,232,1,Samford,LV,Las Vegas Raiders
Shedrick Jackson,4,WR,ACT,0,200,1,Auburn,LV,Las Vegas Raiders
Ketron Jackson Jr.,85,WR,ACT,0,203,1,Baylor,LV,Las Vegas Raiders
Ashton Jeanty,2,RB,ACT,0,211,1,Boise State,LV,Las Vegas Raiders
Collin Johnson,17,WR,ACT,0,222,5,Texas,LV,Las Vegas Raiders
Dylan Laube,23,RB,ACT,0,206,2,New Hampshire,LV,Las Vegas Raiders
Michael Mayer,87,TE,ACT,0,265,3,Notre Dame,LV,Las Vegas Raiders
Sincere McCormick,28,RB,ACT,0,205,3,Texas-San Antonio,LV,Las Vegas Raiders
Tommy Mellott,19,WR,ACT,0,200,1,Montana State,LV,Las Vegas Raiders
Jakobi Meyers,16,WR,ACT,0,200,7,N.C. State,LV,Las Vegas Raiders
Cam Miller,5,QB,ACT,0,215,1,North Dakota State,LV,Las Vegas Raiders
Raheem Mostert,31,RB,ACT,0,195,11,Purdue,LV,Las Vegas Raiders
Aidan O'Connell,12,QB,ACT,0,210,3,Purdue,LV,Las Vegas Raiders
Kyle Philips,15,WR,ACT,0,189,3,UCLA,LV,Las Vegas Raiders
Carter Runyon,46,TE,ACT,0,243,1,Towson,LV,Las Vegas Raiders
Justin Shorter,88,TE,ACT,0,228,3,Florida,LV,Las Vegas Raiders
Geno Smith,7,QB,ACT,0,221,13,West Virginia,LV,Las Vegas Raiders
Key'Shawn Smith,83,WR,ACT,0,187,1,SMU,LV,Las Vegas Raiders
Ian Thomas,80,TE,ACT,0,260,8,Indiana,LV,Las Vegas Raiders
Dont'e Thornton Jr.,10,WR,ACT,0,205,1,Tennessee,LV,Las Vegas Raiders
Tre Tucker,1,WR,ACT,0,185,3,Cincinnati,LV,Las Vegas Raiders
Zamir White,3,RB,ACT,0,215,4,Georgia,LV,Las Vegas Raiders
