Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Dalevon Campbell,38,WR,ACT,0,220,1,South Carolina,LAC,Los Angeles Chargers
McCallan Castles,46,TE,ACT,0,252,1,Tennessee,LAC,Los Angeles Chargers
Tyler Conklin,83,TE,ACT,0,248,8,Central Michigan,LAC,Los Angeles Chargers
Derius Davis,12,WR,ACT,0,165,3,TCU,LAC,Los Angeles Chargers
Cameron Dicker,11,K,ACT,0,216,4,Texas,LAC,Los Angeles Chargers
Will Dissly,89,TE,ACT,0,265,8,Washington,LAC,Los Angeles Chargers
Tucker Fisk,42,TE,ACT,0,285,2,Stanford,LAC,Los Angeles Chargers
Dez Fitzpatrick,87,WR,ACT,0,208,2,Louisville,LAC,Los Angeles Chargers
Oronde Gadsden II,86,TE,ACT,0,236,1,Syracuse,LAC,Los Angeles Chargers
Luke Grimm,37,WR,ACT,0,190,1,Kansas,LAC,Los Angeles Chargers
Omarion Hampton,8,RB,ACT,0,220,1,North Carolina,LAC,Los Angeles Chargers
Najee Harris,22,RB,ACT,0,242,5,Alabama,LAC,Los Angeles Chargers
Tre Harris,"",WR,UDF,0,205,1,Mississippi,LAC,Los Angeles Chargers
Hassan Haskins,28,RB,ACT,0,228,4,Michigan,LAC,Los Angeles Chargers
Taylor Heinicke,4,QB,ACT,0,210,11,Old Dominion,LAC,Los Angeles Chargers
Justin Herbert,10,QB,ACT,0,236,6,Oregon,LAC,Los Angeles Chargers
Jaylen Johnson,39,WR,ACT,0,194,1,East Carolina,LAC,Los Angeles Chargers
Quentin Johnston,1,WR,ACT,0,208,3,TCU,LAC,Los Angeles Chargers
Stevo Klotz,41,TE,ACT,0,260,1,Iowa State,LAC,Los Angeles Chargers
KeAndre Lambert-Smith,84,WR,ACT,0,182,1,Auburn,LAC,Los Angeles Chargers
Trey Lance,5,QB,ACT,0,226,5,North Dakota State,LAC,Los Angeles Chargers
Ladd McConkey,15,WR,ACT,0,185,2,Georgia,LAC,Los Angeles Chargers
Jaret Patterson,34,RB,ACT,0,195,2,Buffalo,LAC,Los Angeles Chargers
Jordan Petaia,49,TE,ACT,0,227,1,"",LAC,Los Angeles Chargers
Jalen Reagor,88,WR,ACT,0,197,6,TCU,LAC,Los Angeles Chargers
Brenden Rice,82,WR,ACT,0,210,2,USC,LAC,Los Angeles Chargers
Raheim Sanders,35,RB,ACT,0,230,1,South Carolina,LAC,Los Angeles Chargers
DJ Uiagalelei,13,QB,ACT,0,252,1,Florida State,LAC,Los Angeles Chargers
Kimani Vidal,30,RB,ACT,0,215,2,Troy,LAC,Los Angeles Chargers
Mike Williams,81,WR,ACT,0,218,9,Clemson,LAC,Los Angeles Chargers
