Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Davante Adams,17,WR,ACT,0,215,12,Fresno State,LAR,Los Angeles Rams
Davis Allen,87,TE,ACT,0,251,3,Clemson,LAR,Los Angeles Rams
Tutu Atwell,5,WR,ACT,0,165,5,Louisville,LAR,Los Angeles Rams
Stetson Bennett,13,QB,ACT,0,190,2,Georgia,LAR,Los Angeles Rams
Blake Corum,22,RB,ACT,0,210,2,Michigan,LAR,Los Angeles Rams
Britain Covey,10,WR,ACT,0,173,4,Utah,LAR,Los Angeles Rams
Tru Edwards,82,WR,ACT,0,201,1,Louisiana Tech,LAR,Los Angeles Rams
Terrance Ferguson,"",TE,UDF,0,255,1,Oregon,LAR,Los Angeles Rams
Jimmy Garoppolo,11,QB,ACT,0,225,12,Eastern Illinois,LAR,Los Angeles Rams
Tyler Higbee,89,TE,ACT,0,255,10,Western Kentucky,LAR,Los Angeles Rams
Jarquez Hunter,35,RB,ACT,0,212,1,Auburn,LAR,Los Angeles Rams
Joshua Karty,16,K,ACT,0,208,2,Stanford,LAR,Los Angeles Rams
Konata Mumpfield,15,WR,ACT,0,185,1,Pittsburgh,LAR,Los Angeles Rams
Puka Nacua,12,WR,ACT,0,212,3,BYU,LAR,Los Angeles Rams
Colby Parkinson,84,TE,ACT,0,265,6,Stanford,LAR,Los Angeles Rams
Brennan Presley,81,WR,ACT,0,170,1,Oklahoma State,LAR,Los Angeles Rams
Mark Redman,83,TE,ACT,0,255,1,Louisville,LAR,Los Angeles Rams
Ronnie Rivers,20,RB,ACT,0,192,4,Fresno State,LAR,Los Angeles Rams
Cody Schrader,32,RB,ACT,0,214,2,Missouri,LAR,Los Angeles Rams
Xavier Smith,19,WR,ACT,0,174,2,Florida A&M,LAR,Los Angeles Rams
Matthew Stafford,9,QB,ACT,0,214,17,Georgia,LAR,Los Angeles Rams
Drake Stoops,6,WR,ACT,0,189,1,Oklahoma,LAR,Los Angeles Rams
Anthony Torres,46,TE,ACT,0,250,1,Toledo,LAR,Los Angeles Rams
Jordan Waters,36,RB,ACT,0,215,1,N.C. State,LAR,Los Angeles Rams
Jordan Whittington,88,WR,ACT,0,202,2,Texas,LAR,Los Angeles Rams
Kyren Williams,23,RB,ACT,0,202,4,Notre Dame,LAR,Los Angeles Rams
Mario Williams,86,WR,ACT,0,178,1,Tulane,LAR,Los Angeles Rams
