Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Jordan Addison,3,WR,ACT,0,175,3,USC,MIN,Minnesota Vikings
Gavin Bartholomew,86,TE,ACT,0,246,1,Pittsburgh,MIN,Minnesota Vikings
Silas Bolden,83,WR,ACT,0,160,1,Texas,MIN,Minnesota Vikings
Max Brosmer,12,QB,ACT,0,217,1,Minnesota,MIN,Minnesota Vikings
Ty Chandler,32,RB,ACT,0,204,4,North Carolina,MIN,Minnesota Vikings
Tai Felton,13,WR,ACT,0,183,1,Maryland,MIN,Minnesota Vikings
Dontae Fleming,19,WR,ACT,0,180,1,Tulane,MIN,Minnesota Vikings
T.J. Hockenson,87,TE,ACT,0,248,7,Iowa,MIN,Minnesota Vikings
Sam Howell,8,QB,ACT,0,225,4,North Carolina,MIN,Minnesota Vikings
Lucky Jackson,81,WR,ACT,0,186,1,Western Kentucky,MIN,Minnesota Vikings
Justin Jefferson,18,WR,ACT,0,195,6,LSU,MIN,Minnesota Vikings
Aaron Jones,33,RB,ACT,0,208,9,Texas-El Paso,MIN,Minnesota Vikings
Jeshaun Jones,82,WR,ACT,0,188,1,Maryland,MIN,Minnesota Vikings
Tim Jones,14,WR,ACT,0,200,4,Southern Mississippi,MIN,Minnesota Vikings
Robert Lewis,85,WR,ACT,0,188,1,Auburn,MIN,Minnesota Vikings
Jordan Mason,27,RB,ACT,0,223,4,Georgia Tech,MIN,Minnesota Vikings
J.J. McCarthy,9,QB,ACT,0,219,2,Michigan,MIN,Minnesota Vikings
Rondale Moore,4,WR,ACT,0,180,5,Purdue,MIN,Minnesota Vikings
Jalen Nailor,1,WR,ACT,0,190,4,Michigan State,MIN,Minnesota Vikings
Bryson Nesbit,46,TE,ACT,0,238,1,North Carolina,MIN,Minnesota Vikings
Josh Oliver,84,TE,ACT,0,259,7,San Jose State,MIN,Minnesota Vikings
Myles Price,31,WR,ACT,0,183,1,Indiana,MIN,Minnesota Vikings
Will Reichard,16,K,ACT,0,187,2,Alabama,MIN,Minnesota Vikings
Giovanni Ricci,"",TE,ACT,0,240,3,Western Michigan,MIN,Minnesota Vikings
Brett Rypien,11,QB,ACT,0,210,7,Boise State,MIN,Minnesota Vikings
Zavier Scott,36,RB,ACT,0,219,1,Maine,MIN,Minnesota Vikings
Tre Stewart,38,RB,ACT,0,186,1,Jacksonville State,MIN,Minnesota Vikings
Thayer Thomas,89,WR,ACT,0,195,1,N.C. State,MIN,Minnesota Vikings
Ben Yurosek,48,TE,ACT,0,245,1,Georgia,MIN,Minnesota Vikings
