Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Javon Baker,6,WR,ACT,0,202,2,UCF,NE,New England Patriots
Jaheim Bell,88,TE,ACT,0,241,2,Florida State,NE,New England Patriots
DeMeer Blankumsee,30,WR,ACT,0,192,1,Memphis,NE,New England Patriots
Andy Borregales,36,K,ACT,0,202,1,Miami,NE,New England Patriots
Kendrick Bourne,84,WR,ACT,0,205,9,Eastern Washington,NE,New England Patriots
Kayshon Boutte,9,WR,ACT,0,197,3,LSU,NE,New England Patriots
Efton Chism III,86,WR,ACT,0,198,1,Eastern Washington,NE,New England Patriots
Stefon Diggs,8,WR,ACT,0,191,11,Maryland,NE,New England Patriots
CJ Dippre,82,TE,ACT,0,256,1,Alabama,NE,New England Patriots
Joshua Dobbs,11,QB,ACT,0,220,9,Tennessee,NE,New England Patriots
DeMario Douglas,3,WR,ACT,0,192,3,Liberty,NE,New England Patriots
Antonio Gibson,4,RB,ACT,0,228,6,Memphis,NE,New England Patriots
TreVeyon Henderson,32,RB,UDF,0,202,1,Ohio State,NE,New England Patriots
Hunter Henry,85,TE,ACT,0,249,10,Arkansas,NE,New England Patriots
Mack Hollins,13,WR,ACT,0,221,9,North Carolina,NE,New England Patriots
Austin Hooper,81,TE,ACT,0,254,10,Stanford,NE,New England Patriots
Terrell Jennings,26,RB,ACT,0,217,1,Florida A&M,NE,New England Patriots
John Jiles,83,WR,ACT,0,220,1,University of West Florida,NE,New England Patriots
Brock Lampe,46,RB,ACT,0,249,1,Northern Illinois,NE,New England Patriots
Lan Larison,34,RB,ACT,0,209,1,UC Davis,NE,New England Patriots
Drake Maye,10,QB,ACT,0,225,2,North Carolina,NE,New England Patriots
Ja'Lynn Polk,1,WR,ACT,0,203,2,Washington,NE,New England Patriots
John Parker Romo,37,K,ACT,0,190,1,Virginia Tech,NE,New England Patriots
Gee Scott Jr.,80,TE,ACT,0,240,1,Ohio State,NE,New England Patriots
Rhamondre Stevenson,38,RB,ACT,0,227,5,Oklahoma,NE,New England Patriots
Jeremiah Webb,29,WR,ACT,0,198,1,South Alabama,NE,New England Patriots
Jack Westover,87,TE,ACT,0,245,1,Washington,NE,New England Patriots
Trayveon Williams,49,RB,ACT,0,206,7,Texas A&M,NE,New England Patriots
Kyle Williams,18,WR,ACT,0,190,1,Washington State,NE,New England Patriots
Ben Wooldridge,17,QB,ACT,0,214,1,Louisiana,NE,New England Patriots
