Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Cam Akers,"",RB,ACT,0,217,5,Florida State,NO,New Orleans Saints
Kevin Austin Jr.,81,WR,ACT,0,200,2,Notre Dame,NO,New Orleans Saints
Brandin Cooks,10,WR,ACT,0,189,12,Oregon State,NO,New Orleans Saints
Hunter Dekkers,18,QB,ACT,0,215,1,Iowa Western CC,NO,New Orleans Saints
Moochie Dixon,84,WR,ACT,0,187,1,SMU,NO,New Orleans Saints
Clyde Edwards-Helaire,23,RB,ACT,0,207,6,LSU,NO,New Orleans Saints
Seth Green,"",TE,ACT,0,255,1,Houston,NO,New Orleans Saints
Blake Grupe,19,K,ACT,0,156,3,Notre Dame,NO,New Orleans Saints
Jake Haener,3,QB,ACT,0,200,3,Fresno State,NO,New Orleans Saints
Taysom Hill,7,TE,ACT,0,221,9,BYU,NO,New Orleans Saints
Dallin Holker,85,TE,ACT,0,241,2,Colorado State,NO,New Orleans Saints
Michael Jacobson,86,TE,ACT,0,244,1,Iowa State,NO,New Orleans Saints
Juwan Johnson,83,TE,ACT,0,231,6,Oregon,NO,New Orleans Saints
Velus Jones Jr.,13,RB,ACT,0,200,5,Tennessee,NO,New Orleans Saints
Alvin Kamara,41,RB,ACT,0,215,9,Tennessee,NO,New Orleans Saints
Moliki Matavao,80,TE,ACT,0,263,1,UCLA,NO,New Orleans Saints
Bub Means,16,WR,ACT,0,215,2,Pittsburgh,NO,New Orleans Saints
Kendre Miller,5,RB,ACT,0,220,3,TCU,NO,New Orleans Saints
Foster Moreau,87,TE,ACT,0,250,7,LSU,NO,New Orleans Saints
Devin Neal,30,RB,ACT,0,215,1,Kansas,NO,New Orleans Saints
Chris Olave,12,WR,ACT,0,187,4,Ohio State,NO,New Orleans Saints
Donovan Peoples-Jones,24,WR,ACT,0,204,5,Michigan,NO,New Orleans Saints
Dante Pettis,17,WR,ACT,0,195,7,Washington,NO,New Orleans Saints
Spencer Rattler,2,QB,ACT,0,211,2,South Carolina,NO,New Orleans Saints
Rashid Shaheed,22,WR,ACT,0,180,4,Weber State,NO,New Orleans Saints
Tyler Shough,"",QB,UDF,0,224,1,Louisville,NO,New Orleans Saints
Charlie Smyth,39,K,ACT,0,210,1,"",NO,New Orleans Saints
Jack Stoll,88,TE,ACT,0,247,5,Nebraska,NO,New Orleans Saints
Mason Tipton,15,WR,ACT,0,187,2,Yale,NO,New Orleans Saints
Chris Tyree,89,WR,ACT,0,190,1,Virginia,NO,New Orleans Saints
Treyton Welch,82,TE,ACT,0,241,1,Wyoming,NO,New Orleans Saints
Cedrick Wilson Jr.,11,WR,ACT,0,197,8,Boise State,NO,New Orleans Saints
Marcus Yarns,34,RB,ACT,0,190,1,Delaware,NO,New Orleans Saints
