Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Rushawn Baker,36,RB,ACT,0,225,1,Elon,NYG,New York Giants
Daniel Bellinger,82,TE,ACT,0,255,4,San Diego State,NYG,New York Giants
Jordan Bly,12,WR,ACT,0,166,1,Gardner-Webb,NYG,New York Giants
Dalen Cambre,5,WR,ACT,0,192,1,Louisiana,NYG,New York Giants
Beaux Collins,8,WR,ACT,0,206,1,Notre Dame,NYG,New York Giants
Jaxson Dart,6,QB,ACT,0,220,1,Mississippi,NYG,New York Giants
Tommy DeVito,15,QB,ACT,0,210,3,Illinois,NYG,New York Giants
Greg Dulcich,89,TE,ACT,0,245,4,UCLA,NYG,New York Giants
Da'Quan Felton,9,WR,ACT,0,216,1,Virginia Tech,NYG,New York Giants
Thomas Fidone II,86,TE,ACT,0,255,1,Nebraska,NYG,New York Giants
Bryce Ford-Wheaton,88,WR,ACT,0,220,3,West Virginia,NYG,New York Giants
Graham Gano,9,K,ACT,0,202,16,Florida State,NYG,New York Giants
Eric Gray,20,RB,ACT,0,210,3,Oklahoma,NYG,New York Giants
Lil'Jordan Humphrey,81,WR,ACT,0,225,6,Texas,NYG,New York Giants
Jalin Hyatt,13,WR,ACT,0,185,3,Tennessee,NYG,New York Giants
Theo Johnson,84,TE,ACT,0,264,2,Penn State,NYG,New York Giants
Chris Manhertz,85,TE,ACT,0,235,10,Canisius College,NYG,New York Giants
Jude McAtamney,99,K,ACT,0,205,1,Rutgers,NYG,New York Giants
Dante Miller,25,RB,ACT,0,200,1,South Carolina,NYG,New York Giants
Malik Nabers,1,WR,ACT,0,200,2,LSU,NYG,New York Giants
Zach Pascal,83,WR,ACT,0,219,8,Old Dominion,NYG,New York Giants
Wan'Dale Robinson,17,WR,ACT,0,185,4,Kentucky,NYG,New York Giants
Devin Singletary,26,RB,ACT,0,203,7,Florida Atlantic,NYG,New York Giants
Cam Skattebo,"",RB,ACT,0,215,1,Arizona State,NYG,New York Giants
Darius Slayton,18,WR,ACT,0,198,7,Auburn,NYG,New York Giants
Ihmir Smith-Marsette,87,WR,ACT,0,185,5,Iowa,NYG,New York Giants
Jermaine Terry,48,TE,ACT,0,245,1,Oregon State,NYG,New York Giants
Tyrone Tracy Jr.,29,RB,ACT,0,210,2,Purdue,NYG,New York Giants
Montrell Washington,80,WR,ACT,0,170,3,Samford,NYG,New York Giants
Antwane Wells Jr.,2,WR,ACT,0,205,1,Mississippi,NYG,New York Giants
Russell Wilson,3,QB,ACT,0,206,14,Wisconsin,NYG,New York Giants
Jameis Winston,19,QB,ACT,0,231,11,Florida State,NYG,New York Giants
