Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Saquon Barkley,26,RB,ACT,0,232,8,Penn State,PHI,Philadelphia Eagles
A.J. Brown,11,WR,ACT,0,226,7,Mississippi,PHI,Philadelphia Eagles
Harrison Bryant,85,TE,ACT,0,243,6,Florida Atlantic,PHI,Philadelphia Eagles
Grant Calcaterra,81,TE,ACT,0,240,4,SMU,PHI,Philadelphia Eagles
Elijah Cooks,86,WR,ACT,0,215,2,San Jose State,PHI,Philadelphia Eagles
Darius Cooper,41,WR,ACT,0,210,1,Tarleton State,PHI,Philadelphia Eagles
AJ Dillon,29,RB,ACT,0,247,6,Boston College,PHI,Philadelphia Eagles
Jahan Dotson,2,WR,ACT,0,184,4,Penn State,PHI,Philadelphia Eagles
Jake Elliott,4,K,ACT,0,167,9,Memphis,PHI,Philadelphia Eagles
Dallas Goedert,88,TE,ACT,0,256,8,South Dakota State,PHI,Philadelphia Eagles
Kylen Granson,83,TE,ACT,0,242,5,SMU,PHI,Philadelphia Eagles
Danny Gray,80,WR,ACT,0,200,3,SMU,PHI,Philadelphia Eagles
Jalen Hurts,1,QB,ACT,0,223,6,Oklahoma,PHI,Philadelphia Eagles
Giles Jackson,"",WR,ACT,0,187,1,Washington,PHI,Philadelphia Eagles
E.J. Jenkins,84,TE,ACT,0,245,2,Georgia Tech,PHI,Philadelphia Eagles
Montrell Johnson Jr.,34,RB,ACT,0,212,1,Florida,PHI,Philadelphia Eagles
Cameron Latu,49,TE,ACT,0,244,2,Alabama,PHI,Philadelphia Eagles
Terrace Marshall Jr.,46,WR,ACT,0,200,5,LSU,PHI,Philadelphia Eagles
Kyle McCord,19,QB,ACT,0,220,1,Syracuse,PHI,Philadelphia Eagles
Tanner McKee,16,QB,ACT,0,230,3,Stanford,PHI,Philadelphia Eagles
Taylor Morin,45,WR,ACT,0,185,1,Wake Forest,PHI,Philadelphia Eagles
Nick Muse,87,TE,ACT,0,252,4,South Carolina,PHI,Philadelphia Eagles
Lew Nichols III,38,RB,ACT,0,220,1,Central Michigan,PHI,Philadelphia Eagles
ShunDerrick Powell,39,RB,ACT,0,183,1,Central Arkansas,PHI,Philadelphia Eagles
Keilan Robinson,"",RB,ACT,0,191,2,Texas,PHI,Philadelphia Eagles
Will Shipley,28,RB,ACT,0,210,2,Clemson,PHI,Philadelphia Eagles
Ainias Smith,82,WR,ACT,0,176,2,Texas A&M,PHI,Philadelphia Eagles
DeVonta Smith,6,WR,ACT,0,170,5,Alabama,PHI,Philadelphia Eagles
Dorian Thompson-Robinson,14,QB,ACT,0,203,3,UCLA,PHI,Philadelphia Eagles
Ben VanSumeren,43,RB,ACT,0,231,3,Michigan State,PHI,Philadelphia Eagles
Avery Williams,18,RB,ACT,0,195,5,Boise State,PHI,Philadelphia Eagles
Johnny Wilson,89,WR,ACT,0,228,2,Florida State,PHI,Philadelphia Eagles
