Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Israel Abanikanda,20,RB,ACT,0,216,3,Pittsburgh,SF,San Francisco 49ers
Brandon Aiyuk,11,WR,ACT,0,200,6,Arizona State,SF,San Francisco 49ers
Junior Bergen,86,WR,ACT,0,184,1,Montana,SF,San Francisco 49ers
Jacob Cowing,19,WR,ACT,0,170,2,Arizona,SF,San Francisco 49ers
Ross Dwelley,82,TE,ACT,0,235,8,San Diego,SF,San Francisco 49ers
Luke Farrell,89,TE,ACT,0,250,5,Ohio State,SF,San Francisco 49ers
Russell Gage,84,WR,ACT,0,184,7,LSU,SF,San Francisco 49ers
Isaac Guerendo,31,RB,ACT,0,221,2,Louisville,SF,San Francisco 49ers
Isaiah Hodgins,18,WR,ACT,0,201,4,Oregon State,SF,San Francisco 49ers
Jordan James,29,RB,ACT,0,208,1,Oregon,SF,San Francisco 49ers
Jauan Jennings,15,WR,ACT,0,212,5,Tennessee,SF,San Francisco 49ers
Mac Jones,10,QB,ACT,0,220,5,Alabama,SF,San Francisco 49ers
Greg Joseph,40,K,ACT,0,206,5,Florida Atlantic,SF,San Francisco 49ers
Corey Kiner,49,RB,ACT,0,210,1,Cincinnati,SF,San Francisco 49ers
George Kittle,85,TE,ACT,0,250,9,Iowa,SF,San Francisco 49ers
Malik Knowles,"",WR,ACT,0,196,2,Kansas State,SF,San Francisco 49ers
Christian McCaffrey,23,RB,ACT,0,210,9,Stanford,SF,San Francisco 49ers
Jake Moody,4,K,ACT,0,210,3,Michigan,SF,San Francisco 49ers
Tanner Mordecai,4,QB,ACT,0,218,1,Wisconsin,SF,San Francisco 49ers
Isaiah Neyor,14,WR,ACT,0,218,1,Nebraska,SF,San Francisco 49ers
Terique Owens,83,WR,ACT,0,200,1,Missouri State,SF,San Francisco 49ers
Ricky Pearsall,14,WR,ACT,0,189,2,Florida,SF,San Francisco 49ers
Mason Pline,89,TE,ACT,0,260,1,Furman,SF,San Francisco 49ers
Brock Purdy,13,QB,ACT,0,220,4,Iowa State,SF,San Francisco 49ers
Demarcus Robinson,5,WR,ACT,0,203,10,Florida,SF,San Francisco 49ers
Kurtis Rourke,4,QB,ACT,0,231,1,Indiana,SF,San Francisco 49ers
Patrick Taylor,32,RB,ACT,0,217,5,Memphis,SF,San Francisco 49ers
Trent Taylor,81,WR,RES,0,180,7,Louisiana Tech,SF,San Francisco 49ers
Jake Tonges,88,TE,ACT,0,240,3,California,SF,San Francisco 49ers
Jordan Watkins,17,WR,ACT,0,196,1,Mississippi,SF,San Francisco 49ers
Brayden Willis,9,TE,ACT,0,240,3,Oklahoma,SF,San Francisco 49ers
