Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Connor Bazelak,8,QB,ACT,0,212,1,Bowling Green,TB,Tampa Bay Buccaneers
Ryan Coe,39,K,ACT,0,225,1,California,TB,Tampa Bay Buccaneers
Devin Culp,82,TE,ACT,0,237,2,Washington,TB,Tampa Bay Buccaneers
Payne Durham,87,TE,ACT,0,255,3,Purdue,TB,Tampa Bay Buccaneers
Emeka Egbuka,9,WR,ACT,0,202,1,Ohio State,TB,Tampa Bay Buccaneers
Mike Evans,13,WR,ACT,0,231,12,Texas A&M,TB,Tampa Bay Buccaneers
Chris Godwin,14,WR,ACT,0,209,9,Penn State,TB,Tampa Bay Buccaneers
Garrett Greene,85,WR,ACT,0,201,1,West Virginia,TB,Tampa Bay Buccaneers
Dennis Houston,89,WR,ACT,0,198,1,Western Illinois,TB,Tampa Bay Buccaneers
Bucky Irving,7,RB,ACT,0,194,2,Oregon,TB,Tampa Bay Buccaneers
Rakim Jarrett,18,WR,ACT,0,192,3,Maryland,TB,Tampa Bay Buccaneers
Kameron Johnson,19,WR,ACT,0,195,2,Barton College,TB,Tampa Bay Buccaneers
Tez Johnson,83,WR,ACT,0,156,1,Oregon,TB,Tampa Bay Buccaneers
Ko Kieft,41,TE,ACT,0,265,4,Minnesota,TB,Tampa Bay Buccaneers
Baker Mayfield,6,QB,ACT,0,215,8,Oklahoma,TB,Tampa Bay Buccaneers
Chase McLaughlin,4,K,ACT,0,190,7,Illinois,TB,Tampa Bay Buccaneers
Jalen McMillan,15,WR,ACT,0,192,2,Washington,TB,Tampa Bay Buccaneers
Ryan Miller,81,WR,ACT,0,221,2,Furman,TB,Tampa Bay Buccaneers
Cade Otton,88,TE,ACT,0,247,4,Washington,TB,Tampa Bay Buccaneers
Trey Palmer,10,WR,ACT,0,190,3,Nebraska,TB,Tampa Bay Buccaneers
Michael Pratt,11,QB,ACT,0,217,1,Tulane,TB,Tampa Bay Buccaneers
Sterling Shepard,17,WR,ACT,0,194,10,Oklahoma,TB,Tampa Bay Buccaneers
Tanner Taula,84,TE,ACT,0,255,1,Illinois State,TB,Tampa Bay Buccaneers
Kyle Trask,2,QB,ACT,0,236,5,Florida,TB,Tampa Bay Buccaneers
Sean Tucker,44,RB,ACT,0,205,3,Syracuse,TB,Tampa Bay Buccaneers
Rachaad White,1,RB,ACT,0,214,4,Arizona State,TB,Tampa Bay Buccaneers
D.J. Williams,30,RB,ACT,0,225,1,Arizona,TB,Tampa Bay Buccaneers
Josh Williams,37,RB,ACT,0,196,1,LSU,TB,Tampa Bay Buccaneers
