Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Kazmeir Allen,24,RB,ACT,0,176,1,UCLA,WAS,Washington Commanders
John Bates,87,TE,ACT,0,259,5,Boise State,WAS,Washington Commanders
Ja'Corey Brooks,16,WR,ACT,0,195,1,Louisville,WAS,Washington Commanders
Noah Brown,85,WR,ACT,0,225,9,Ohio State,WAS,Washington Commanders
Lawrence Cager,89,WR,ACT,0,220,4,Georgia,WAS,Washington Commanders
Jacory Croskey-Merritt,32,RB,ACT,0,208,1,Arizona,WAS,Washington Commanders
Jayden Daniels,5,QB,ACT,0,210,2,LSU,WAS,Washington Commanders
Austin Ekeler,30,RB,ACT,0,200,9,Western State,WAS,Washington Commanders
Zach Ertz,86,TE,ACT,0,250,13,Stanford,WAS,Washington Commanders
Demetric Felton,25,RB,ACT,0,190,3,UCLA,WAS,Washington Commanders
Michael Gallup,12,WR,ACT,0,205,7,Colorado State,WAS,Washington Commanders
Matt Gay,16,K,ACT,0,232,7,Utah,WAS,Washington Commanders
Sam Hartman,15,QB,ACT,0,209,1,Notre Dame,WAS,Washington Commanders
Tyree Jackson,80,TE,ACT,0,249,3,Buffalo,WAS,Washington Commanders
Josh Johnson,14,QB,ACT,0,219,11,San Diego,WAS,Washington Commanders
Jacoby Jones,10,WR,ACT,0,228,1,UCF,WAS,Washington Commanders
Jaylin Lane,83,WR,ACT,0,196,1,Virginia Tech,WAS,Washington Commanders
Marcus Mariota,18,QB,ACT,0,222,11,Oregon,WAS,Washington Commanders
Luke McCaffrey,11,WR,ACT,0,198,2,Rice,WAS,Washington Commanders
Terry McLaurin,17,WR,ACT,0,210,7,Ohio State,WAS,Washington Commanders
Jeremy McNichols,26,RB,ACT,0,214,5,Boise State,WAS,Washington Commanders
Chris Moore,19,WR,ACT,0,200,9,Cincinnati,WAS,Washington Commanders
K.J. Osborn,13,WR,ACT,0,203,6,Miami,WAS,Washington Commanders
Brian Robinson,8,RB,ACT,0,228,4,Alabama,WAS,Washington Commanders
Chris Rodriguez Jr.,36,RB,ACT,0,224,3,Kentucky,WAS,Washington Commanders
Deebo Samuel Sr.,1,WR,ACT,0,215,7,South Carolina,WAS,Washington Commanders
Ben Sinnott,82,TE,ACT,0,247,2,Kansas State,WAS,Washington Commanders
Mike Strachan,83,WR,ACT,0,225,4,Charleston,WAS,Washington Commanders
Cole Turner,88,TE,ACT,0,240,3,Nevada,WAS,Washington Commanders
Michael Wiley,34,RB,ACT,0,209,1,Arizona,WAS,Washington Commanders
Colson Yankoff,41,TE,ACT,0,225,2,UCLA,WAS,Washington Commanders
