city,state,stadium_name,Date,Time,latitude,longitude,timezone,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
Cleveland,OH,FirstEnergy Stadium,2018-09-09,1:00PM,41.5061,-81.6995,America/New_York,15.1,1.0,101.52,88,1016.5
Foxborough,MA,Gillette Stadium,2018-09-09,1:00PM,42.0909,-71.2643,America/New_York,16.6,0.0,55.080000000000005,58,1025.7
Indianapolis,IN,Lucas Oil Stadium,2018-09-09,1:00PM,39.7601,-86.1639,America/Indiana/Indianapolis,16.9,0.1,66.96000000000001,76,1012.7
Baltimore,MD,M&T Bank Stadium,2018-09-09,1:00PM,39.2779,-76.6227,America/New_York,18.0,1.8,104.4,89,1018.7
Philadelphia,PA,Lincoln Financial Field,2018-09-06,8:20PM,39.9008,-75.1675,America/New_York,28.6,0.2,18.0,69,1019.2
East Rutherford,NJ,MetLife Stadium,2018-09-09,1:00PM,40.8136,-74.0744,America/New_York,15.1,0.7,59.04,86,1023.5
Miami Gardens,FL,Hard Rock Stadium,2018-09-09,1:00PM,25.958,-80.238,America/New_York,30.2,0.2,20.16,68,1014.2
Minneapolis,MN,U.S. Bank Stadium,2018-09-09,1:00PM,44.974,-93.2581,America/Chicago,20.6,0.0,50.04,54,1018.6
New Orleans,LA,Caesars Superdome,2018-09-09,1:00PM,29.9509,-90.0815,America/Chicago,28.7,0.1,19.08,75,1011.6
Inglewood,CA,SoFi Stadium,2018-09-09,4:05PM,33.9535,-118.3392,America/Los_Angeles,22.3,0.0,65.52,77,1008.5
Charlotte,NC,Bank of America Stadium,2018-09-09,4:25PM,35.2258,-80.8528,America/New_York,28.0,0.1,42.480000000000004,71,1010.9
Denver,CO,Empower Field at Mile High,2018-09-09,4:25PM,39.7439,-105.0201,America/Denver,28.4,0.0,29.880000000000003,18,1007.1
Glendale,AZ,State Farm Stadium,2018-09-09,4:25PM,33.5275,-112.2625,America/Phoenix,40.2,0.0,57.24,17,1004.5
Green Bay,WI,Lambeau Field,2018-09-09,8:20PM,44.5013,-88.0622,America/Chicago,13.7,0.0,24.840000000000003,79,1019.5
Detroit,MI,Ford Field,2018-09-10,7:10PM,42.34,-83.0456,America/Detroit,17.2,0.0,42.84,81,1013.5
Las Vegas,NV,Allegiant Stadium,2018-09-10,10:20PM,36.0908,-115.183,America/Los_Angeles,31.0,0.0,64.8,10,1004.2
Orchard Park,NY,Highmark Stadium,2018-09-16,1:00PM,42.7738,-78.7868,America/New_York,27.8,0.0,8.28,60,1021.8
Atlanta,GA,Mercedes-Benz Stadium,2018-09-16,1:00PM,33.755,-84.4008,America/New_York,24.9,0.0,68.03999999999999,81,1010.1
Cincinnati,OH,Paycor Stadium,2018-09-13,8:20PM,39.0954,-84.516,America/New_York,25.6,0.0,16.2,66,1018.2
New Orleans,LA,Caesars Superdome,2018-09-16,1:00PM,29.9509,-90.0815,America/Chicago,31.0,0.0,37.800000000000004,69,1012.1
Landover,MD,FedExField,2018-09-16,1:00PM,38.9078,-76.8645,America/New_York,24.5,0.5,52.2,78,1022.4
Green Bay,WI,Lambeau Field,2018-09-16,1:00PM,44.5013,-88.0622,America/Chicago,27.1,0.1,53.28,60,1018.5
Nashville,TN,Nissan Stadium,2018-09-16,1:00PM,36.1665,-86.7713,America/Chicago,28.6,0.0,66.96000000000001,60,1013.6
Pittsburgh,PA,Acrisure Stadium,2018-09-16,1:00PM,40.4468,-80.0158,America/New_York,26.2,0.0,53.28,63,1021.4
East Rutherford,NJ,MetLife Stadium,2018-09-16,1:00PM,40.8136,-74.0744,America/New_York,26.9,0.0,11.16,70,1022.9
Tampa,FL,Raymond James Stadium,2018-09-16,1:00PM,27.9759,-82.5033,America/New_York,30.1,0.0,48.96,70,1012.8
Inglewood,CA,SoFi Stadium,2018-09-16,4:05PM,33.9535,-118.3392,America/Los_Angeles,22.4,0.0,81.36000000000001,68,1011.5
Santa Clara,CA,Levi's Stadium,2018-09-16,4:05PM,37.403,-121.9692,America/Los_Angeles,22.5,0.0,82.44,42,1015.1
Denver,CO,Empower Field at Mile High,2018-09-16,4:25PM,39.7439,-105.0201,America/Denver,33.1,0.0,43.2,13,1005.4
Jacksonville,FL,TIAA Bank Field,2018-09-16,4:25PM,30.3239,-81.6373,America/New_York,33.6,0.0,61.56000000000001,54,1009.5
Arlington,TX,AT&T Stadium,2018-09-16,8:20PM,32.7473,-97.0945,America/Chicago,27.6,0.0,23.759999999999998,81,1012.7
