year,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game
2020,be573c3eb88d877171ccd50c10e9a58a,IND,IND,DST,17,66.0,66.0,3.88,3.88
2020,24112482993783b6586dc93b5d26beb9,PIT,PIT,DST,17,62.0,62.0,3.65,3.65
2020,cc56116f58a33fd6a143f5b3ea0ecd5a,LA,LA,DST,18,60.0,60.0,3.33,3.33
2020,7783d0daae9581af0684bfb05ab211d1,TB,TB,DST,20,54.0,54.0,2.7,2.7
2020,b81eae0c72356dd034dc8f32c458fb14,BUF,BUF,DST,19,47.0,47.0,2.47,2.47
2020,204c2a8053d1197bdeb44ed0701811fd,WAS,WAS,DST,17,43.0,43.0,2.53,2.53
2020,138d5c7848509c6b67b5d33ca96aa7da,MIA,MIA,DST,16,39.0,39.0,2.44,2.44
2020,b2fb6e18691c8f8c94332e68a396219e,CLE,CLE,DST,18,37.0,37.0,2.06,2.06
2020,59e4a9bcf869c717fcb6dc4d91f2881d,PHI,PHI,DST,16,37.0,37.0,2.31,2.31
2020,2fb2681391a125de139f6b16730d2dd1,KC,KC,DST,19,36.0,36.0,1.89,1.89
2020,d3c3a1ad13bfbd51c481f58d4e94e48d,NO,NO,DST,18,34.0,34.0,1.89,1.89
2020,2dab5dd45f02c5212110256a94beafdc,SEA,SEA,DST,17,31.0,31.0,1.82,1.82
2020,99e1691e16c156f1b9e7914381c227df,ARI,ARI,DST,16,28.0,28.0,1.75,1.75
2020,3fca4c93f204978101eed61adbd9a0e4,NYG,NYG,DST,16,26.0,26.0,1.62,1.62
2020,ea081fafd5f6adf3199dcec3d983fd11,BAL,BAL,DST,18,26.0,26.0,1.44,1.44
2020,7fe84b42760bde2df5e206fdf53b8877,GB,GB,DST,18,24.0,24.0,1.33,1.33
2020,63903717c2353ab6bfd61d308b92da6d,NE,NE,DST,16,22.0,22.0,1.38,1.38
2020,9d837d5c1af1c06840578285e264eff7,DAL,DAL,DST,16,17.0,17.0,1.06,1.06
2020,f1a3672cfb55b65266e10db671e34290,DEN,DEN,DST,16,16.0,16.0,1.0,1.0
2020,ee73c5dec99b255872e3525c88b0c543,LAC,LAC,DST,16,15.0,15.0,0.94,0.94
2020,4c411ccdb5e202e06b0260d3a609deea,CHI,CHI,DST,17,14.0,14.0,0.82,0.82
2020,a0ed30c12ee5eee3843ba4ca720f836f,ATL,ATL,DST,16,13.0,13.0,0.81,0.81
2020,65fbd91f40401fff4b8d1231cc232491,NYJ,NYJ,DST,16,13.0,13.0,0.81,0.81
2020,b7fbc538a29c170460a3921ac229cd4a,SF,SF,DST,16,12.0,12.0,0.75,0.75
2020,215e57133d96efe42df2ad788fdf1d08,TEN,TEN,DST,17,10.0,10.0,0.59,0.59
2020,95d3a379d906ce418d38398404ea819b,CAR,CAR,DST,16,9.0,9.0,0.56,0.56
2020,42ad3878d18dc79eb0e1fd5b955339b1,JAX,JAX,DST,16,6.0,6.0,0.38,0.38
2020,d62ae816639f6cc109d073fa11b64e11,MIN,MIN,DST,16,5.0,5.0,0.31,0.31
2020,cd17df0f2dc0376b56753a203501e95a,CIN,CIN,DST,16,-7.0,-7.0,-0.44,-0.44
2020,65153df039eec120ce7b9b1cd13ba8df,HOU,HOU,DST,16,-7.0,-7.0,-0.44,-0.44
2020,aac11ff4845b23cfddf20e8e4a0f7d01,DET,DET,DST,16,-8.0,-8.0,-0.5,-0.5
2020,8089a1e430f51a72aa84dd53790e1ff3,LV,LV,DST,16,-13.0,-13.0,-0.81,-0.81
2021,9d837d5c1af1c06840578285e264eff7,DAL,DAL,DST,18,87.0,87.0,4.83,4.83
2021,7783d0daae9581af0684bfb05ab211d1,TB,TB,DST,19,59.0,59.0,3.11,3.11
2021,138d5c7848509c6b67b5d33ca96aa7da,MIA,MIA,DST,17,55.0,55.0,3.24,3.24
2021,d62ae816639f6cc109d073fa11b64e11,MIN,MIN,DST,17,55.0,55.0,3.24,3.24
2021,cc56116f58a33fd6a143f5b3ea0ecd5a,LA,LA,DST,21,50.0,50.0,2.38,2.38
2021,be573c3eb88d877171ccd50c10e9a58a,IND,IND,DST,17,45.0,45.0,2.65,2.65
2021,b7fbc538a29c170460a3921ac229cd4a,SF,SF,DST,20,44.0,44.0,2.2,2.2
2021,63903717c2353ab6bfd61d308b92da6d,NE,NE,DST,18,42.0,42.0,2.33,2.33
2021,24112482993783b6586dc93b5d26beb9,PIT,PIT,DST,18,40.0,40.0,2.22,2.22
2021,b81eae0c72356dd034dc8f32c458fb14,BUF,BUF,DST,19,40.0,40.0,2.11,2.11
2021,d3c3a1ad13bfbd51c481f58d4e94e48d,NO,NO,DST,17,40.0,40.0,2.35,2.35
2021,215e57133d96efe42df2ad788fdf1d08,TEN,TEN,DST,18,37.0,37.0,2.06,2.06
2021,7fe84b42760bde2df5e206fdf53b8877,GB,GB,DST,18,36.0,36.0,2.0,2.0
2021,cd17df0f2dc0376b56753a203501e95a,CIN,CIN,DST,21,33.0,33.0,1.57,1.57
2021,2fb2681391a125de139f6b16730d2dd1,KC,KC,DST,20,30.0,30.0,1.5,1.5
2021,99e1691e16c156f1b9e7914381c227df,ARI,ARI,DST,18,29.0,29.0,1.61,1.61
2021,65153df039eec120ce7b9b1cd13ba8df,HOU,HOU,DST,17,28.0,28.0,1.65,1.65
2021,4c411ccdb5e202e06b0260d3a609deea,CHI,CHI,DST,17,27.0,27.0,1.59,1.59
2021,204c2a8053d1197bdeb44ed0701811fd,WAS,WAS,DST,17,23.0,23.0,1.35,1.35
2021,b2fb6e18691c8f8c94332e68a396219e,CLE,CLE,DST,17,19.0,19.0,1.12,1.12
2021,3fca4c93f204978101eed61adbd9a0e4,NYG,NYG,DST,17,18.0,18.0,1.06,1.06
2021,ee73c5dec99b255872e3525c88b0c543,LAC,LAC,DST,17,15.0,15.0,0.88,0.88
2021,f1a3672cfb55b65266e10db671e34290,DEN,DEN,DST,17,12.0,12.0,0.71,0.71
2021,95d3a379d906ce418d38398404ea819b,CAR,CAR,DST,17,11.0,11.0,0.65,0.65
2021,2dab5dd45f02c5212110256a94beafdc,SEA,SEA,DST,17,9.0,9.0,0.53,0.53
2021,59e4a9bcf869c717fcb6dc4d91f2881d,PHI,PHI,DST,18,5.0,5.0,0.28,0.28
2021,65fbd91f40401fff4b8d1231cc232491,NYJ,NYJ,DST,17,3.0,3.0,0.18,0.18
2021,a0ed30c12ee5eee3843ba4ca720f836f,ATL,ATL,DST,17,3.0,3.0,0.18,0.18
2021,ea081fafd5f6adf3199dcec3d983fd11,BAL,BAL,DST,17,1.0,1.0,0.06,0.06
2021,aac11ff4845b23cfddf20e8e4a0f7d01,DET,DET,DST,17,0.0,0.0,0.0,0.0
2021,8089a1e430f51a72aa84dd53790e1ff3,LV,LV,DST,18,-3.0,-3.0,-0.17,-0.17
2021,42ad3878d18dc79eb0e1fd5b955339b1,JAX,JAX,DST,17,-6.0,-6.0,-0.35,-0.35
2022,63903717c2353ab6bfd61d308b92da6d,NE,NE,DST,17,170.0,170.0,10.0,10.0
2022,b7fbc538a29c170460a3921ac229cd4a,SF,SF,DST,20,170.0,170.0,8.5,8.5
2022,59e4a9bcf869c717fcb6dc4d91f2881d,PHI,PHI,DST,20,168.0,168.0,8.4,8.4
2022,9d837d5c1af1c06840578285e264eff7,DAL,DAL,DST,19,154.0,154.0,8.11,8.11
2022,b81eae0c72356dd034dc8f32c458fb14,BUF,BUF,DST,18,153.0,153.0,8.5,8.5
2022,2fb2681391a125de139f6b16730d2dd1,KC,KC,DST,20,138.0,138.0,6.9,6.9
2022,ea081fafd5f6adf3199dcec3d983fd11,BAL,BAL,DST,18,136.0,136.0,7.56,7.56
2022,42ad3878d18dc79eb0e1fd5b955339b1,JAX,JAX,DST,19,129.0,129.0,6.79,6.79
2022,7fe84b42760bde2df5e206fdf53b8877,GB,GB,DST,17,114.0,114.0,6.71,6.71
2022,ee73c5dec99b255872e3525c88b0c543,LAC,LAC,DST,18,112.0,112.0,6.22,6.22
2022,65fbd91f40401fff4b8d1231cc232491,NYJ,NYJ,DST,17,111.0,111.0,6.53,6.53
2022,cd17df0f2dc0376b56753a203501e95a,CIN,CIN,DST,19,109.0,109.0,5.74,5.74
2022,204c2a8053d1197bdeb44ed0701811fd,WAS,WAS,DST,17,108.0,108.0,6.35,6.35
2022,2dab5dd45f02c5212110256a94beafdc,SEA,SEA,DST,18,107.0,107.0,5.94,5.94
2022,d3c3a1ad13bfbd51c481f58d4e94e48d,NO,NO,DST,17,106.0,106.0,6.24,6.24
2022,be573c3eb88d877171ccd50c10e9a58a,IND,IND,DST,17,102.0,102.0,6.0,6.0
2022,65153df039eec120ce7b9b1cd13ba8df,HOU,HOU,DST,17,102.0,102.0,6.0,6.0
2022,7783d0daae9581af0684bfb05ab211d1,TB,TB,DST,18,101.0,101.0,5.61,5.61
2022,24112482993783b6586dc93b5d26beb9,PIT,PIT,DST,17,100.0,100.0,5.88,5.88
2022,f1a3672cfb55b65266e10db671e34290,DEN,DEN,DST,17,99.0,99.0,5.82,5.82
2022,cc56116f58a33fd6a143f5b3ea0ecd5a,LA,LA,DST,17,97.0,97.0,5.71,5.71
2022,138d5c7848509c6b67b5d33ca96aa7da,MIA,MIA,DST,18,95.0,95.0,5.28,5.28
2022,215e57133d96efe42df2ad788fdf1d08,TEN,TEN,DST,17,93.0,93.0,5.47,5.47
2022,b2fb6e18691c8f8c94332e68a396219e,CLE,CLE,DST,17,93.0,93.0,5.47,5.47
2022,3fca4c93f204978101eed61adbd9a0e4,NYG,NYG,DST,19,93.0,93.0,4.89,4.89
2022,aac11ff4845b23cfddf20e8e4a0f7d01,DET,DET,DST,17,92.0,92.0,5.41,5.41
2022,d62ae816639f6cc109d073fa11b64e11,MIN,MIN,DST,18,92.0,92.0,5.11,5.11
2022,95d3a379d906ce418d38398404ea819b,CAR,CAR,DST,17,90.0,90.0,5.29,5.29
2022,99e1691e16c156f1b9e7914381c227df,ARI,ARI,DST,17,86.0,86.0,5.06,5.06
2022,a0ed30c12ee5eee3843ba4ca720f836f,ATL,ATL,DST,17,77.0,77.0,4.53,4.53
2022,8089a1e430f51a72aa84dd53790e1ff3,LV,LV,DST,17,59.0,59.0,3.47,3.47
2022,4c411ccdb5e202e06b0260d3a609deea,CHI,CHI,DST,17,56.0,56.0,3.29,3.29
2023,ea081fafd5f6adf3199dcec3d983fd11,BAL,BAL,DST,19,178.0,178.0,9.37,9.37
2023,b81eae0c72356dd034dc8f32c458fb14,BUF,BUF,DST,19,162.0,162.0,8.53,8.53
2023,9d837d5c1af1c06840578285e264eff7,DAL,DAL,DST,18,161.0,161.0,8.94,8.94
2023,b7fbc538a29c170460a3921ac229cd4a,SF,SF,DST,20,155.0,155.0,7.75,7.75
2023,138d5c7848509c6b67b5d33ca96aa7da,MIA,MIA,DST,18,149.0,149.0,8.28,8.28
2023,65153df039eec120ce7b9b1cd13ba8df,HOU,HOU,DST,19,147.0,147.0,7.74,7.74
2023,2fb2681391a125de139f6b16730d2dd1,KC,KC,DST,21,143.0,143.0,6.81,6.81
2023,7783d0daae9581af0684bfb05ab211d1,TB,TB,DST,19,142.0,142.0,7.47,7.47
2023,65fbd91f40401fff4b8d1231cc232491,NYJ,NYJ,DST,17,141.0,141.0,8.29,8.29
2023,d3c3a1ad13bfbd51c481f58d4e94e48d,NO,NO,DST,17,135.0,135.0,7.94,7.94
2023,24112482993783b6586dc93b5d26beb9,PIT,PIT,DST,18,132.0,132.0,7.33,7.33
2023,b2fb6e18691c8f8c94332e68a396219e,CLE,CLE,DST,18,131.0,131.0,7.28,7.28
2023,8089a1e430f51a72aa84dd53790e1ff3,LV,LV,DST,17,131.0,131.0,7.71,7.71
2023,be573c3eb88d877171ccd50c10e9a58a,IND,IND,DST,17,128.0,128.0,7.53,7.53
