year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game
2024,22,00-0036389,J.Hurts,PHI,QB,1,30.25,30.25,30.25,30.25
2024,22,00-0033873,P.Mahomes,KC,QB,1,23.35,23.35,23.35,23.35
2024,22,00-0038102,K.Pickett,PHI,QB,1,-0.4,-0.4,-0.4,-0.4
2024,21,00-0036389,J.Hurts,PHI,QB,1,35.9,35.9,35.9,35.9
2024,21,00-0033873,P.Mahomes,KC,QB,1,32.55,32.55,32.55,32.55
2024,21,00-0039910,J.Daniels,WAS,QB,1,25.55,25.55,25.55,25.55
2024,21,00-0034857,J.Allen,BUF,QB,1,23.75,23.75,23.75,23.75
2024,21,00-0038102,K.Pickett,PHI,QB,1,-0.3,-0.3,-0.3,-0.3
2024,20,00-0039910,J.Daniels,WAS,QB,1,28.05,28.05,28.05,28.05
2024,20,00-0026498,M.Stafford,LA,QB,1,24.7,24.7,24.7,24.7
2024,20,00-0034796,L.Jackson,BAL,QB,1,22.6,22.6,22.6,22.6
2024,20,00-0034857,J.Allen,BUF,QB,1,20.35,20.35,20.35,20.35
2024,20,00-0036389,J.Hurts,PHI,QB,1,19.4,19.4,19.4,19.4
2024,20,00-0039163,C.Stroud,HOU,QB,1,16.45,16.45,16.45,16.45
2024,20,00-0033106,J.Goff,DET,QB,1,14.35,14.35,14.35,14.35
2024,20,00-0033873,P.Mahomes,KC,QB,1,14.25,14.25,14.25,14.25
2024,20,00-0031237,T.Bridgewater,DET,QB,1,0.15,0.15,0.15,0.15
2024,20,00-0032268,M.Mariota,WAS,QB,1,-0.1,-0.1,-0.1,-0.1
2024,19,00-0034857,J.Allen,BUF,QB,1,26.2,26.2,26.2,26.2
2024,19,00-0039910,J.Daniels,WAS,QB,1,25.0,25.0,25.0,25.0
2024,19,00-0034796,L.Jackson,BAL,QB,1,24.85,24.85,24.85,24.85
2024,19,00-0029263,R.Wilson,PIT,QB,1,22.1,22.1,22.1,22.1
2024,19,00-0039163,C.Stroud,HOU,QB,1,20.3,20.3,20.3,20.3
2024,19,00-0034855,B.Mayfield,TB,QB,1,19.55,19.55,19.55,19.55
2024,19,00-0026498,M.Stafford,LA,QB,1,18.35,18.35,18.35,18.35
2024,19,00-0036389,J.Hurts,PHI,QB,1,18.15,18.15,18.15,18.15
2024,19,00-0034869,S.Darnold,MIN,QB,1,16.15,16.15,16.15,16.15
2024,19,00-0039732,B.Nix,DEN,QB,1,15.5,15.5,15.5,15.5
2024,19,00-0036355,J.Herbert,LAC,QB,1,8.1,8.1,8.1,8.1
2024,19,00-0036264,J.Love,GB,QB,1,5.6,5.6,5.6,5.6
2024,19,00-0032268,M.Mariota,WAS,QB,1,0.2,0.2,0.2,0.2
2024,19,00-0036945,J.Fields,PIT,QB,1,0.0,0.0,0.0,0.0
2024,19,00-0033869,M.Trubisky,BUF,QB,1,-0.3,-0.3,-0.3,-0.3
2024,18,00-0039150,B.Young,CAR,QB,1,38.95,38.95,38.95,38.95
2024,18,00-0039732,B.Nix,DEN,QB,1,36.75,36.75,36.75,36.75
2024,18,00-0035228,K.Murray,ARI,QB,1,30.3,30.3,30.3,30.3
2024,18,00-0036355,J.Herbert,LAC,QB,1,29.5,29.5,29.5,29.5
2024,18,00-0030565,G.Smith,SEA,QB,1,28.55,28.55,28.55,28.55
2024,18,00-0039917,M.Penix,ATL,QB,1,28.1,28.1,28.1,28.1
2024,18,00-0033949,J.Dobbs,SF,QB,1,28.0,28.0,28.0,28.0
2024,18,00-0023459,A.Rodgers,NYJ,QB,1,27.7,27.7,27.7,27.7
2024,18,00-0032268,M.Mariota,WAS,QB,1,27.65,27.65,27.65,27.65
2024,18,00-0034796,L.Jackson,BAL,QB,1,25.15,25.15,25.15,25.15
2024,18,00-0034855,B.Mayfield,TB,QB,1,23.85,23.85,23.85,23.85
2024,18,00-0039398,J.Milton,NE,QB,1,23.65,23.65,23.65,23.65
2024,18,00-0031345,J.Garoppolo,LA,QB,1,23.2,23.2,23.2,23.2
2024,18,00-0038400,T.McKee,PHI,QB,1,21.55,21.55,21.55,21.55
2024,18,00-0038579,A.O'Connell,LV,QB,1,18.0,18.0,18.0,18.0
2024,18,00-0026158,J.Flacco,IND,QB,1,17.2,17.2,17.2,17.2
2024,18,00-0039376,S.Rattler,NO,QB,1,17.1,17.1,17.1,17.1
2024,18,00-0036442,J.Burrow,CIN,QB,1,15.75,15.75,15.75,15.75
2024,18,00-0036972,M.Jones,JAX,QB,1,14.95,14.95,14.95,14.95
2024,18,00-0037012,T.Lance,DAL,QB,1,14.8,14.8,14.8,14.8
