year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game
2024,22,00-0030506,T.Kelce,KC,TE,1,3.9,7.9,3.9,7.9
2024,22,00-0034351,D.Goedert,PHI,TE,1,2.7,4.7,2.7,4.7
2024,22,00-0036637,N.Gray,KC,TE,1,0.2,1.2,0.2,1.2
2024,21,00-0030061,Z.Ertz,WAS,TE,1,10.4,21.4,10.4,21.4
2024,21,00-0034351,D.Goedert,PHI,TE,1,9.8,16.8,9.8,16.8
2024,21,00-0030506,T.Kelce,KC,TE,1,1.9,3.9,1.9,3.9
2024,21,00-0038933,D.Kincaid,BUF,TE,1,1.3,3.3,1.3,3.3
2024,21,00-0039912,B.Sinnott,WAS,TE,1,2.3,3.3,2.3,3.3
2024,21,00-0036628,J.Bates,WAS,TE,1,1.1,3.1,1.1,3.1
2024,21,00-0035689,D.Knox,BUF,TE,1,0.7,1.7,0.7,1.7
2024,20,00-0030506,T.Kelce,KC,TE,1,17.7,24.7,17.7,24.7
2024,20,00-0033110,T.Higbee,LA,TE,1,11.4,18.4,11.4,18.4
2024,20,00-0037838,I.Likely,BAL,TE,1,13.3,17.3,13.3,17.3
2024,20,00-0039065,S.LaPorta,DET,TE,1,11.1,17.1,11.1,17.1
2024,20,00-0030061,Z.Ertz,WAS,TE,1,8.8,13.8,8.8,13.8
2024,20,00-0034753,M.Andrews,BAL,TE,1,6.4,11.4,6.4,11.4
2024,20,00-0034383,D.Schultz,HOU,TE,1,6.3,10.3,6.3,10.3
2024,20,00-0034351,D.Goedert,PHI,TE,1,5.6,9.6,5.6,9.6
2024,20,00-0036244,C.Parkinson,LA,TE,1,6.9,8.9,6.9,8.9
2024,20,00-0036637,N.Gray,KC,TE,1,1.3,4.3,1.3,4.3
2024,20,00-0036628,J.Bates,WAS,TE,1,2.0,3.0,2.0,3.0
2024,20,00-0038933,D.Kincaid,BUF,TE,1,1.1,2.1,1.1,2.1
2024,20,00-0034970,I.Smith,HOU,TE,1,0.2,1.2,0.2,1.2
2024,20,00-0035689,D.Knox,BUF,TE,1,0.0,1.0,0.0,1.0
2024,19,00-0035229,T.Hockenson,MIN,TE,1,12.4,17.4,12.4,17.4
2024,19,00-0034351,D.Goedert,PHI,TE,1,10.7,14.7,10.7,14.7
2024,19,00-0033110,T.Higbee,LA,TE,1,5.8,10.8,5.8,10.8
2024,19,00-0038996,T.Kraft,GB,TE,1,3.6,8.6,3.6,8.6
2024,19,00-0039074,D.Allen,LA,TE,1,7.3,8.3,7.3,8.3
2024,19,00-0037838,I.Likely,BAL,TE,1,5.3,8.3,5.3,8.3
2024,19,00-0038933,D.Kincaid,BUF,TE,1,4.7,7.7,4.7,7.7
2024,19,00-0039359,C.Stover,HOU,TE,1,2.8,6.8,2.8,6.8
2024,19,00-0035689,D.Knox,BUF,TE,1,3.8,5.8,3.8,5.8
2024,19,00-0038129,C.Otton,TB,TE,1,3.2,5.2,3.2,5.2
2024,19,00-0034753,M.Andrews,BAL,TE,1,3.2,5.2,3.2,5.2
2024,19,00-0033246,J.Mundt,MIN,TE,1,2.8,4.8,2.8,4.8
2024,19,00-0036894,P.Freiermuth,PIT,TE,1,1.5,4.5,1.5,4.5
2024,19,00-0030061,Z.Ertz,WAS,TE,1,2.3,4.3,2.3,4.3
2024,19,00-0034383,D.Schultz,HOU,TE,1,2.3,4.3,2.3,4.3
2024,19,00-0034159,W.Dissly,LAC,TE,1,1.6,3.6,1.6,3.6
2024,19,00-0036244,C.Parkinson,LA,TE,1,1.3,3.3,1.3,3.3
2024,19,00-0037654,T.Fisk,LAC,TE,1,1.5,2.5,1.5,2.5
2024,19,00-0037004,H.Long,LA,TE,1,1.3,2.3,1.3,2.3
2024,19,00-0038558,D.Washington,PIT,TE,1,0.9,1.9,0.9,1.9
2024,19,00-0035249,J.Oliver,MIN,TE,1,0.5,1.5,0.5,1.5
2024,19,00-0037086,G.Calcaterra,PHI,TE,1,0.4,1.4,0.4,1.4
2024,19,00-0037539,L.Krull,DEN,TE,1,0.2,1.2,0.2,1.2
2024,19,00-0036422,A.Trautman,DEN,TE,1,0.2,1.2,0.2,1.2
2024,19,00-0036628,J.Bates,WAS,TE,1,0.0,0.0,0.0,0.0
2024,18,00-0036894,P.Freiermuth,PIT,TE,1,14.5,22.5,14.5,22.5
2024,18,00-0033858,J.Smith,MIA,TE,1,11.6,20.6,11.6,20.6
2024,18,00-0037744,T.McBride,ARI,TE,1,12.5,19.5,12.5,19.5
2024,18,00-0034364,J.Akins,CLE,TE,1,12.0,18.0,12.0,18.0
2024,18,00-0035644,N.Fant,SEA,TE,1,12.3,17.3,12.3,17.3
2024,18,00-0033110,T.Higbee,LA,TE,1,10.6,15.6,10.6,15.6
2024,18,00-0030061,Z.Ertz,WAS,TE,1,10.4,15.4,10.4,15.4
2024,18,00-0034753,M.Andrews,BAL,TE,1,11.4,15.4,11.4,15.4
2024,18,00-0034159,W.Dissly,LAC,TE,1,10.2,15.2,10.2,15.2
2024,18,00-0039338,B.Bowers,LV,TE,1,11.0,15.0,11.0,15.0
2024,18,00-0034829,M.Gesicki,CIN,TE,1,6.8,14.8,6.8,14.8
2024,18,00-0039793,A.Barner,SEA,TE,1,9.4,14.4,9.4,14.4
2024,18,00-0036040,J.Johnson,NO,TE,1,8.0,14.0,8.0,14.0
2024,18,00-0039065,S.LaPorta,DET,TE,1,6.3,13.3,6.3,13.3
2024,18,00-0037005,T.Tremble,CAR,TE,1,9.0,11.0,9.0,11.0
2024,18,00-0038935,B.Strange,JAX,TE,1,6.0,10.0,6.0,10.0
2024,18,00-0034270,T.Conklin,NYJ,TE,1,7.6,9.6,7.6,9.6
2024,18,00-0039050,P.Durham,TB,TE,1,7.6,9.6,7.6,9.6
2024,18,00-0034351,D.Goedert,PHI,TE,1,5.5,9.5,5.5,9.5
2024,18,00-0038589,J.Whyle,TEN,TE,1,2.9,7.9,2.9,7.9
2024,18,00-0038498,E.Jenkins,PHI,TE,1,6.7,7.7,6.7,7.7
2024,18,00-0038996,T.Kraft,GB,TE,1,3.6,7.6,3.6,7.6
2024,18,00-0034981,F.Moreau,NO,TE,1,3.1,7.1,3.1,7.1
2024,18,00-0037838,I.Likely,BAL,TE,1,3.8,6.8,3.8,6.8
2024,18,00-0032392,A.Hooper,NE,TE,1,2.7,6.7,2.7,6.7
2024,18,00-0039356,J.Sanders,CAR,TE,1,3.5,6.5,3.5,6.5
2024,18,00-0039066,M.Mayer,LV,TE,1,2.1,6.1,2.1,6.1
