year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,rec,yds,td,yac
2024,22,00-0039894,X.Worthy,KC,WR,1,27.7,35.7,27.7,35.7,8,157.0,2,47.0
2024,22,00-0036912,D.Smith,PHI,WR,1,12.9,16.9,12.9,16.9,4,69.0,1,3.0
2024,22,00-0035676,A.Brown,PHI,WR,1,10.3,13.3,10.3,13.3,3,43.0,1,11.0
2024,22,00-0030564,D.Hopkins,KC,WR,1,7.8,9.8,7.8,9.8,2,18.0,1,1.0
2024,22,00-0037741,J.Dotson,PHI,WR,1,4.2,6.2,4.2,6.2,2,42.0,0,17.0
2024,22,00-0033857,J.Smith-Schuster,KC,WR,1,1.6,3.6,1.6,3.6,2,16.0,0,10.0
2024,22,00-0035662,M.Brown,KC,WR,1,1.5,3.5,1.5,3.5,2,15.0,0,5.0
2024,22,00-0039236,J.Wilson,PHI,WR,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2024,22,00-0034386,J.Watson,KC,WR,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2024,21,00-0039894,X.Worthy,KC,WR,1,16.1,22.1,16.1,22.1,6,85.0,1,33.0
2024,21,00-0035676,A.Brown,PHI,WR,1,15.6,21.6,15.6,21.6,6,96.0,1,34.0
2024,21,00-0033555,M.Hollins,BUF,WR,1,13.3,16.3,13.3,16.3,3,73.0,1,4.0
2024,21,00-0035659,T.McLaurin,WAS,WR,1,11.1,14.1,11.1,14.1,3,51.0,1,33.0
2024,21,00-0037261,K.Shakir,BUF,WR,1,4.6,10.6,4.6,10.6,6,46.0,0,26.0
2024,21,00-0036912,D.Smith,PHI,WR,1,4.5,8.5,4.5,8.5,4,45.0,0,31.0
2024,21,00-0033857,J.Smith-Schuster,KC,WR,1,6.0,8.0,6.0,8.0,2,60.0,0,37.0
2024,21,00-0033282,C.Samuel,BUF,WR,1,6.4,7.4,6.4,7.4,1,4.0,1,0.0
2024,21,00-0031544,A.Cooper,BUF,WR,1,3.3,7.3,3.3,7.3,4,33.0,0,18.0
