year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2026.0,18,7c6f95b7e82ad9ccef5a15db340629f1,Puka Nacua,LAR,WR,16.0,246.0,375.0,15.38,23.4,1715.0,10.0
2026.0,18,367666aa8ff526c1ce8c7a988ae6c34d,Jaxon Smith-Njigba,SEA,WR,17.0,240.89999999999998,359.9,14.17,21.2,1793.0,10.0
2026.0,18,67d4e60fe3be1b7825587c0d7e9304bd,Amon-Ra St. Brown,DET,WR,17.0,207.0,324.0,12.18,19.1,1401.0,11.0
2026.0,18,d80ba7e7646b054367dfd79844645035,Ja'Marr Chase,CIN,WR,16.0,188.60000000000002,313.6,11.79,19.6,1412.0,8.0
2026.0,18,081e1f9aed23e3f4a8910fdd775485f0,George Pickens,DAL,WR,17.0,198.89999999999998,291.9,11.7,17.2,1429.0,9.0
2026.0,18,35dae00978f7d2c1e75695321d958b92,Chris Olave,NO,WR,16.0,169.0,269.0,10.56,16.8,1163.0,9.0
2026.0,18,86167e76b15027fb3f3d7b41a941f1b4,Zay Flowers,BAL,WR,17.0,157.3,243.3,9.25,14.3,1211.0,5.0
2026.0,18,7ae120d73fa62992076b46c958d6ea33,Nico Collins,HOU,WR,15.0,155.2,226.2,10.35,15.1,1117.0,6.0
2026.0,18,0bdf5d7dfbc0d24d935df466f23ccb81,Davante Adams,LAR,WR,14.0,162.9,222.9,11.64,15.9,789.0,14.0
2026.0,18,1fce84827dedd1aac373d50072b0ad22,Michael Wilson,ARI,WR,17.0,142.6,220.6,8.39,13.0,1006.0,7.0
2026.0,18,81328e46399cc9bfa60147d7243d5dbc,A.J. Brown,PHI,WR,15.0,142.3,220.3,9.49,14.7,1003.0,7.0
2026.0,18,408bdfd87393a2d96403b2c454267b3a,Jameson Williams,DET,WR,17.0,154.9,219.9,9.11,12.9,1117.0,7.0
2026.0,18,d322936ce3ee94e4d1ed6ad0828bf1a1,Courtland Sutton,DEN,WR,17.0,145.7,219.7,8.57,12.9,1017.0,7.0
2026.0,18,cd7c65282a51e624a1dbe37d57a125e1,Wan'Dale Robinson,TEN,WR,16.0,125.9,217.9,7.87,13.6,1014.0,4.0
2026.0,18,af50eb816af6518befd8d1e6109fc505,Tee Higgins,CIN,WR,15.0,152.6,211.6,10.17,14.1,846.0,11.0
2026.0,18,76a4df0852fbe4c648370395f7a947f4,Tetairoa McMillan,CAR,WR,17.0,141.4,211.4,8.32,12.4,1014.0,7.0
2026.0,18,2b21188f7b4bbf2db8b9af80939ebb06,Stefon Diggs,FA,WR,17.0,125.30000000000001,210.3,7.37,12.4,1013.0,4.0
2026.0,18,5cf821c75bad6c3ba895219d8a776451,Michael Pittman Jr.,PIT,WR,17.0,122.4,202.4,7.2,11.9,784.0,7.0
2026.0,18,f6bfed9eaa661234daf4969e80c5f4aa,Drake London,ATL,WR,12.0,133.9,201.9,11.16,16.8,919.0,7.0
2026.0,18,cb833b5000b63990d23a3c965d9a9358,DeVonta Smith,PHI,WR,17.0,124.80000000000001,201.8,7.34,11.9,1008.0,4.0
2026.0,18,64ada296ed1c8c6dcfcc3a322a455a25,Justin Jefferson,MIN,WR,17.0,117.5,201.5,6.91,11.9,1048.0,2.0
