Rank,Player Team (Bye),POS,AVG,Main_POS
1,Ja'Marr Chase CIN (10),WR1,1.0,WR
2,Bijan Robinson ATL (5),RB1,2.0,RB
3,Saquon Barkley PHI (9),RB2,3.0,RB
4,Justin Jefferson MIN (6),WR2,4.5,WR
5,Jahmyr Gibbs DET (8),RB3,4.5,RB
6,CeeDee Lamb DAL (10),WR3,6.0,WR
7,Ashton Jeanty LV (8),RB4,7.0,RB
8,Amon-Ra St. Brown DET (8),WR4,9.0,WR
9,Malik Nabers NYG (14),WR5,9.0,WR
10,Puka Nacua LAR (8),WR6,10.5,WR
11,Christian McCaffrey SF (14),RB5,11.0,RB
12,Derrick Henry BAL (7),RB6,11.5,RB
13,Nico Collins HOU (6),WR7,13.5,WR
14,Brian Thomas Jr. JAC (8),WR8,13.5,WR
15,De'Von Achane MIA (12),RB7,14.0,RB
16,Brock Bowers LV (8),TE1,16.5,TE
17,Josh Jacobs GB (5),RB8,19.5,RB
18,Drake London ATL (5),WR9,19.5,WR
19,Josh Allen BUF (7),QB1,19.5,QB
20,Jonathan Taylor IND (11),RB9,20.0,RB
21,Lamar Jackson BAL (7),QB2,21.0,QB
22,A.J. Brown PHI (9),WR10,21.5,WR
23,Bucky Irving TB (9),RB10,21.5,RB
24,Ladd McConkey LAC (12),WR11,24.5,WR
25,Kyren Williams LAR (8),RB11,25.0,RB
26,Trey McBride ARI (8),TE2,26.0,TE
27,Chase Brown CIN (10),RB12,28.0,RB
28,Jayden Daniels WAS (12),QB3,28.0,QB
29,Jaxon Smith-Njigba SEA (8),WR12,29.0,WR
30,Breece Hall NYJ (9),RB13,31.0,RB
31,Garrett Wilson NYJ (9),WR13,32.5,WR
32,Joe Burrow CIN (10),QB4,32.5,QB
33,Tyreek Hill MIA (12),WR14,32.5,WR
34,Tee Higgins CIN (10),WR15,33.5,WR
35,Terry McLaurin WAS (12),WR16,34.0,WR
36,James Cook BUF (7),RB14,34.5,RB
37,Jalen Hurts PHI (9),QB5,36.0,QB
38,Alvin Kamara NO (11),RB15,38.0,RB
39,Marvin Harrison Jr. ARI (8),WR17,39.0,WR
40,Davante Adams LAR (8),WR18,39.5,WR
41,Mike Evans TB (9),WR19,42.5,WR
42,Kenneth Walker III SEA (8),RB16,42.5,RB
43,DJ Moore CHI (5),WR20,44.0,WR
44,Joe Mixon HOU (6),RB17,44.5,RB
45,George Kittle SF (14),TE3,45.0,TE
46,Omarion Hampton LAC (12),RB18,46.0,RB
47,Rashee Rice KC (10),WR21,46.5,WR
48,Chuba Hubbard CAR (14),RB19,48.0,RB
49,RJ Harvey DEN (12),RB20,51.0,RB
50,Courtland Sutton DEN (12),WR22,51.0,WR
51,DeVonta Smith PHI (9),WR23,53.5,WR
52,James Conner ARI (8),RB21,54.5,RB
53,Patrick Mahomes II KC (10),QB6,54.5,QB
54,DK Metcalf PIT (5),WR24,55.0,WR
55,TreVeyon Henderson NE (14),RB22,55.5,RB
56,Xavier Worthy KC (10),WR25,56.5,WR
57,Baker Mayfield TB (9),QB7,58.5,QB
58,Zay Flowers BAL (7),WR26,58.5,WR
59,David Montgomery DET (8),RB23,59.0,RB
60,Sam LaPorta DET (8),TE4,60.5,TE
61,Jameson Williams DET (8),WR27,61.5,WR
62,Tetairoa McMillan CAR (14),WR28,62.5,WR
63,Quinshon Judkins CLE (9),RB24,64.5,RB
64,Aaron Jones Sr. MIN (6),RB25,65.5,RB
65,Chris Godwin TB (9),WR29,66.0,WR
66,D'Andre Swift CHI (5),RB26,67.0,RB
67,Bo Nix DEN (12),QB8,67.0,QB
68,Kaleb Johnson PIT (5),RB27,67.5,RB
69,Tony Pollard TEN (10),RB28,68.5,RB
70,Jerry Jeudy CLE (9),WR30,68.5,WR
71,Travis Hunter JAC (8),WR31,72.0,WR
72,Jaylen Waddle MIA (12),WR32,73.5,WR
73,Jordan Addison MIN (6),WR33,73.5,WR
74,George Pickens DAL (10),WR34,73.5,WR
75,Chris Olave NO (11),WR35,75.5,WR
76,Jauan Jennings SF (14),WR36,76.0,WR
77,Kyler Murray ARI (8),QB9,77.0,QB
78,Isiah Pacheco KC (10),RB29,77.0,RB
79,Calvin Ridley TEN (10),WR37,79.0,WR
80,T.J. Hockenson MIN (6),TE5,80.0,TE
81,Deebo Samuel Sr. WAS (12),WR38,80.0,WR
82,Tyrone Tracy Jr. NYG (14),RB30,80.5,RB
83,Travis Kelce KC (10),TE6,81.0,TE
84,Rome Odunze CHI (5),WR39,83.0,WR
85,Jared Goff DET (8),QB10,83.5,QB
86,Caleb Williams CHI (5),QB11,85.5,QB
87,Jonnu Smith MIA (12),TE7,88.5,TE
88,Brian Robinson Jr. WAS (12),RB31,90.0,RB
89,Jaylen Warren PIT (5),RB32,93.0,RB
90,Cooper Kupp SEA (8),WR40,93.5,WR
91,Najee Harris LAC (12),RB33,93.5,RB
92,Khalil Shakir BUF (7),WR41,94.0,WR
93,Dak Prescott DAL (10),QB12,95.0,QB
94,Ricky Pearsall SF (14),WR42,96.0,WR
95,Cam Skattebo NYG (14),RB34,96.0,RB
96,Brock Purdy SF (14),QB13,96.5,QB
97,Justin Herbert LAC (12),QB14,96.5,QB
98,Mark Andrews BAL (7),TE8,96.5,TE
99,Evan Engram DEN (12),TE9,98.0,TE
100,Jakobi Meyers LV (8),WR43,98.0,WR
101,Jayden Reed GB (5),WR44,99.0,WR
102,Zach Charbonnet SEA (8),RB35,102.5,RB
103,Stefon Diggs NE (14),WR45,103.5,WR
104,Justin Fields NYJ (9),QB15,104.0,QB
105,Travis Etienne Jr. JAC (8),RB36,104.0,RB
106,Brandon Aiyuk SF (14),WR46,106.0,WR
107,Javonte Williams DAL (10),RB37,107.5,RB
108,Matthew Golden GB (5),WR47,107.5,WR
109,Jordan Love GB (5),QB16,110.5,QB
110,C.J. Stroud HOU (6),QB17,110.5,QB
111,David Njoku CLE (9),TE10,111.0,TE
112,Rhamondre Stevenson NE (14),RB38,112.0,RB
113,Josh Downs IND (11),WR48,113.0,WR
114,Drake Maye NE (14),QB18,116.0,QB
115,Michael Pittman Jr. IND (11),WR49,116.0,WR
116,Tyler Warren IND (11),TE11,116.0,TE
117,Tucker Kraft GB (5),TE12,117.0,TE
118,Jordan Mason MIN (6),RB39,118.5,RB
119,Trevor Lawrence JAC (8),QB19,119.0,QB
120,Colston Loveland CHI (5),TE13,121.5,TE
121,Darnell Mooney ATL (5),WR50,122.0,WR
122,Jaydon Blue DAL (10),RB40,123.0,RB
123,Bhayshul Tuten JAC (8),RB41,125.5,RB
124,J.J. McCarthy MIN (6),QB20,126.0,QB
125,Tyjae Spears TEN (10),RB42,126.5,RB
126,Emeka Egbuka TB (9),WR51,127.5,WR
127,Tua Tagovailoa MIA (12),QB21,128.0,QB
128,Tank Bigsby JAC (8),RB43,128.0,RB
129,Rachaad White TB (9),RB44,128.5,RB
130,Dalton Kincaid BUF (7),TE14,130.5,TE
131,Luther Burden III CHI (5),WR52,133.5,WR
132,Keon Coleman BUF (7),WR53,134.0,WR
133,Jake Ferguson DAL (10),TE15,135.0,TE
134,Matthew Stafford LAR (8),QB22,135.5,QB
135,Michael Penix Jr. ATL (5),QB23,136.0,QB
136,Jayden Higgins HOU (6),WR54,136.5,WR
137,Trey Benson ARI (8),RB45,136.5,RB
138,Isaac Guerendo SF (14),RB46,139.0,RB
139,Bryce Young CAR (14),QB24,139.5,QB
140,Austin Ekeler WAS (12),RB47,140.5,RB
141,Tre Harris LAC (12),WR55,141.5,WR
142,Marvin Mims Jr. DEN (12),WR56,142.0,WR
143,Kyle Pitts ATL (5),TE16,142.5,TE
144,Marquise Brown KC (10),WR57,142.5,WR
145,J.K. Dobbins DEN (12),RB48,144.5,RB
146,Dallas Goedert PHI (9),TE17,144.5,TE
147,Christian Kirk HOU (6),WR58,145.0,WR
148,Pat Freiermuth PIT (5),TE18,145.0,TE
149,Geno Smith LV (8),QB25,145.5,QB
150,Ray Davis BUF (7),RB49,148.0,RB
151,Rashid Shaheed NO (11),WR59,149.0,WR
152,Jack Bech LV (8),WR60,151.5,WR
153,Rico Dowdle CAR (14),RB50,152.5,RB
154,Isaiah Likely BAL (7),TE19,153.5,TE
155,Sam Darnold SEA (8),QB26,154.5,QB
156,Cameron Ward TEN (10),QB27,154.5,QB
157,Jalen McMillan TB (9),WR61,159.0,WR
158,Braelon Allen NYJ (9),RB51,160.5,RB
