Player,Year,Team
Oday Aboushi,2018,arizona-cardinals
David Amerson,2018,arizona-cardinals
Jonathan Anderson,2018,arizona-cardinals
Thurston Armbrister,2018,arizona-cardinals
Budda Baker,2018,arizona-cardinals
Joe Barksdale,2018,arizona-cardinals
B.J. Bello,2018,arizona-cardinals
Bene' Benwikere,2018,arizona-cardinals
Antoine Bethea,2018,arizona-cardinals
Tre Boston,2018,arizona-cardinals
Sam Bradford,2018,arizona-cardinals
Daniel Braverman,2018,arizona-cardinals
Aaron Brewer,2018,arizona-cardinals
Deone Bucannon,2018,arizona-cardinals
Josh Bynes,2018,arizona-cardinals
Jeremy Cash,2018,arizona-cardinals
Blaine Clausell,2018,arizona-cardinals
Mason Cole,2018,arizona-cardinals
Derrick Coleman,2018,arizona-cardinals
Pharoh Cooper,2018,arizona-cardinals
Demetrious Cox,2018,arizona-cardinals
Montay Crockett,2018,arizona-cardinals
Korey Cunningham,2018,arizona-cardinals
Darrell Daniels,2018,arizona-cardinals
Phil Dawson,2018,arizona-cardinals
Vontarrius Dora,2018,arizona-cardinals
Malachi Dupre,2018,arizona-cardinals
Chase Edmonds,2018,arizona-cardinals
Justin Evans,2018,arizona-cardinals
Larry Fitzgerald,2018,arizona-cardinals
Rudy Ford,2018,arizona-cardinals
D.J. Foster,2018,arizona-cardinals
Kyle Friend,2018,arizona-cardinals
Dennis Gardeck,2018,arizona-cardinals
Mike Glennon,2018,arizona-cardinals
Markus Golden,2018,arizona-cardinals
Zack Golditch,2018,arizona-cardinals
Zane Gonzalez,2018,arizona-cardinals
Colby Gossett,2018,arizona-cardinals
Jermaine Gresham,2018,arizona-cardinals
Rodney Gunter,2018,arizona-cardinals
Nigel Harris,2018,arizona-cardinals
Gerald Hodges,2018,arizona-cardinals
Will Holden,2018,arizona-cardinals
Gabe Holmes,2018,arizona-cardinals
Will House,2018,arizona-cardinals
D.J. Humphries,2018,arizona-cardinals
Mike Iupati,2018,arizona-cardinals
Alec James,2018,arizona-cardinals
David Johnson,2018,arizona-cardinals
Dontae Johnson,2018,arizona-cardinals
Leonard Johnson,2018,arizona-cardinals
Chris Jones,2018,arizona-cardinals
Chandler Jones,2018,arizona-cardinals
Ufomba Kamalu,2018,arizona-cardinals
Chad Kanoff,2018,arizona-cardinals
Christian Kirk,2018,arizona-cardinals
Denver Kirkland,2018,arizona-cardinals
Andy Lee,2018,arizona-cardinals
Rick Leonard,2018,arizona-cardinals
T.J. Logan,2018,arizona-cardinals
Cameron Malveaux,2018,arizona-cardinals
Gabe Martin,2018,arizona-cardinals
Benson Mayowa,2018,arizona-cardinals
Matt McCrane,2018,arizona-cardinals
Arthur Moats,2018,arizona-cardinals
Zach Moore,2018,arizona-cardinals
Jonathan Moxey,2018,arizona-cardinals
Daniel Munyer,2018,arizona-cardinals
J.J. Nelson,2018,arizona-cardinals
Deatrick Nichols,2018,arizona-cardinals
Robert Nkemdiche,2018,arizona-cardinals
Ifeadi Odenigbo,2018,arizona-cardinals
Rees Odhiambo,2018,arizona-cardinals
Jonathan Owens,2018,arizona-cardinals
Elijhaa Penny,2018,arizona-cardinals
Corey Peters,2018,arizona-cardinals
Patrick Peterson,2018,arizona-cardinals
John Phillips,2018,arizona-cardinals
Olsen Pierre,2018,arizona-cardinals
Eddie Pleasant,2018,arizona-cardinals
Justin Pugh,2018,arizona-cardinals
Haason Reddick,2018,arizona-cardinals
Bernard Reedy,2018,arizona-cardinals
Pete Robertson,2018,arizona-cardinals
Quinten Rollins,2018,arizona-cardinals
Josh Rosen,2018,arizona-cardinals
Ricky Seals-Jones,2018,arizona-cardinals
Coleman Shelton,2018,arizona-cardinals
Trent Sherfield,2018,arizona-cardinals
A.Q. Shipley,2018,arizona-cardinals
Jalen Simmons,2018,arizona-cardinals
Andre Smith,2018,arizona-cardinals
Garrison Smith,2018,arizona-cardinals
Jacquies Smith,2018,arizona-cardinals
Fish Smithson,2018,arizona-cardinals
D.J. Swearinger,2018,arizona-cardinals
Pasoni Tasini,2018,arizona-cardinals
Jamar Taylor,2018,arizona-cardinals
Darian Thompson,2018,arizona-cardinals
Jalen Tolliver,2018,arizona-cardinals
Ezekiel Turner,2018,arizona-cardinals
Vincent Valentine,2018,arizona-cardinals
Andrew Vollert,2018,arizona-cardinals
Jeremy Vujnovich,2018,arizona-cardinals
Joe Walker,2018,arizona-cardinals
John Wetzel,2018,arizona-cardinals
Brandon Williams,2018,arizona-cardinals
Brandon Wilds,2018,arizona-cardinals
Chad Williams,2018,arizona-cardinals
Kendall Wright,2018,arizona-cardinals
Robert Alford,2019,arizona-cardinals
Zach Allen,2019,arizona-cardinals
Drew Anderson,2019,arizona-cardinals
Dan Arnold,2019,arizona-cardinals
Budda Baker,2019,arizona-cardinals
Chris Banjo,2019,arizona-cardinals
Keishawn Bierria,2019,arizona-cardinals
Saeed Blacknall,2019,arizona-cardinals
Dante Booker,2019,arizona-cardinals
Aaron Brewer,2019,arizona-cardinals
Tramaine Brock,2019,arizona-cardinals
Miles Brown,2019,arizona-cardinals
Jonathan Bullard,2019,arizona-cardinals
Hakeem Butler,2019,arizona-cardinals
Damiere Byrd,2019,arizona-cardinals
Andre Chachere,2019,arizona-cardinals
Charles Clay,2019,arizona-cardinals
Mason Cole,2019,arizona-cardinals
Pharoh Cooper,2019,arizona-cardinals
Michael Crabtree,2019,arizona-cardinals
Darrell Daniels,2019,arizona-cardinals
Jalen Davis,2019,arizona-cardinals
Justin Davis,2019,arizona-cardinals
Johnnie Dixon,2019,arizona-cardinals
Michael Dogbe,2019,arizona-cardinals
Vontarrius Dora,2019,arizona-cardinals
Kenyan Drake,2019,arizona-cardinals
Chase Edmonds,2019,arizona-cardinals
Javier Edwards,2019,arizona-cardinals
Kylie Fitts,2019,arizona-cardinals
Larry Fitzgerald,2019,arizona-cardinals
D.J. Foster,2019,arizona-cardinals
Lamont Gaillard,2019,arizona-cardinals
Max Garcia,2019,arizona-cardinals
Dennis Gardeck,2019,arizona-cardinals
Marcus Gilbert,2019,arizona-cardinals
Zane Gonzalez,2019,arizona-cardinals
Rodney Gunter,2019,arizona-cardinals
Jordan Hicks,2019,arizona-cardinals
D.J. Humphries,2019,arizona-cardinals
Brett Hundley,2019,arizona-cardinals
Andy Isabella,2019,arizona-cardinals
KeeSean Johnson,2019,arizona-cardinals
David Johnson,2019,arizona-cardinals
Lyndon Johnson,2019,arizona-cardinals
Chris Jones,2019,arizona-cardinals
Chandler Jones,2019,arizona-cardinals
Sam Jones,2019,arizona-cardinals
Zach Kerr,2019,arizona-cardinals
Christian Kirk,2019,arizona-cardinals
Andy Lee,2019,arizona-cardinals
Cassius Marsh,2019,arizona-cardinals
Clinton McDonald,2019,arizona-cardinals
Joshua Miles,2019,arizona-cardinals
Jordan Mills,2019,arizona-cardinals
Alfred Morris,2019,arizona-cardinals
Jamey Mosley,2019,arizona-cardinals
Byron Murphy,2019,arizona-cardinals
Justin Murray,2019,arizona-cardinals
Kyler Murray,2019,arizona-cardinals
Corey Peters,2019,arizona-cardinals
Kevin Peterson,2019,arizona-cardinals
Patrick Peterson,2019,arizona-cardinals
Justin Pugh,2019,arizona-cardinals
Haason Reddick,2019,arizona-cardinals
Brooks Reed,2019,arizona-cardinals
Caraun Reid,2019,arizona-cardinals
A.J. Richardson,2019,arizona-cardinals
Pete Robertson,2019,arizona-cardinals
Josh Shaw,2019,arizona-cardinals
Sojourn Shelton,2019,arizona-cardinals
Trent Sherfield,2019,arizona-cardinals
A.Q. Shipley,2019,arizona-cardinals
Ian Silberman,2019,arizona-cardinals
Kyle Sloter,2019,arizona-cardinals
Terrell Suggs,2019,arizona-cardinals
D.J. Swearinger,2019,arizona-cardinals
William Sweet,2019,arizona-cardinals
J.R. Sweezy,2019,arizona-cardinals
Pita Taumoepenu,2019,arizona-cardinals
Duke Thomas,2019,arizona-cardinals
Deionte Thompson,2019,arizona-cardinals
Jalen Thompson,2019,arizona-cardinals
Brett Toth,2019,arizona-cardinals
Ezekiel Turner,2019,arizona-cardinals
Tanner Vallejo,2019,arizona-cardinals
Jeremy Vujnovich,2019,arizona-cardinals
Joe Walker,2019,arizona-cardinals
Charles Washington,2019,arizona-cardinals
Brandon Williams,2019,arizona-cardinals
Caleb Wilson,2019,arizona-cardinals
Maxx Williams,2019,arizona-cardinals
Trevor Williams,2019,arizona-cardinals
Ramik Wilson,2019,arizona-cardinals
Ryan Winslow,2019,arizona-cardinals
Zach Zenner,2019,arizona-cardinals
Robert Alford,2020,arizona-cardinals
Zach Allen,2020,arizona-cardinals
Prince Amukamara,2020,arizona-cardinals
Stephone Anthony,2020,arizona-cardinals
Dan Arnold,2020,arizona-cardinals
Budda Baker,2020,arizona-cardinals
Chris Banjo,2020,arizona-cardinals
DeVante Bausby,2020,arizona-cardinals
Evan Baylis,2020,arizona-cardinals
Kelvin Beachum,2020,arizona-cardinals
Eno Benjamin,2020,arizona-cardinals
Angelo Blackson,2020,arizona-cardinals
Aaron Brewer,2020,arizona-cardinals
Kentrell Brice,2020,arizona-cardinals
Jaron Brown,2020,arizona-cardinals
Jonathan Bullard,2020,arizona-cardinals
De'Vondre Campbell,2020,arizona-cardinals
Mason Cole,2020,arizona-cardinals
Trevon Coley,2020,arizona-cardinals
Darrell Daniels,2020,arizona-cardinals
Jalen Davis,2020,arizona-cardinals
Seth DeValve,2020,arizona-cardinals
Michael Dogbe,2020,arizona-cardinals
Kenyan Drake,2020,arizona-cardinals
Chase Edmonds,2020,arizona-cardinals
Kylie Fitts,2020,arizona-cardinals
Larry Fitzgerald,2020,arizona-cardinals
D.J. Foster,2020,arizona-cardinals
Leki Fotu,2020,arizona-cardinals
Lamont Gaillard,2020,arizona-cardinals
Max Garcia,2020,arizona-cardinals
Dennis Gardeck,2020,arizona-cardinals
Marcus Gilbert,2020,arizona-cardinals
Reggie Gilbert,2020,arizona-cardinals
Markus Golden,2020,arizona-cardinals
Zane Gonzalez,2020,arizona-cardinals
Jordan Hicks,2020,arizona-cardinals
Krishawn Hogan,2020,arizona-cardinals
DeAndre Hopkins,2020,arizona-cardinals
D.J. Humphries,2020,arizona-cardinals
Brett Hundley,2020,arizona-cardinals
Isaiah Irving,2020,arizona-cardinals
Andy Isabella,2020,arizona-cardinals
KeeSean Johnson,2020,arizona-cardinals
Justin Johnson,2020,arizona-cardinals
P.J. Johnson,2020,arizona-cardinals
Chris Jones,2020,arizona-cardinals
Chandler Jones,2020,arizona-cardinals
Josh Jones,2020,arizona-cardinals
Johnathan Joseph,2020,arizona-cardinals
Devon Kennard,2020,arizona-cardinals
Christian Kirk,2020,arizona-cardinals
Dre Kirkpatrick,2020,arizona-cardinals
Rashard Lawrence,2020,arizona-cardinals
Andy Lee,2020,arizona-cardinals
Rick Leonard,2020,arizona-cardinals
Richie Leone,2020,arizona-cardinals
Daylon Mack,2020,arizona-cardinals
Brett Maher,2020,arizona-cardinals
Koda Martin,2020,arizona-cardinals
Josh Mauro,2020,arizona-cardinals
Stacy McGee,2020,arizona-cardinals
Joshua Miles,2020,arizona-cardinals
Chris Miller,2020,arizona-cardinals
Khalfani Muhammad,2020,arizona-cardinals
Byron Murphy,2020,arizona-cardinals
Justin Murray,2020,arizona-cardinals
Kyler Murray,2020,arizona-cardinals
Picasso Nelson,2020,arizona-cardinals
Mike Nugent,2020,arizona-cardinals
Andre Patton,2020,arizona-cardinals
Domata Peko Sr.,2020,arizona-cardinals
Corey Peters,2020,arizona-cardinals
Kevin Peterson,2020,arizona-cardinals
Patrick Peterson,2020,arizona-cardinals
Jordan Phillips,2020,arizona-cardinals
Justin Pugh,2020,arizona-cardinals
Haason Reddick,2020,arizona-cardinals
A.J. Richardson,2020,arizona-cardinals
Curtis Riley,2020,arizona-cardinals
Trent Sherfield,2020,arizona-cardinals
Isaiah Simmons,2020,arizona-cardinals
Terrance Smith,2020,arizona-cardinals
Chris Streveler,2020,arizona-cardinals
J.R. Sweezy,2020,arizona-cardinals
Jordan Thomas,2020,arizona-cardinals
Deionte Thompson,2020,arizona-cardinals
Jalen Thompson,2020,arizona-cardinals
Brett Toth,2020,arizona-cardinals
Ezekiel Turner,2020,arizona-cardinals
Tanner Vallejo,2020,arizona-cardinals
Reggie Walker,2020,arizona-cardinals
JoJo Ward,2020,arizona-cardinals
Jonathan Ward,2020,arizona-cardinals
T.J. Ward,2020,arizona-cardinals
Charles Washington,2020,arizona-cardinals
Evan Weaver,2020,arizona-cardinals
Isaac Whitney,2020,arizona-cardinals
Jace Whittaker,2020,arizona-cardinals
Maxx Williams,2020,arizona-cardinals
Robert Alford,2021,arizona-cardinals
Zach Allen,2021,arizona-cardinals
Andre Baccellia,2021,arizona-cardinals
Budda Baker,2021,arizona-cardinals
Chris Banjo,2021,arizona-cardinals
Luq Barcoo,2021,arizona-cardinals
Kelvin Beachum,2021,arizona-cardinals
Eno Benjamin,2021,arizona-cardinals
Breon Borders,2021,arizona-cardinals
Bashaud Breeland,2021,arizona-cardinals
Aaron Brewer,2021,arizona-cardinals
Beau Brinkley,2021,arizona-cardinals
Nate Brooks,2021,arizona-cardinals
Shaq Calhoun,2021,arizona-cardinals
Ron'Dell Carter,2021,arizona-cardinals
Zaven Collins,2021,arizona-cardinals
James Conner,2021,arizona-cardinals
