Player,Year,Abbr,Team_Slug
Oday Aboushi,2018,ARI,arizona-cardinals
David Amerson,2018,ARI,arizona-cardinals
Jonathan Anderson,2018,ARI,arizona-cardinals
Thurston Armbrister,2018,ARI,arizona-cardinals
Budda Baker,2018,ARI,arizona-cardinals
Joe Barksdale,2018,ARI,arizona-cardinals
B.J. Bello,2018,ARI,arizona-cardinals
Bene' Benwikere,2018,ARI,arizona-cardinals
Antoine Bethea,2018,ARI,arizona-cardinals
Tre Boston,2018,ARI,arizona-cardinals
Sam Bradford,2018,ARI,arizona-cardinals
Daniel Braverman,2018,ARI,arizona-cardinals
Aaron Brewer,2018,ARI,arizona-cardinals
Deone Bucannon,2018,ARI,arizona-cardinals
Josh Bynes,2018,ARI,arizona-cardinals
Jeremy Cash,2018,ARI,arizona-cardinals
Blaine Clausell,2018,ARI,arizona-cardinals
Mason Cole,2018,ARI,arizona-cardinals
Derrick Coleman,2018,ARI,arizona-cardinals
Pharoh Cooper,2018,ARI,arizona-cardinals
Demetrious Cox,2018,ARI,arizona-cardinals
Montay Crockett,2018,ARI,arizona-cardinals
Korey Cunningham,2018,ARI,arizona-cardinals
Darrell Daniels,2018,ARI,arizona-cardinals
Phil Dawson,2018,ARI,arizona-cardinals
Vontarrius Dora,2018,ARI,arizona-cardinals
Malachi Dupre,2018,ARI,arizona-cardinals
Chase Edmonds,2018,ARI,arizona-cardinals
Justin Evans,2018,ARI,arizona-cardinals
Larry Fitzgerald,2018,ARI,arizona-cardinals
Rudy Ford,2018,ARI,arizona-cardinals
D.J. Foster,2018,ARI,arizona-cardinals
Kyle Friend,2018,ARI,arizona-cardinals
Dennis Gardeck,2018,ARI,arizona-cardinals
Mike Glennon,2018,ARI,arizona-cardinals
Markus Golden,2018,ARI,arizona-cardinals
Zack Golditch,2018,ARI,arizona-cardinals
Zane Gonzalez,2018,ARI,arizona-cardinals
Colby Gossett,2018,ARI,arizona-cardinals
Jermaine Gresham,2018,ARI,arizona-cardinals
Rodney Gunter,2018,ARI,arizona-cardinals
Nigel Harris,2018,ARI,arizona-cardinals
Gerald Hodges,2018,ARI,arizona-cardinals
Will Holden,2018,ARI,arizona-cardinals
Gabe Holmes,2018,ARI,arizona-cardinals
Will House,2018,ARI,arizona-cardinals
D.J. Humphries,2018,ARI,arizona-cardinals
Mike Iupati,2018,ARI,arizona-cardinals
Alec James,2018,ARI,arizona-cardinals
David Johnson,2018,ARI,arizona-cardinals
Dontae Johnson,2018,ARI,arizona-cardinals
Leonard Johnson,2018,ARI,arizona-cardinals
Chris Jones,2018,ARI,arizona-cardinals
Chandler Jones,2018,ARI,arizona-cardinals
Ufomba Kamalu,2018,ARI,arizona-cardinals
Chad Kanoff,2018,ARI,arizona-cardinals
Christian Kirk,2018,ARI,arizona-cardinals
Denver Kirkland,2018,ARI,arizona-cardinals
Andy Lee,2018,ARI,arizona-cardinals
Rick Leonard,2018,ARI,arizona-cardinals
T.J. Logan,2018,ARI,arizona-cardinals
Cameron Malveaux,2018,ARI,arizona-cardinals
Gabe Martin,2018,ARI,arizona-cardinals
Benson Mayowa,2018,ARI,arizona-cardinals
Matt McCrane,2018,ARI,arizona-cardinals
Arthur Moats,2018,ARI,arizona-cardinals
Zach Moore,2018,ARI,arizona-cardinals
Jonathan Moxey,2018,ARI,arizona-cardinals
Daniel Munyer,2018,ARI,arizona-cardinals
J.J. Nelson,2018,ARI,arizona-cardinals
Deatrick Nichols,2018,ARI,arizona-cardinals
Robert Nkemdiche,2018,ARI,arizona-cardinals
Ifeadi Odenigbo,2018,ARI,arizona-cardinals
Rees Odhiambo,2018,ARI,arizona-cardinals
Jonathan Owens,2018,ARI,arizona-cardinals
Elijhaa Penny,2018,ARI,arizona-cardinals
Corey Peters,2018,ARI,arizona-cardinals
Patrick Peterson,2018,ARI,arizona-cardinals
John Phillips,2018,ARI,arizona-cardinals
Olsen Pierre,2018,ARI,arizona-cardinals
Eddie Pleasant,2018,ARI,arizona-cardinals
Justin Pugh,2018,ARI,arizona-cardinals
Haason Reddick,2018,ARI,arizona-cardinals
Bernard Reedy,2018,ARI,arizona-cardinals
Pete Robertson,2018,ARI,arizona-cardinals
Quinten Rollins,2018,ARI,arizona-cardinals
Josh Rosen,2018,ARI,arizona-cardinals
Ricky Seals-Jones,2018,ARI,arizona-cardinals
Coleman Shelton,2018,ARI,arizona-cardinals
Trent Sherfield,2018,ARI,arizona-cardinals
A.Q. Shipley,2018,ARI,arizona-cardinals
Jalen Simmons,2018,ARI,arizona-cardinals
Andre Smith,2018,ARI,arizona-cardinals
Garrison Smith,2018,ARI,arizona-cardinals
Jacquies Smith,2018,ARI,arizona-cardinals
Fish Smithson,2018,ARI,arizona-cardinals
D.J. Swearinger,2018,ARI,arizona-cardinals
Pasoni Tasini,2018,ARI,arizona-cardinals
Jamar Taylor,2018,ARI,arizona-cardinals
Darian Thompson,2018,ARI,arizona-cardinals
Jalen Tolliver,2018,ARI,arizona-cardinals
Ezekiel Turner,2018,ARI,arizona-cardinals
Vincent Valentine,2018,ARI,arizona-cardinals
Andrew Vollert,2018,ARI,arizona-cardinals
Jeremy Vujnovich,2018,ARI,arizona-cardinals
Joe Walker,2018,ARI,arizona-cardinals
John Wetzel,2018,ARI,arizona-cardinals
Brandon Williams,2018,ARI,arizona-cardinals
Brandon Wilds,2018,ARI,arizona-cardinals
Chad Williams,2018,ARI,arizona-cardinals
Kendall Wright,2018,ARI,arizona-cardinals
