Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score
45,Justin Tucker,37.0,43.0,86.0,58,0.0,13.0,11.0,4.0,9.0,31,32,17,164.0,9.6,15.4%,98.63999999999999
44,Daniel Carlson,34.0,37.0,91.9,57,0.0,9.0,11.0,3.0,11.0,35,36,17,162.0,9.5,12.7%,96.08
43,Jason Myers,34.0,37.0,91.9,56,0.0,9.0,15.0,4.0,6.0,41,42,17,159.0,9.4,8.5%,95.13999999999999
42,Brett Maher,29.0,32.0,90.6,60,0.0,9.0,5.0,6.0,9.0,50,53,17,161.0,9.5,1.4%,92.02
41,Younghoe Koo,32.0,37.0,86.5,54,0.0,9.0,7.0,9.0,7.0,33,35,17,152.0,8.9,21.5%,90.76
40,Eddy Pineiro,33.0,35.0,94.3,54,0.0,2.0,16.0,13.0,2.0,30,32,17,146.0,8.6,0.8%,89.8
39,Nick Folk,32.0,37.0,86.5,54,1.0,9.0,8.0,10.0,4.0,32,35,17,146.0,8.6,0.9%,88.83999999999999
38,Graham Gano,29.0,32.0,90.6,57,0.0,2.0,9.0,10.0,8.0,32,34,17,145.0,8.5,2.2%,86.12
37,Tyler Bass,28.0,32.0,87.5,56,0.0,5.0,11.0,10.0,2.0,48,50,17,146.0,8.6,59.4%,85.64
36,Riley Patterson,30.0,35.0,85.7,53,0.0,8.0,10.0,10.0,2.0,36,37,17,140.0,8.2,1.1%,85.22
35,Chase McLaughlin,30.0,36.0,83.3,54,0.0,7.0,5.0,9.0,9.0,21,21,16,138.0,8.6,69.7%,84.39999999999999
34,Greg Zuerlein,30.0,37.0,81.1,60,0.0,5.0,10.0,9.0,6.0,28,29,17,139.0,8.2,1.5%,84.1
33,Robbie Gould,27.0,32.0,84.4,51,0.0,13.0,5.0,7.0,2.0,50,51,17,142.0,8.4,1.1%,84.04000000000002
32,Ryan Succop,31.0,38.0,81.6,54,0.0,10.0,7.0,12.0,2.0,24,25,17,133.0,7.8,1.5%,83.44
31,Ka'imi Fairbairn,29.0,31.0,93.5,56,0.0,7.0,7.0,9.0,6.0,24,24,17,132.0,7.8,62.7%,82.82
30,Matt Gay,28.0,30.0,93.3,58,0.0,9.0,8.0,4.0,7.0,31,32,17,133.0,7.8,14.1%,82.57999999999998
29,Brandon McManus,28.0,36.0,77.8,55,0.0,6.0,4.0,10.0,8.0,25,27,17,135.0,7.9,7.1%,81.02
28,Jason Sanders,26.0,32.0,81.3,55,0.0,5.0,7.0,12.0,2.0,41,44,17,135.0,7.9,47.1%,79.82000000000001
27,Greg Joseph,26.0,33.0,78.8,61,0.0,10.0,5.0,7.0,4.0,40,46,17,133.0,7.8,0.8%,79.38
26,Evan McPherson,24.0,29.0,82.8,59,1.0,5.0,4.0,9.0,5.0,41,45,17,132.0,7.8,42.4%,77.58
25,Mason Crosby,25.0,29.0,86.2,56,0.0,10.0,8.0,6.0,1.0,37,39,17,120.0,7.1,0.1%,75.38000000000001
24,Michael Badgley,24.0,28.0,85.7,53,0.0,6.0,7.0,9.0,2.0,33,33,13,118.0,9.1,7.0%,74.38000000000001
23,Joey Slye,25.0,30.0,83.3,58,1.0,8.0,4.0,8.0,4.0,24,28,17,115.0,6.8,1.8%,73.17999999999999
22,Cade York,24.0,32.0,75.0,58,0.0,5.0,9.0,6.0,4.0,35,37,17,121.0,7.1,2.9%,73.03999999999999
21,Jake Elliott,20.0,23.0,87.0,56,0.0,6.0,8.0,1.0,5.0,51,53,16,122.0,7.6,60.7%,72.24000000000001
20,Wil Lutz,23.0,31.0,74.2,60,0.0,6.0,9.0,4.0,4.0,33,33,17,114.0,6.7,32.7%,70.02
19,Cairo Santos,21.0,23.0,91.3,51,0.0,4.0,7.0,6.0,4.0,27,32,16,104.0,6.5,17.7%,67.56
18,Matt Prater,22.0,25.0,88.0,57,0.0,1.0,10.0,6.0,5.0,17,18,13,99.0,7.6,0.8%,66.44
17,Cameron Dicker,21.0,22.0,95.5,48,0.0,7.0,7.0,7.0,0.0,24,24,11,94.0,8.5,91.3%,66.30000000000001
16,Harrison Butker,18.0,24.0,75.0,62,0.0,7.0,4.0,4.0,3.0,38,41,13,102.0,7.8,69.8%,63.22
15,Chris Boswell,20.0,28.0,71.4,59,0.0,4.0,4.0,5.0,7.0,18,18,12,97.0,8.1,72.3%,62.620000000000005
14,Randy Bullock,17.0,20.0,85.0,51,0.0,5.0,5.0,6.0,1.0,28,28,16,87.0,5.4,1.1%,58.260000000000005
