Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,R_ATT,R_YDS,R_TD,FL,G,FPTS,FPTS/G,ROST,Score
83,Tom Brady,485.0,719,67.5,5316.0,7.4,43.0,12.0,22,28.0,81.0,2.0,3,17,386.7,22.7,3.7%,2334.57
82,Justin Herbert,443.0,672,65.9,5014.0,7.5,38.0,15.0,31,63.0,302.0,3.0,1,17,395.6,23.3,87.1%,2231.5000000000005
81,Patrick Mahomes II,436.0,658,66.3,4828.0,7.3,37.0,13.0,28,66.0,381.0,2.0,4,17,374.2,22.0,95.9%,2156.7200000000003
80,Matthew Stafford,404.0,601,67.2,4886.0,8.1,41.0,17.0,30,32.0,43.0,0.0,2,17,346.8,20.4,48.4%,2135.82
79,Derek Carr,428.0,626,68.4,4804.0,7.7,23.0,14.0,40,40.0,108.0,0.0,5,17,270.6,15.9,15.1%,2076.68
78,Josh Allen,409.0,646,63.3,4407.0,6.8,36.0,15.0,26,122.0,763.0,6.0,3,17,417.7,24.6,99.1%,2037.81
77,Joe Burrow,366.0,520,70.4,4611.0,8.9,34.0,14.0,51,40.0,118.0,2.0,2,16,328.1,20.5,97.9%,2020.6100000000001
76,Dak Prescott,410.0,596,68.8,4449.0,7.5,37.0,10.0,30,48.0,146.0,1.0,6,16,330.4,20.7,76.7%,1965.5
75,Kirk Cousins,372.0,561,66.3,4221.0,7.5,33.0,7.0,28,29.0,115.0,1.0,2,16,307.3,19.2,16.5%,1857.7700000000002
74,Aaron Rodgers,366.0,531,68.9,4115.0,7.7,37.0,4.0,30,33.0,101.0,3.0,0,16,337.3,21.1,26.2%,1826.2699999999998
73,Matt Ryan,375.0,560,67.0,3968.0,7.1,20.0,12.0,40,40.0,82.0,1.0,4,17,234.8,13.8,0.1%,1721.2800000000002
72,Kyler Murray,333.0,481,69.2,3787.0,7.9,24.0,10.0,31,88.0,423.0,5.0,0,14,310.5,22.2,89.4%,1708.4100000000003
71,Ryan Tannehill,357.0,531,67.2,3734.0,7.0,21.0,14.0,47,55.0,270.0,7.0,4,17,282.3,16.6,1.1%,1661.6300000000003
70,Mac Jones,352.0,521,67.6,3801.0,7.3,22.0,13.0,28,44.0,129.0,0.0,3,17,238.0,14.0,3.7%,1658.8600000000004
69,Jimmy Garoppolo,301.0,441,68.3,3810.0,8.6,20.0,12.0,29,38.0,51.0,3.0,3,15,239.5,16.0,2.4%,1650.5699999999997
68,Ben Roethlisberger,390.0,605,64.5,3740.0,6.2,22.0,10.0,38,20.0,5.0,1.0,5,16,228.0,14.3,9.5%,1623.2600000000002
67,Trevor Lawrence,359.0,602,59.6,3641.0,6.0,12.0,17.0,32,73.0,334.0,2.0,5,17,216.0,12.7,50.3%,1602.6800000000003
66,Carson Wentz,322.0,516,62.4,3563.0,6.9,27.0,7.0,32,57.0,215.0,1.0,5,17,264.9,15.6,0.7%,1581.6900000000003
65,Taylor Heinicke,321.0,494,65.0,3419.0,6.9,20.0,15.0,38,60.0,313.0,1.0,2,16,237.7,14.9,0.7%,1520.3500000000001
64,Jalen Hurts,265.0,432,61.3,3144.0,7.3,16.0,9.0,26,139.0,784.0,10.0,2,15,321.2,21.4,98.3%,1479.58
63,Jared Goff,332.0,494,67.2,3245.0,6.6,19.0,8.0,35,17.0,87.0,0.0,6,14,202.4,14.5,85.9%,1418.3400000000001
62,Russell Wilson,259.0,400,64.8,3113.0,7.8,25.0,6.0,33,43.0,183.0,2.0,1,14,248.7,17.8,22.2%,1387.49
61,Lamar Jackson,246.0,382,64.4,2882.0,7.5,16.0,13.0,38,134.0,767.0,2.0,3,12,253.0,21.1,98.8%,1348.64
60,Teddy Bridgewater,285.0,426,66.9,3052.0,7.2,18.0,7.0,31,30.0,106.0,2.0,1,14,209.8,15.0,1.4%,1340.78
59,Baker Mayfield,253.0,418,60.5,3010.0,7.2,17.0,13.0,43,37.0,134.0,1.0,3,14,193.8,13.8,94.1%,1316.9000000000003
58,Tua Tagovailoa,263.0,388,67.8,2653.0,6.8,16.0,10.0,20,42.0,128.0,3.0,1,13,190.9,14.7,49.7%,1174.0099999999998
57,Davis Mills,263.0,394,66.8,2664.0,6.8,16.0,10.0,31,18.0,44.0,0.0,1,13,167.0,12.8,0.9%,1161.4799999999998
56,Sam Darnold,243.0,406,59.9,2527.0,6.2,9.0,13.0,35,48.0,222.0,5.0,4,12,170.5,14.2,37.0%,1120.4700000000003
55,Daniel Jones,232.0,361,64.3,2428.0,6.7,10.0,7.0,22,62.0,298.0,2.0,3,11,174.6,15.9,20.0%,1089.9800000000002
54,Zach Wilson,213.0,383,55.6,2334.0,6.1,9.0,11.0,44,29.0,185.0,4.0,1,13,162.9,12.5,3.2%,1033.59
53,Justin Fields,159.0,270,58.9,1870.0,6.9,7.0,10.0,36,72.0,420.0,2.0,5,12,136.9,11.4,79.1%,856.51
52,Andy Dalton,149.0,236,63.1,1515.0,6.4,8.0,9.0,18,16.0,76.0,0.0,1,8,93.1,11.6,1.2%,666.2499999999999
