Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,ROST,Score
259,Saquon Barkley,345.0,2005.0,5.8,72,17,13.0,33.0,43,278.0,8.4,2.0,1.0,16,355.3,22.2,99.0%,1051.74
258,Derrick Henry,325.0,1921.0,5.9,87,19,16.0,19.0,22,193.0,10.2,2.0,1.0,17,336.4,19.8,98.7%,998.755
257,Bijan Robinson,304.0,1456.0,4.8,37,5,14.0,61.0,72,431.0,7.1,1.0,0.0,17,341.7,20.1,98.7%,815.5900000000001
256,Jahmyr Gibbs,250.0,1412.0,5.6,70,13,16.0,52.0,63,517.0,9.9,4.0,1.0,17,362.9,21.3,99.0%,803.8100000000001
255,Jonathan Taylor,303.0,1431.0,4.7,70,11,11.0,18.0,31,136.0,7.6,1.0,1.0,14,244.7,17.5,98.3%,748.945
254,Josh Jacobs,301.0,1329.0,4.4,38,7,15.0,36.0,43,342.0,9.5,1.0,3.0,17,293.1,17.2,98.1%,736.1900000000002
253,Kyren Williams,316.0,1299.0,4.1,30,2,14.0,34.0,40,182.0,5.4,2.0,3.0,16,272.1,17.0,97.6%,703.3850000000002
252,Chuba Hubbard,250.0,1195.0,4.8,38,8,10.0,43.0,54,171.0,4.0,1.0,3.0,15,241.6,16.1,93.2%,641.8200000000002
251,Aaron Jones Sr.,255.0,1138.0,4.5,41,3,5.0,51.0,62,408.0,8.0,2.0,3.0,17,241.6,14.2,89.7%,638.6550000000001
250,Bucky Irving,207.0,1122.0,5.4,56,8,8.0,47.0,52,392.0,8.3,0.0,1.0,17,244.4,14.4,98.2%,626.6100000000001
249,James Conner,236.0,1094.0,4.6,53,6,8.0,47.0,55,414.0,8.8,1.0,1.0,16,253.8,15.9,92.4%,621.4200000000001
248,Tony Pollard,260.0,1079.0,4.2,41,6,5.0,41.0,57,238.0,5.8,0.0,2.0,16,200.7,12.5,87.8%,585.77
247,Rico Dowdle,235.0,1079.0,4.6,27,2,2.0,39.0,49,249.0,6.4,3.0,2.0,16,197.8,12.4,41.2%,582.7199999999999
246,Najee Harris,263.0,1043.0,4.0,36,9,6.0,36.0,48,283.0,7.9,0.0,0.0,17,204.6,12.0,82.2%,575.0699999999999
245,Joe Mixon,245.0,1016.0,4.1,59,8,11.0,36.0,52,309.0,8.6,1.0,0.0,14,240.5,17.2,96.6%,574.575
244,Alvin Kamara,228.0,950.0,4.2,24,3,6.0,68.0,89,543.0,8.0,2.0,0.0,14,265.3,19.0,94.6%,573.3899999999999
243,James Cook,207.0,1009.0,4.9,65,6,16.0,32.0,38,258.0,8.1,2.0,0.0,16,266.7,16.7,97.6%,569.4350000000001
242,Chase Brown,229.0,990.0,4.3,40,8,7.0,54.0,65,360.0,6.7,4.0,1.0,16,255.0,15.9,94.8%,569.3149999999999
241,De'Von Achane,203.0,907.0,4.5,61,5,6.0,78.0,87,592.0,7.6,6.0,0.0,17,299.9,17.6,97.9%,564.3850000000001
240,D'Andre Swift,253.0,959.0,3.8,56,5,6.0,42.0,52,386.0,9.2,0.0,0.0,17,214.5,12.6,88.9%,549.3
239,Breece Hall,209.0,876.0,4.2,42,3,5.0,57.0,76,483.0,8.5,3.0,2.0,16,240.9,15.1,96.6%,524.5399999999998
238,J.K. Dobbins,195.0,905.0,4.6,61,6,9.0,32.0,38,153.0,4.8,0.0,0.0,13,191.8,14.8,52.0%,492.34000000000003
237,Tyrone Tracy Jr.,192.0,839.0,4.4,45,6,5.0,38.0,53,284.0,7.5,1.0,2.0,17,182.3,10.7,84.6%,471.18
236,David Montgomery,185.0,775.0,4.2,21,1,12.0,36.0,38,341.0,9.5,0.0,1.0,14,221.7,15.8,93.5%,459.36
235,Rhamondre Stevenson,207.0,801.0,3.9,33,2,7.0,33.0,41,168.0,5.1,1.0,3.0,15,175.9,11.7,81.8%,443.125
234,Brian Robinson Jr.,187.0,799.0,4.3,40,4,8.0,20.0,25,159.0,8.0,0.0,2.0,14,159.8,11.4,86.1%,435.17499999999995
233,Jordan Mason,153.0,789.0,5.2,38,9,3.0,11.0,14,91.0,8.3,0.0,1.0,12,115.0,9.6,65.8%,408.31
232,Kareem Hunt,200.0,728.0,3.6,20,1,7.0,23.0,32,176.0,7.7,0.0,0.0,13,155.4,12.0,31.9%,405.5200000000001
231,Tank Bigsby,168.0,766.0,4.6,65,4,7.0,7.0,12,54.0,7.7,0.0,1.0,16,129.0,8.1,72.3%,399.21999999999997
230,Rachaad White,144.0,613.0,4.3,56,2,3.0,51.0,57,393.0,7.7,6.0,3.0,16,199.6,12.5,72.7%,380.46500000000003
229,Zach Charbonnet,135.0,569.0,4.2,51,3,8.0,42.0,52,340.0,8.1,1.0,0.0,17,186.9,11.0,79.4%,352.36
228,Kenneth Walker III,153.0,573.0,3.7,28,5,7.0,46.0,53,299.0,6.5,1.0,0.0,11,181.2,16.5,94.1%,352.2950000000001
