Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
153,Evan Engram,114.0,143,963.0,8.4,34.0,9.0,4.0,0,0,0,2,17,230.3,13.5,87.0%,362.69999999999993
152,Travis Kelce,93.0,121,984.0,10.6,53.0,12.0,5.0,0,0,0,1,15,219.4,14.6,94.3%,360.79999999999995
151,George Kittle,65.0,90,1020.0,15.7,66.0,18.0,6.0,1,2,0,0,16,203.2,12.7,97.9%,357.545
150,T.J. Hockenson,95.0,127,960.0,10.1,29.0,13.0,5.0,0,0,0,1,15,219.0,14.6,94.1%,353.00499999999994
149,Sam LaPorta,86.0,120,889.0,10.3,48.0,8.0,10.0,1,4,0,0,17,239.3,14.1,97.7%,341.92500000000007
148,David Njoku,81.0,123,882.0,10.9,43.0,12.0,6.0,0,0,0,2,16,201.2,12.6,90.2%,324.385
147,Trey McBride,81.0,106,825.0,10.2,38.0,9.0,3.0,0,0,0,0,17,181.5,10.7,98.3%,301.06
146,Jake Ferguson,71.0,102,761.0,10.7,40.0,8.0,5.0,0,0,0,0,17,177.1,10.4,71.7%,281.29499999999996
145,Cole Kmet,73.0,90,719.0,9.8,53.0,9.0,6.0,3,2,0,0,17,181.1,10.7,26.5%,274.58000000000004
144,Dalton Kincaid,73.0,91,673.0,9.2,51.0,5.0,2.0,0,0,0,1,16,150.3,9.4,81.3%,250.63
143,Kyle Pitts,53.0,90,667.0,12.6,39.0,7.0,3.0,1,-4,0,0,17,137.3,8.1,53.5%,237.72
142,Dalton Schultz,59.0,88,635.0,10.8,31.0,7.0,5.0,0,0,0,1,15,150.5,10.0,23.2%,236.47
141,Tyler Conklin,61.0,87,621.0,10.2,37.0,7.0,0.0,1,0,0,0,17,123.1,7.2,13.7%,222.33999999999997
140,Dallas Goedert,59.0,83,592.0,10.0,49.0,6.0,3.0,1,1,0,0,14,136.3,9.7,80.9%,221.92000000000002
139,Jonnu Smith,50.0,70,582.0,11.6,60.0,4.0,3.0,1,0,0,1,17,124.2,7.3,90.4%,212.82
138,Mark Andrews,45.0,61,544.0,12.1,38.0,8.0,6.0,1,0,0,0,10,135.4,13.5,92.7%,207.18500000000003
137,Darren Waller,52.0,74,552.0,10.6,29.0,8.0,1.0,0,0,0,0,12,113.2,9.4,1.1%,199.71
136,Chig Okonkwo,54.0,77,528.0,9.8,39.0,6.0,1.0,2,6,0,0,17,113.4,6.7,24.5%,194.07000000000002
135,Logan Thomas,55.0,78,496.0,9.0,29.0,3.0,4.0,1,2,0,2,16,126.8,7.9,0.0%,191.0
134,Tyler Higbee,47.0,70,495.0,10.5,33.0,6.0,2.0,0,0,0,0,15,108.5,7.2,16.9%,182.10499999999996
133,Cade Otton,47.0,67,455.0,9.7,27.0,6.0,4.0,0,0,0,1,17,116.5,6.9,37.5%,174.66499999999996
132,Hunter Henry,42.0,61,419.0,10.0,24.0,2.0,6.0,0,0,0,0,14,119.9,8.6,48.8%,165.96
131,Gerald Everett,51.0,70,411.0,8.1,31.0,4.0,3.0,3,10,0,0,15,111.1,7.4,0.8%,163.10500000000002
130,Isaiah Likely,30.0,40,411.0,13.7,54.0,6.0,5.0,0,0,0,0,17,101.1,5.9,51.6%,156.495
129,Noah Fant,32.0,43,414.0,12.9,51.0,7.0,0.0,0,0,0,0,17,73.4,4.3,17.7%,146.175
128,Juwan Johnson,37.0,59,368.0,9.9,32.0,7.0,4.0,0,0,0,0,13,97.8,7.5,18.1%,144.675
127,Taysom Hill,33.0,40,291.0,8.8,36.0,2.0,2.0,81,401,4,1,16,143.5,9.0,20.6%,137.07
126,Kylen Granson,30.0,50,368.0,12.3,46.0,5.0,1.0,1,2,0,0,15,73.0,4.9,1.0%,133.80499999999998
125,Tanner Hudson,39.0,50,352.0,9.0,26.0,3.0,1.0,0,0,0,0,12,80.2,6.7,1.2%,133.14
124,Tucker Kraft,31.0,40,355.0,11.5,43.0,5.0,2.0,0,0,0,0,17,78.5,4.6,85.0%,132.515
123,Luke Musgrave,34.0,46,352.0,10.4,37.0,5.0,1.0,0,0,0,0,11,75.2,6.8,11.0%,131.44
