Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
250,Justin Jefferson,128.0,184,1809.0,14.1,64.0,28.0,8.0,4,24,1,0,17,368.6,21.7,99.0%,512.365
249,Tyreek Hill,119.0,170,1710.0,14.4,64.0,25.0,7.0,7,32,1,0,17,341.2,20.1,97.1%,483.71
248,Davante Adams,100.0,180,1516.0,15.2,60.0,24.0,14.0,3,-1,0,0,17,335.5,19.7,96.1%,431.67999999999995
247,A.J. Brown,88.0,145,1496.0,17.0,78.0,23.0,11.0,0,0,0,2,17,299.6,17.6,99.0%,422.95000000000005
246,Stefon Diggs,110.0,156,1455.0,13.2,53.0,17.0,11.0,1,-3,0,0,17,321.2,18.9,82.2%,416.73
245,CeeDee Lamb,107.0,156,1359.0,12.7,39.0,24.0,9.0,10,47,0,0,17,301.6,17.7,98.7%,389.9049999999999
244,Jaylen Waddle,75.0,117,1356.0,18.1,84.0,21.0,8.0,3,26,0,1,17,259.2,15.2,88.0%,382.465
243,DeVonta Smith,95.0,136,1196.0,12.6,45.0,18.0,7.0,0,0,0,1,17,254.6,15.0,91.9%,343.94
242,Amon-Ra St. Brown,106.0,146,1161.0,11.0,49.0,11.0,6.0,9,95,0,0,16,267.6,16.7,99.1%,338.0
241,Terry McLaurin,77.0,120,1191.0,15.5,52.0,16.0,5.0,7,29,0,0,17,229.0,13.5,97.5%,336.325
240,Amari Cooper,78.0,132,1160.0,14.9,55.0,18.0,9.0,0,0,0,0,17,247.0,14.5,25.6%,331.33500000000004
239,Mike Evans,77.0,127,1124.0,14.6,63.0,19.0,6.0,0,0,0,0,15,225.4,15.0,97.3%,321.34
238,Christian Kirk,84.0,133,1108.0,13.2,49.0,18.0,8.0,5,11,0,1,17,241.9,14.2,47.6%,319.08
237,Garrett Wilson,83.0,147,1103.0,13.3,60.0,13.0,4.0,4,4,0,1,17,215.7,12.7,95.6%,316.095
236,Ja'Marr Chase,87.0,134,1046.0,12.0,60.0,13.0,9.0,5,8,0,2,13,242.4,18.6,99.0%,305.55
235,DK Metcalf,90.0,141,1048.0,11.6,54.0,11.0,6.0,0,0,0,2,17,226.8,13.3,95.0%,304.74
234,Chris Godwin,104.0,142,1023.0,9.8,44.0,10.0,3.0,3,5,0,2,15,222.8,14.9,89.3%,300.52
233,Tee Higgins,75.0,110,1042.0,13.9,59.0,14.0,7.0,0,0,0,0,15,223.2,14.9,97.5%,299.63499999999993
232,Tyler Lockett,84.0,117,1033.0,12.3,40.0,14.0,9.0,0,0,0,2,16,237.3,14.8,17.8%,299.395
231,Chris Olave,72.0,119,1042.0,14.5,53.0,13.0,4.0,0,0,0,2,15,198.2,13.2,87.9%,296.475
230,Brandon Aiyuk,78.0,114,1015.0,13.0,54.0,17.0,8.0,2,23,0,1,17,227.8,13.4,72.1%,294.09999999999997
229,Jerry Jeudy,67.0,100,972.0,14.5,67.0,14.0,6.0,4,40,0,0,15,204.2,13.6,88.8%,279.72499999999997
228,Michael Pittman Jr.,99.0,141,925.0,9.3,28.0,8.0,4.0,3,30,0,1,16,216.5,13.5,72.6%,272.895
227,JuJu Smith-Schuster,78.0,101,933.0,12.0,53.0,9.0,3.0,0,0,0,2,16,185.3,11.6,1.9%,270.05
226,DJ Moore,63.0,118,888.0,14.1,62.0,17.0,7.0,10,53,0,0,17,199.1,11.7,94.2%,257.565
225,Diontae Johnson,86.0,147,882.0,10.3,37.0,7.0,0.0,7,25,0,0,17,180.7,10.6,17.8%,256.54499999999996
224,Mike Williams,63.0,93,895.0,14.2,55.0,11.0,4.0,0,0,0,0,13,176.5,13.6,14.4%,256.53000000000003
223,Drake London,72.0,117,866.0,12.0,40.0,10.0,4.0,0,0,0,3,17,178.6,10.5,97.6%,250.5
222,Zay Jones,82.0,121,823.0,10.0,59.0,7.0,5.0,4,18,0,0,16,198.1,12.4,2.0%,245.04999999999998
221,Gabe Davis,48.0,93,836.0,17.4,98.0,11.0,7.0,0,0,0,1,15,171.6,11.4,13.0%,242.81000000000003
220,Cooper Kupp,75.0,98,812.0,10.8,75.0,11.0,6.0,9,52,1,1,9,201.4,22.4,87.4%,242.47
219,Donovan Peoples-Jones,61.0,96,839.0,13.8,42.0,14.0,3.0,1,2,0,1,17,167.1,9.8,0.0%,240.26999999999998
218,Courtland Sutton,64.0,109,829.0,13.0,51.0,11.0,2.0,1,5,0,0,15,159.4,10.6,91.2%,238.79999999999998
217,Jakobi Meyers,67.0,96,804.0,12.0,48.0,14.0,6.0,2,-11,0,2,14,180.3,12.9,84.5%,235.45000000000002
216,Allen Lazard,60.0,100,788.0,13.1,47.0,13.0,6.0,2,0,0,0,15,174.8,11.7,5.1%,228.965
215,George Pickens,52.0,84,801.0,15.4,42.0,17.0,4.0,3,24,1,0,17,166.5,9.8,91.0%,228.65999999999997
214,Tyler Boyd,59.0,83,776.0,13.2,60.0,10.0,6.0,0,0,0,0,17,175.5,10.3,2.0%,226.63
213,Joshua Palmer,72.0,107,769.0,10.7,50.0,7.0,3.0,1,4,0,0,16,169.3,10.6,22.8%,226.25499999999997
212,Keenan Allen,66.0,89,752.0,11.4,46.0,7.0,4.0,1,8,0,1,10,164.0,16.4,31.8%,220.10999999999999
211,Adam Thielen,70.0,107,716.0,10.2,36.0,7.0,6.0,1,4,0,0,17,180.0,10.6,50.1%,212.32999999999998
210,Marquise Brown,67.0,107,709.0,10.6,47.0,9.0,3.0,1,1,0,0,12,156.0,13.0,60.4%,209.39
209,DeAndre Hopkins,64.0,96,717.0,11.2,33.0,8.0,3.0,0,0,0,1,9,151.7,16.9,28.0%,208.93000000000004
208,Darius Slayton,46.0,71,724.0,15.7,55.0,12.0,2.0,0,0,0,1,13,128.4,9.9,13.8%,207.15499999999997
207,Brandin Cooks,57.0,93,699.0,12.3,44.0,13.0,3.0,2,7,0,0,13,145.6,11.2,11.6%,203.745
206,Mack Hollins,57.0,94,690.0,12.1,60.0,9.0,4.0,4,40,0,0,17,154.2,9.1,2.8%,203.165
205,Marquez Valdes-Scantling,42.0,81,687.0,16.4,57.0,13.0,2.0,1,-3,0,0,17,122.4,7.2,6.6%,196.91
204,Curtis Samuel,64.0,92,656.0,10.3,49.0,10.0,4.0,38,187,1,1,17,176.3,10.4,8.9%,195.845
203,K.J. Osborn,60.0,90,650.0,10.8,66.0,6.0,5.0,3,6,0,0,17,155.6,9.2,1.4%,194.82
