Rank,Player,Team Name,Score,FPTS,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,G,ROST,week,year
184,Tyler Bass,Buffalo Bills,18.2,9.0,2,4,50.0,22,1,1,0,0,0,3,3,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,1,2020
137,Dustin Hopkins,Cleveland Browns,21.94,10.0,2,3,66.7,40,0,0,1,1,0,3,3,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,1,2.2%,1,2020
138,Wil Lutz,Denver Broncos,28.6,10.0,2,2,100.0,29,0,2,0,0,0,4,4,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,34.5%,1,2020
139,Harrison Butker,Kansas City Chiefs,28.5,10.0,2,2,100.0,29,1,1,0,0,0,4,4,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,1,2020
350,Jake Elliott,Philadelphia Eagles,14.4,5.0,1,2,50.0,38,0,0,1,0,0,2,2,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,1,60.9%,1,2020
465,Brandon Mcmanus,Green Bay Packers,1.4,2.0,0,0,0.0,0,0,0,0,0,0,2,2,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,1,2020
466,Ka'Imi Fairbairn,Houston Texans,1.6,2.0,0,1,0.0,0,0,0,0,0,0,2,2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,65.3%,1,2020
81,Daniel Carlson,Las Vegas Raiders,29.9,12.0,2,2,100.0,54,0,1,0,0,1,4,4,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,14.9%,1,2020
400,Jason Sanders,Miami Dolphins,23.5,4.0,1,1,100.0,46,0,0,0,1,0,0,0,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,1,44.9%,1,2020
399,Graham Gano,New York Giants,23.6,4.0,1,1,100.0,21,0,1,0,0,0,1,1,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,2.6%,1,2020
181,Cairo Santos,Chicago Bears,27.8,9.0,2,2,100.0,35,0,1,1,0,0,3,3,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,1,15.2%,1,2020
182,Jason Myers,Seattle Seahawks,27.0,9.0,1,1,100.0,42,0,0,0,1,0,5,5,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,1,2020
82,Joey Slye,Tennessee Titans,30.5,12.0,3,3,100.0,47,0,0,1,2,0,1,2,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,2.1%,1,2020
183,Younghoe Koo,Atlanta Falcons,27.7,9.0,2,2,100.0,49,0,0,0,2,0,1,2,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,21.9%,1,2020
185,Chris Boswell,Pittsburgh Steelers,27.7,9.0,2,2,100.0,41,0,0,1,1,0,2,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,1,2020
274,Tyler Bass,Buffalo Bills,25.6,7.0,1,1,100.0,39,0,0,1,0,0,4,4,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,2,2020
272,Graham Gano,New York Giants,19.84,7.0,2,3,66.7,39,0,0,2,0,0,1,1,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,1,2.6%,2,2020
313,Chris Boswell,Pittsburgh Steelers,25.0,6.0,1,1,100.0,21,0,1,0,0,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,2,2020
111,Jason Sanders,Miami Dolphins,29.1,11.0,2,2,100.0,52,0,0,0,1,1,2,2,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,44.9%,2,2020
273,Jake Elliott,Philadelphia Eagles,26.3,7.0,2,2,100.0,38,0,0,2,0,0,1,1,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,1,60.9%,2,2020
84,Ka'Imi Fairbairn,Houston Texans,30.5,12.0,3,3,100.0,45,0,0,1,2,0,1,1,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,1,65.3%,2,2020
83,Daniel Carlson,Las Vegas Raiders,29.9,12.0,2,2,100.0,54,0,1,0,0,1,4,4,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,14.9%,2,2020
352,Joey Slye,Tennessee Titans,24.3,5.0,1,1,100.0,23,0,1,0,0,0,2,2,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,2.1%,2,2020
13,Younghoe Koo,Atlanta Falcons,34.8,17.0,4,4,100.0,42,0,1,1,2,0,3,3,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,1,21.9%,2,2020
437,Dustin Hopkins,Cleveland Browns,22.9,3.0,1,1,100.0,24,0,1,0,0,0,0,0,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,2.2%,2,2020
62,Harrison Butker,Kansas City Chiefs,31.2,13.0,3,3,100.0,58,0,0,1,0,2,0,1,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,2,2020
353,Jason Myers,Seattle Seahawks,3.5,5.0,0,0,0.0,0,0,0,0,0,0,5,5,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,2,2020
225,Brandon Mcmanus,Green Bay Packers,20.64,8.0,2,3,66.7,49,0,1,0,1,0,1,1,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,2,2020
312,Wil Lutz,Denver Broncos,24.9,6.0,1,1,100.0,31,0,0,1,0,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,34.5%,2,2020
