Rank,Player,ATT,Rush Yds,Y/A,LG,20+,Rush TD,REC,TGT,Rec Yds,Y/R,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
83,Travis Homer,3,-1,-0.3,1,0,0,2,2,4,2.0,0,0,1,0.3,0.3,0.6%,CHI,chicago_bears,2020,1,0.16,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
125,Michael Burton,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,DEN,denver_broncos,2020,1,0.0,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Denver Broncos
5,Raheem Mostert,15,56,3.7,14,0,0,4,5,95,23.8,1,0,1,21.1,21.1,15.9%,LV,las_vegas_raiders,2020,1,38.2,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
7,Clyde Edwards-Helaire,25,138,5.5,27,1,1,0,2,0,0.0,0,0,1,19.8,19.8,3.2%,NO,new_orleans_saints,2020,1,75.72,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
9,Alvin Kamara,12,16,1.3,6,0,1,5,8,51,10.2,1,0,1,18.7,18.7,95.0%,NO,new_orleans_saints,2020,1,18.84,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
13,J.K. Dobbins,7,22,3.1,12,0,2,0,0,0,0.0,0,0,1,14.2,14.2,61.1%,DEN,denver_broncos,2020,1,18.96,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Denver Broncos
14,Aaron Jones Sr.,16,66,4.1,15,0,1,4,6,10,2.5,0,0,1,13.6,13.6,90.3%,MIN,minnesota_vikings,2020,1,39.51,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Minnesota Vikings
111,Andrew Beck,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,NYJ,new_york_jets,2020,1,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,New York Jets
123,C.J. Ham,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.6%,MIN,minnesota_vikings,2020,1,0.0,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Minnesota Vikings
90,Rico Dowdle,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,41.4%,CAR,carolina_panthers,2020,1,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Carolina Panthers
89,Reggie Gilliam,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,BUF,buffalo_bills,2020,1,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
109,Alec Ingold,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.7%,MIA,miami_dolphins,2020,1,0.0,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,Miami Dolphins
15,Derrick Henry,31,116,3.7,13,0,0,3,3,15,5.0,0,0,1,13.1,13.1,98.7%,BAL,baltimore_ravens,2020,1,62.7,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
108,Jakob Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,HOU,houston_texans,2020,1,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
114,Ty Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,5.2%,BUF,buffalo_bills,2020,1,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
72,A.J. Dillon,2,14,7.0,8,0,0,0,0,0,0.0,0,0,1,1.4,1.4,5.6%,PHI,philadelphia_eagles,2020,1,8.25,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Philadelphia Eagles
97,Cordarrelle Patterson,4,19,4.8,13,0,0,1,1,12,12.0,0,0,1,0.0,0.0,1.0%,PIT,pittsburgh_steelers,2020,1,9.77,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
68,James Conner,6,9,1.5,3,0,0,2,4,8,4.0,0,0,1,1.7,1.7,92.9%,ARI,arizona_cardinals,2020,1,5.92,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Arizona Cardinals
34,Alexander Mattison,6,50,8.3,21,1,0,4,4,30,7.5,0,0,1,8.0,8.0,8.8%,MIA,miami_dolphins,2020,1,28.74,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,Miami Dolphins
2,Christian Mccaffrey,23,97,4.2,15,0,2,3,4,38,12.7,0,0,1,25.5,25.5,98.5%,SF,san_francisco_49ers,2020,1,60.43,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,San Francisco 49ers
51,Antonio Gibson,9,36,4.0,20,1,0,2,2,8,4.0,0,0,1,4.4,4.4,13.1%,NE,new_england_patriots,2020,1,20.1,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
104,Samaje Perine,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,3.6%,CIN,cincinnati_bengals,2020,1,0.0,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Cincinnati Bengals
128,Patrick Ricard,1,-1,-1.0,0,0,0,1,1,9,9.0,0,1,1,-1.2,-1.2,0.8%,BAL,baltimore_ravens,2020,1,-1.1,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
56,J.J. Taylor,4,28,7.0,11,0,0,1,1,4,4.0,0,0,1,3.2,3.2,0.6%,HOU,houston_texans,2020,1,15.75,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
55,Tony Pollard,2,10,5.0,6,0,0,2,3,22,11.0,0,0,1,3.2,3.2,88.8%,TEN,tennessee_titans,2020,1,7.25,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
26,Jonathan Taylor,9,22,2.4,9,0,0,6,6,67,11.2,0,0,1,8.9,8.9,98.3%,IND,indianapolis_colts,2020,1,16.21,TIAA Bank Field,Outdoor,Grass,16.0,1995.0,Jacksonville,FL,30.3239,-81.6373,Indianapolis Colts
27,Austin Ekeler,19,84,4.4,13,0,0,1,1,3,3.0,0,0,1,8.7,8.7,69.3%,WAS,washington_commanders,2020,1,44.81,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
28,Zack Moss,9,11,1.2,7,0,0,3,4,16,5.3,1,0,1,8.7,8.7,16.8%,CIN,cincinnati_bengals,2020,1,10.68,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Cincinnati Bengals
29,D'Andre Swift,3,8,2.7,6,0,1,3,5,15,5.0,0,0,1,8.3,8.3,89.4%,CHI,chicago_bears,2020,1,9.15,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
52,Cam Akers,14,39,2.8,6,0,0,1,1,4,4.0,0,0,1,4.3,4.3,2.9%,NO,new_orleans_saints,2020,1,21.62,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
1,Josh Jacobs,25,93,3.7,14,0,3,4,6,46,11.5,0,0,1,31.9,31.9,98.5%,GB,green_bay_packers,2020,1,62.46,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Green Bay Packers
49,Nick Chubb,10,60,6.0,29,1,0,1,1,6,6.0,0,1,1,4.6,4.6,39.7%,HOU,houston_texans,2020,1,31.2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
33,Kareem Hunt,13,72,5.5,22,1,0,4,6,9,2.3,0,0,1,8.1,8.1,30.4%,KC,kansas_city_chiefs,2020,1,38.98,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
41,Devin Singletary,9,30,3.3,12,0,0,5,7,23,4.6,0,0,1,5.3,5.3,8.8%,NYG,new_york_giants,2020,1,18.05,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,New York Giants
35,David Montgomery,13,64,4.9,10,0,0,1,3,10,10.0,0,0,1,7.4,7.4,94.0%,DET,detroit_lions,2020,1,34.64,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Detroit Lions
46,Kyle Juszczyk,1,7,7.0,7,0,0,1,2,41,41.0,0,0,1,4.8,4.8,1.3%,SF,san_francisco_49ers,2020,1,6.8,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,San Francisco 49ers
44,Joe Mixon,19,69,3.6,14,0,0,1,2,2,2.0,0,1,1,5.1,5.1,96.9%,HOU,houston_texans,2020,1,36.04,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
38,Saquon Barkley,15,6,0.4,7,0,0,6,9,60,10.0,0,0,1,6.6,6.6,99.0%,PHI,philadelphia_eagles,2020,1,8.16,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Philadelphia Eagles
103,Jeremy Mcnichols,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.8%,WAS,washington_commanders,2020,1,0.0,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
166,Clyde Edwards-Helaire,10,38,3.8,17,0,0,6,8,32,5.3,0,0,1,7.0,7.0,3.2%,NO,new_orleans_saints,2020,2,22.77,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,New Orleans Saints
165,D'Andre Swift,5,12,2.4,5,0,0,5,5,60,12.0,0,0,1,7.2,7.2,89.4%,CHI,chicago_bears,2020,2,10.36,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
162,Devin Singletary,10,56,5.6,18,0,0,2,3,20,10.0,0,0,1,7.6,7.6,8.8%,NYG,new_york_giants,2020,2,31.04,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,New York Giants
159,Derrick Henry,25,84,3.4,14,0,0,0,2,0,0.0,0,0,1,8.4,8.4,98.7%,BAL,baltimore_ravens,2020,2,45.01,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
253,J.J. Taylor,1,-1,-1.0,0,0,0,0,0,0,0.0,0,0,1,-0.1,-0.1,0.6%,HOU,houston_texans,2020,2,-0.55,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Houston Texans
158,Joe Mixon,16,46,2.9,9,0,0,4,4,40,10.0,0,0,1,8.6,8.6,96.9%,HOU,houston_texans,2020,2,27.43,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Houston Texans
167,Alec Ingold,0,0,0.0,0,0,0,2,2,5,2.5,1,0,1,6.5,6.5,0.7%,MIA,miami_dolphins,2020,2,3.45,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Miami Dolphins
152,Josh Jacobs,27,88,3.3,14,0,0,3,3,17,5.7,0,0,1,10.5,10.5,98.5%,GB,green_bay_packers,2020,2,48.34,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Green Bay Packers
151,Antonio Gibson,13,55,4.2,11,0,1,1,2,-3,-3.0,0,0,1,11.2,11.2,13.1%,NE,new_england_patriots,2020,2,32.78,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,New England Patriots
171,Jakob Johnson,0,0,0.0,0,0,0,1,1,1,1.0,1,0,1,6.1,6.1,0.0%,HOU,houston_texans,2020,2,3.15,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Houston Texans
145,Austin Ekeler,16,93,5.8,13,0,0,4,4,55,13.8,0,0,1,14.8,14.8,69.3%,WAS,washington_commanders,2020,2,52.12,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Washington Commanders
172,Reggie Gilliam,0,0,0.0,0,0,0,1,1,1,1.0,1,0,1,6.1,6.1,0.0%,BUF,buffalo_bills,2020,2,3.15,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
173,J.K. Dobbins,2,48,24.0,44,1,0,1,1,13,13.0,0,0,1,6.1,6.1,61.1%,DEN,denver_broncos,2020,2,28.55,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Denver Broncos
142,Raheem Mostert,8,92,11.5,80,1,1,2,2,15,7.5,0,0,1,16.7,16.7,15.9%,LV,las_vegas_raiders,2020,2,52.88,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
140,Jonathan Taylor,26,101,3.9,13,0,1,2,2,9,4.5,0,0,1,17.0,17.0,98.3%,IND,indianapolis_colts,2020,2,57.74,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
174,Patrick Ricard,0,0,0.0,0,0,0,1,1,1,1.0,1,0,1,6.1,6.1,0.8%,BAL,baltimore_ravens,2020,2,3.15,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
184,Zack Moss,8,37,4.6,14,0,0,0,0,0,0.0,0,0,1,3.7,3.7,16.8%,CIN,cincinnati_bengals,2020,2,19.99,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cincinnati Bengals
139,Miles Sanders,20,95,4.8,15,0,1,3,7,36,12.0,0,1,1,17.1,17.1,12.0%,DAL,dallas_cowboys,2020,2,54.62,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Dallas Cowboys
137,James Conner,16,106,6.6,59,1,1,2,2,15,7.5,0,0,1,18.1,18.1,92.9%,ARI,arizona_cardinals,2020,2,59.94,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Arizona Cardinals
135,David Montgomery,16,82,5.1,23,1,0,3,3,45,15.0,1,0,1,18.7,18.7,94.0%,DET,detroit_lions,2020,2,48.92,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Detroit Lions
134,Christian Mccaffrey,18,59,3.3,9,0,2,4,5,29,7.3,0,0,1,20.8,20.8,98.5%,SF,san_francisco_49ers,2020,2,40.44,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
