Rank,Player,REC,TGT,Rec Yds,Y/R,LG,20+,Rec TD,ATT,Rec Yds,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
41,Irv Smith Jr.,1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%,HOU,houston_texans,2020,1,6.62,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
2,Dallas Goedert,8,9,101,12.6,34,2,1,0,0,0,0,1,16.1,16.1,80.5%,PHI,philadelphia_eagles,2020,1,45.31,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Philadelphia Eagles
3,Noah Fant,5,6,81,16.2,31,1,1,0,0,0,0,1,14.1,14.1,17.3%,SEA,seattle_seahawks,2020,1,38.0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Seattle Seahawks
4,T.J. Hockenson,5,5,56,11.2,24,1,1,0,0,0,0,1,11.6,11.6,94.4%,MIN,minnesota_vikings,2020,1,28.55,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Minnesota Vikings
5,Travis Kelce,6,6,50,8.3,15,0,1,0,0,0,0,1,11.0,11.0,95.2%,KC,kansas_city_chiefs,2020,1,25.54,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
6,David Njoku,3,3,50,16.7,28,2,1,0,0,0,0,1,11.0,11.0,90.8%,CLE,cleveland_browns,2020,1,27.26,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Cleveland Browns
1,Mark Andrews,5,6,58,11.6,21,1,2,0,0,0,0,1,17.8,17.8,94.0%,BAL,baltimore_ravens,2020,1,33.65,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
106,James Winchester,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,KC,kansas_city_chiefs,2020,1,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
105,Tyler Ott,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WAS,washington_commanders,2020,1,0.0,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
10,Jonnu Smith,4,7,36,9.0,22,1,1,0,0,0,0,1,9.6,9.6,89.6%,PIT,pittsburgh_steelers,2020,1,21.27,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
100,Zach Wood,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.5%,NO,new_orleans_saints,2020,1,0.0,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
90,Ross Dwelley,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,SF,san_francisco_49ers,2020,1,0.0,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,San Francisco 49ers
88,Durham Smythe,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,CHI,chicago_bears,2020,1,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
