Rank,Player,REC,TGT,Rec Yds,Y/R,LG,20+,Rec TD,ATT,Rec Yds,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
75,Tim Patrick,4,5,29,7.3,15,0,0,0,0,0,0,1,2.9,2.9,3.0%,DET,detroit_lions,2020,1,11.24,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Detroit Lions
2,Adam Thielen,6,8,110,18.3,37,2,2,0,0,0,0,1,25.0,25.0,49.1%,CAR,carolina_panthers,2020,1,37.25,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Carolina Panthers
3,Calvin Ridley,9,12,130,14.4,22,1,2,1,-1,0,0,1,24.9,24.9,88.1%,TEN,tennessee_titans,2020,1,41.11,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
4,Darius Slayton,6,9,102,17.0,41,1,2,0,0,0,0,1,22.2,22.2,14.8%,NYG,new_york_giants,2020,1,35.35,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,New York Giants
1,Davante Adams,14,17,156,11.1,40,2,2,0,0,0,0,1,27.6,27.6,96.2%,LAR,los_angeles_rams,2020,1,50.76,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Los Angeles Rams
6,Juju Smith-Schuster,6,6,69,11.5,17,0,2,0,0,0,0,1,18.9,18.9,1.8%,KC,kansas_city_chiefs,2020,1,23.78,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
167,Kalif Raymond,0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%,DET,detroit_lions,2020,1,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Detroit Lions
165,Noah Brown,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.4%,WAS,washington_commanders,2020,1,0.0,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
9,Marquez Valdes-Scantling,4,6,96,24.0,45,2,1,0,0,0,0,1,15.6,15.6,8.2%,SEA,seattle_seahawks,2020,1,34.2,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Seattle Seahawks
10,Dk Metcalf,4,8,95,23.8,38,2,1,0,0,0,0,1,15.5,15.5,95.4%,PIT,pittsburgh_steelers,2020,1,33.22,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
11,Deandre Hopkins,14,16,151,10.8,33,1,0,0,0,0,0,1,15.1,15.1,27.9%,BAL,baltimore_ravens,2020,1,47.67,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
164,Zay Jones,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.6%,ARI,arizona_cardinals,2020,1,0.0,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Arizona Cardinals
13,Allen Lazard,4,4,63,15.8,38,1,1,1,19,0,0,1,14.2,14.2,6.3%,NYJ,new_york_jets,2020,1,23.92,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,New York Jets
14,Anthony Miller,4,6,76,19.0,27,1,1,0,0,0,0,1,13.6,13.6,0.0%,BAL,baltimore_ravens,2020,1,26.55,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
163,Mack Hollins,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.8%,NE,new_england_patriots,2020,1,0.0,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
153,Trent Sherfield Sr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,DEN,denver_broncos,2020,1,0.0,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Denver Broncos
17,Robert Woods,6,8,105,17.5,31,3,0,1,14,0,0,1,11.9,11.9,1.9%,PIT,pittsburgh_steelers,2020,1,34.38,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
18,Russell Gage Jr.,9,12,114,12.7,24,1,0,0,0,0,0,1,11.4,11.4,0.0%,SF,san_francisco_49ers,2020,1,36.06,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,San Francisco 49ers
149,Quinton Bell,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,MIA,miami_dolphins,2020,1,0.0,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,Miami Dolphins
147,Olamide Zaccheaus,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.1%,CHI,chicago_bears,2020,1,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
21,Laviska Shenault Jr.,3,4,37,12.3,18,0,1,2,10,0,0,1,10.7,10.7,0.1%,BUF,buffalo_bills,2020,1,14.45,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
22,Tyreek Hill,5,6,46,9.2,15,0,1,0,0,0,0,1,10.6,10.6,97.2%,MIA,miami_dolphins,2020,1,16.63,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,Miami Dolphins
23,Marquise Brown,5,6,101,20.2,47,2,0,0,0,0,0,1,10.1,10.1,57.9%,KC,kansas_city_chiefs,2020,1,34.93,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
146,Malik Taylor,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,DET,detroit_lions,2020,1,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Detroit Lions
144,Ashton Dulin,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,IND,indianapolis_colts,2020,1,0.0,TIAA Bank Field,Outdoor,Grass,16.0,1995.0,Jacksonville,FL,30.3239,-81.6373,Indianapolis Colts
26,Tyler Lockett,8,8,92,11.5,20,1,0,0,0,0,0,1,9.2,9.2,18.5%,TEN,tennessee_titans,2020,1,29.63,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
27,Stefon Diggs,8,9,86,10.8,22,1,0,0,0,0,0,1,8.6,8.6,84.7%,NE,new_england_patriots,2020,1,28.22,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
143,Jakobi Meyers,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,85.1%,LV,las_vegas_raiders,2020,1,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
142,Jamal Agnew,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,ATL,atlanta_falcons,2020,1,0.0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Atlanta Falcons
138,Ray-Ray Mccloud Iii,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,5.6%,ATL,atlanta_falcons,2020,1,0.0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Atlanta Falcons
131,Braxton Berrios,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,HOU,houston_texans,2020,1,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
32,Parris Campbell,6,9,71,11.8,21,1,0,1,9,0,0,1,8.0,8.0,0.1%,DAL,dallas_cowboys,2020,1,23.82,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Dallas Cowboys
130,Cedrick Wilson Jr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,NO,new_orleans_saints,2020,1,0.0,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
34,Chris Godwin,6,7,79,13.2,29,2,0,0,0,0,0,1,7.9,7.9,89.6%,TB,tampa_bay_buccaneers,2020,1,26.93,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,Tampa Bay Buccaneers
35,Scotty Miller,5,6,73,14.6,37,1,0,1,6,0,0,1,7.9,7.9,0.1%,PIT,pittsburgh_steelers,2020,1,25.99,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
