Year,Week,Rank,Player,Team,FPTS,Score,Y/A,FPTS/G,FPTS,Rush_TD,FL,ATT,REC,TGT,Y/R,Rush_Yds,LG,20+,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,1,James Conner,pittsburgh_steelers,28.9,78.8,4.3,28.9,28.9,2,1,31,5,6,11.4,132,22,1,2018-09-09,1:00PM,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577.0,1999.0,15.1,1.0,101.52,88.0,1016.5
2018,1,2,Todd Gurley,los_angeles_rams,20.7,62.06,5.4,20.7,20.7,0,0,20,3,5,13.0,108,23,1,2018-09-10,10:20PM,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001.0,2020.0,31.0,0.0,64.8,10.0,1004.2
2018,1,3,Saquon Barkley,new_york_giants,18.8,60.38,5.9,18.8,18.8,1,0,18,2,6,11.0,106,68,1,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,4,Isaiah Crowell,new_york_jets,22.2,60.33,10.2,22.2,22.2,2,0,10,0,0,0.0,102,62,1,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,5,Adrian Peterson,unknown,20.6,57.16,3.7,20.6,20.6,1,1,26,2,3,35.0,96,17,0,,,,,,,,,,,,,,,,
2018,1,6,Joe Mixon,cincinnati_bengals,20.9,56.64,5.6,20.9,20.9,1,0,17,5,7,10.8,95,27,1,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,7,Lamar Miller,houston_texans,10.9,52.39,4.9,10.9,10.9,0,0,20,1,2,11.0,98,31,1,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,8,Dion Lewis,tennessee_titans,17.0,45.46,4.7,17.0,17.0,1,0,16,5,8,7.0,75,26,1,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
2018,1,9,Jordan Howard,chicago_bears,10.7,45.08,5.5,10.7,10.7,0,0,15,5,5,5.0,82,16,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,10,Phillip Lindsay,denver_broncos,16.2,42.46,4.7,16.2,16.2,0,0,15,2,3,15.5,71,14,0,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
