Year,Week,Rank,Player,Team,FPTS,Score,FPTS/G,FPTS,FL,ATT,REC,TGT,Y/R,20+,Rec_Yds,Rec_TD,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,1,Michael Thomas,new_orleans_saints,22.0,52.9,22.0,22.0,1,0,16,17,11.3,2,180,1,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,2,Michael Thomas,new_york_giants,22.0,52.9,22.0,22.0,1,0,16,17,11.3,2,180,1,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,3,Tyreek Hill,kansas_city_chiefs,29.3,49.82,29.3,29.3,0,2,7,8,24.1,5,169,2,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,4,Julio Jones,atlanta_falcons,18.0,48.58,18.0,18.0,0,1,10,19,16.9,3,169,0,2018-09-06,8:20PM,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30.0,2003.0,28.6,0.2,18.0,69.0,1019.2
2018,1,5,Desean Jackson,tampa_bay_buccaneers,26.6,43.93,26.6,26.6,0,0,5,5,29.2,3,146,2,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,6,Mike Evans,tampa_bay_buccaneers,20.7,43.15,20.7,20.7,0,0,7,7,21.0,3,147,1,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,7,Randall Cobb,green_bay_packers,20.2,41.72,20.2,20.2,0,0,9,10,15.8,2,142,1,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,8,Emmanuel Sanders,denver_broncos,19.5,39.98,19.5,19.5,0,0,10,11,13.5,2,135,1,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,9,Juju Smith-Schuster,pittsburgh_steelers,11.9,35.27,11.9,11.9,0,0,5,8,23.8,2,119,0,2018-09-09,1:00PM,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577.0,1999.0,15.1,1.0,101.52,88.0,1016.5
2018,1,10,Kenny Golladay,detroit_lions,11.4,33.6,11.4,11.4,0,0,7,12,16.3,2,114,0,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,11,Odell Beckham,new_york_giants,11.0,33.32,11.0,11.0,0,1,11,15,10.1,2,111,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,12,Kenny Stills,miami_dolphins,22.6,32.98,22.6,22.6,0,0,4,5,26.5,1,106,2,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
2018,1,13,Keenan Allen,los_angeles_chargers,16.8,32.62,16.8,16.8,0,0,8,11,13.5,3,108,1,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,14,Jarvis Landry,cleveland_browns,10.6,31.42,10.6,10.6,0,0,7,15,15.1,2,106,0,2018-09-09,1:00PM,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577.0,1999.0,15.1,1.0,101.52,88.0,1016.5
2018,1,15,Adam Thielen,minnesota_vikings,10.2,30.25,10.2,10.2,0,0,6,12,17.0,1,102,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,16,Antonio Brown,pittsburgh_steelers,15.3,28.54,15.3,15.3,0,0,9,16,10.3,1,93,1,2018-09-09,1:00PM,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577.0,1999.0,15.1,1.0,101.52,88.0,1016.5
2018,1,17,Aj Green,cincinnati_bengals,13.2,27.9,13.2,13.2,1,0,6,8,15.3,1,92,1,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,18,Davante Adams,green_bay_packers,14.8,26.99,14.8,14.8,0,0,5,8,17.6,1,88,1,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,19,Brandin Cooks,los_angeles_rams,9.3,26.31,9.3,9.3,0,1,5,8,17.4,2,87,0,2018-09-10,10:20PM,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001.0,2020.0,31.0,0.0,64.8,10.0,1004.2
2018,1,20,Mike Williams,los_angeles_chargers,8.1,24.63,8.1,8.1,0,0,5,6,16.2,2,81,0,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
