Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score,week,year,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name,stadium_id,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,away_team_name
5,Tyler Bass,2.0,3.0,66.7,50,0.0,0.0,0.0,1.0,1.0,6,6,1,15.0,15.0,60.9%,25.44,15,2023,2,K,ACT,0,183,6,Georgia Southern,BUF,buffalo_bills,buffalo_bills,Highmark Stadium,Orchard Park,NY,42.7738,-78.7868,Outdoor,Grass,600,1973,
31,Younghoe Koo,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,21.9%,0.0,17,2023,6,K,ACT,0,195,8,Georgia Southern,ATL,atlanta_falcons,atlanta_falcons,Mercedes-Benz Stadium,Atlanta,GA,33.755,-84.4008,Indoor,Turf,1050,2017,new_orleans_saints
21,Chase Mclaughlin,1.0,1.0,100.0,45,0.0,0.0,0.0,1.0,0.0,3,3,1,7.0,7.0,70.7%,25.6,16,2023,4,K,ACT,0,190,7,Illinois,TB,tampa_bay_buccaneers,tampa_bay_buccaneers,Raymond James Stadium,Tampa,FL,27.9759,-82.5033,Outdoor,Grass,26,1998,new_orleans_saints
3,Daniel Carlson,4.0,4.0,100.0,53,0.0,1.0,1.0,0.0,2.0,2,2,1,18.0,18.0,15.3%,35.5,2,2023,8,K,ACT,0,215,8,Auburn,LV,las_vegas_raiders,las_vegas_raiders,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001,2020,buffalo_bills
7,Cam Little,2.0,2.0,100.0,52,0.0,0.0,0.0,1.0,1.0,2,2,1,11.0,11.0,4.6%,29.1,4,2023,39,K,ACT,0,172,2,Arkansas,JAX,jacksonville_jaguars,jacksonville_jaguars,TIAA Bank Field,Jacksonville,FL,30.3239,-81.6373,Outdoor,Grass,16,1995,
18,Jake Bates,1.0,1.0,100.0,27,0.0,1.0,0.0,0.0,0.0,3,3,1,6.0,6.0,92.5%,25.0,9,2023,39,K,ACT,0,202,2,Arkansas,DET,detroit_lions,detroit_lions,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600,2002,
18,Justin Tucker,2.0,3.0,66.7,32,0.0,1.0,1.0,0.0,0.0,2,2,1,8.0,8.0,12.5%,20.64,1,2023,,,,,,,,,,,,,,,,,,,,
27,Harrison Butker,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,69.5%,0.0,14,2023,7,K,ACT,0,205,9,Georgia Tech,KC,kansas_city_chiefs,kansas_city_chiefs,GEHA Field at Arrowhead Stadium,Kansas City,MO,39.049,-94.4839,Outdoor,Grass,1020,1972,
9,Jason Sanders,2.0,2.0,100.0,39,0.0,1.0,1.0,0.0,0.0,3,3,1,9.0,9.0,45.6%,27.8,9,2023,7,K,ACT,0,195,8,New Mexico,MIA,miami_dolphins,miami_dolphins,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7,1987,
22,Cam Little,2.0,3.0,66.7,33,0.0,0.0,2.0,0.0,0.0,0,0,1,6.0,6.0,4.6%,19.14,13,2023,39,K,ACT,0,172,2,Arkansas,JAX,jacksonville_jaguars,jacksonville_jaguars,TIAA Bank Field,Jacksonville,FL,30.3239,-81.6373,Outdoor,Grass,16,1995,cleveland_browns
3,Blake Grupe,4.0,4.0,100.0,57,0.0,0.0,1.0,1.0,2.0,5,5,1,22.0,22.0,3.2%,38.2,1,2023,19,K,ACT,0,156,3,Notre Dame,NO,new_orleans_saints,new_orleans_saints,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3,1975,
3,Ka'Imi Fairbairn,3.0,4.0,75.0,56,0.0,1.0,1.0,0.0,1.0,2,2,1,13.0,13.0,65.1%,26.5,10,2023,15,K,ACT,0,183,10,UCLA,HOU,houston_texans,houston_texans,NRG Stadium,Houston,TX,29.6847,-95.4107,Indoor,Turf,50,2002,
14,Blake Grupe,2.0,3.0,66.7,54,0.0,0.0,0.0,0.0,2.0,0,0,1,10.0,10.0,3.2%,21.94,13,2023,19,K,ACT,0,156,3,Notre Dame,NO,new_orleans_saints,new_orleans_saints,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3,1975,
18,Jake Moody,1.0,2.0,50.0,26,0.0,1.0,0.0,0.0,0.0,3,3,1,6.0,6.0,12.5%,15.2,3,2023,4,K,ACT,0,210,3,Michigan,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,
16,Joey Slye,1.0,2.0,50.0,52,0.0,0.0,0.0,0.0,1.0,2,2,1,7.0,7.0,2.2%,15.8,9,2023,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,tampa_bay_buccaneers
18,Matt Gay,2.0,2.0,100.0,26,0.0,2.0,0.0,0.0,0.0,2,2,1,8.0,8.0,16.3%,27.2,6,2023,16,K,ACT,0,232,7,Utah,WAS,washington_commanders,washington_commanders,FedExField,Landover,MD,38.9078,-76.8645,Outdoor,Grass,300,1997,
6,Chad Ryland,3.0,3.0,100.0,49,0.0,0.0,1.0,2.0,0.0,3,3,1,14.0,14.0,3.7%,31.9,15,2023,38,K,ACT,0,195,3,Maryland,ARI,arizona_cardinals,arizona_cardinals,State Farm Stadium,Glendale,AZ,33.5275,-112.2625,Indoor,Turf,1070,2006,chicago_bears
4,Ka'Imi Fairbairn,3.0,3.0,100.0,59,0.0,0.0,0.0,1.0,2.0,2,2,1,16.0,16.0,65.1%,33.3,5,2023,15,K,ACT,0,183,10,UCLA,HOU,houston_texans,houston_texans,NRG Stadium,Houston,TX,29.6847,-95.4107,Indoor,Turf,50,2002,atlanta_falcons
22,Greg Zuerlein,1.0,1.0,100.0,32,0.0,0.0,1.0,0.0,0.0,2,2,1,5.0,5.0,1.3%,24.2,5,2023,,,,,,,,,,,,,,,,,,,,
19,Chad Ryland,1.0,2.0,50.0,28,0.0,1.0,0.0,0.0,0.0,1,1,1,4.0,4.0,3.7%,13.8,14,2023,38,K,ACT,0,195,3,Maryland,ARI,arizona_cardinals,arizona_cardinals,State Farm Stadium,Glendale,AZ,33.5275,-112.2625,Indoor,Turf,1070,2006,san_francisco_49ers
