Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score,week
67.0,Chris Boswell,6.0,6.0,100.0,57,0.0,1.0,0.0,2.0,3.0,0,0,1,26.0,26.0,72.5%,42.5,1
67.0,Jake Moody,6.0,6.0,100.0,53,0.0,1.0,1.0,2.0,2.0,2,2,1,26.0,26.0,12.5%,42.5,1
66.0,Blake Grupe,4.0,4.0,100.0,57,0.0,0.0,1.0,1.0,2.0,5,5,1,22.0,22.0,3.8%,38.2,1
65.0,Brandon Aubrey,4.0,4.0,100.0,57,0.0,0.0,0.0,2.0,2.0,3,3,1,21.0,21.0,96.6%,37.49999999999999,1
64.0,Ka'imi Fairbairn,3.0,3.0,100.0,51,0.0,0.0,0.0,0.0,3.0,2,2,1,17.0,17.0,64.5%,34.0,1
63.0,Chase McLaughlin,3.0,3.0,100.0,56,0.0,1.0,1.0,0.0,1.0,4,4,1,15.0,15.0,70.4%,32.7,1
62.0,Cairo Santos,3.0,3.0,100.0,50,0.0,1.0,0.0,1.0,1.0,1,1,1,13.0,13.0,16.2%,31.3,1
61.0,Cameron Dicker,3.0,3.0,100.0,53,0.0,2.0,0.0,0.0,1.0,1,1,1,12.0,12.0,91.7%,30.700000000000003,1
60.0,Wil Lutz,3.0,3.0,100.0,45,0.0,0.0,2.0,1.0,0.0,1,1,1,11.0,11.0,35.8%,29.8,1
59.0,Joey Slye,3.0,3.0,100.0,37,0.0,0.0,3.0,0.0,0.0,1,1,1,10.0,10.0,2.7%,29.1,1
57.0,Jake Elliott,2.0,2.0,100.0,38,0.0,1.0,1.0,0.0,0.0,4,4,1,10.0,10.0,60.6%,28.5,1
57.0,Jason Myers,2.0,2.0,100.0,50,0.0,1.0,0.0,0.0,1.0,2,2,1,10.0,10.0,9.6%,28.5,1
56.0,Tyler Bass,2.0,2.0,100.0,39,0.0,0.0,2.0,0.0,0.0,4,4,1,10.0,10.0,60.3%,28.4,1
55.0,Joshua Karty,2.0,2.0,100.0,41,0.0,1.0,0.0,1.0,0.0,2,2,1,9.0,9.0,12.1%,27.8,1
54.0,Harrison Butker,2.0,2.0,100.0,32,0.0,0.0,2.0,0.0,0.0,3,3,1,9.0,9.0,69.9%,27.7,1
51.0,Graham Gano,2.0,2.0,100.0,50,0.0,1.0,0.0,0.0,1.0,0,0,1,8.0,8.0,3.3%,27.099999999999998,1
51.0,Jake Bates,2.0,2.0,100.0,32,0.0,1.0,1.0,0.0,0.0,2,2,1,8.0,8.0,92.2%,27.099999999999998,1
51.0,Matt Prater,2.0,2.0,100.0,31,0.0,1.0,1.0,0.0,0.0,2,2,1,8.0,8.0,0.9%,27.099999999999998,1
49.0,Cam Little,1.0,1.0,100.0,53,0.0,0.0,0.0,0.0,1.0,2,2,1,7.0,7.0,5.2%,25.600000000000005,1
49.0,Dustin Hopkins,1.0,1.0,100.0,51,0.0,0.0,0.0,0.0,1.0,2,2,1,7.0,7.0,2.7%,25.600000000000005,1
48.0,Brayden Narveson,3.0,4.0,75.0,31,0.0,2.0,1.0,0.0,0.0,2,2,1,11.0,11.0,0.7%,25.2,1
46.0,Evan McPherson,1.0,1.0,100.0,51,0.0,0.0,0.0,0.0,1.0,1,1,1,6.0,6.0,45.5%,24.900000000000002,1
46.0,Nick Folk,1.0,1.0,100.0,40,0.0,0.0,0.0,1.0,0.0,2,2,1,6.0,6.0,1.0%,24.900000000000002,1
