Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,R_YDS,Y/R,R_TD,FL,G,FPTS,FPTS/G,ROST,Score,week
242.0,De'Von Achane,10.0,24.0,2.4,9,0,1.0,7.0,7,76.0,10.9,0.0,0.0,1,23.0,23.0,97.9%,50.260000000000005,1
241.0,Rachaad White,15.0,31.0,2.1,15,0,0.0,6.0,6,75.0,12.5,0.0,0.0,1,16.6,16.6,73.8%,47.565000000000005,1
240.0,Joe Mixon,30.0,159.0,5.3,13,0,1.0,3.0,3,19.0,6.3,0.0,0.0,1,26.8,26.8,96.9%,42.045,1
239.0,Saquon Barkley,24.0,109.0,4.5,34,1,2.0,2.0,2,23.0,11.5,1.0,0.0,1,33.2,33.2,99.0%,41.72500000000001,1
238.0,Brian Robinson Jr.,12.0,40.0,3.3,7,0,1.0,3.0,4,49.0,16.3,0.0,0.0,1,17.9,17.9,86.6%,37.095,1
237.0,Bijan Robinson,18.0,68.0,3.8,13,0,0.0,5.0,5,43.0,8.6,0.0,0.0,1,16.1,16.1,98.7%,37.07,1
236.0,Breece Hall,16.0,54.0,3.4,16,0,1.0,5.0,6,39.0,7.8,0.0,1.0,1,18.3,18.3,96.7%,34.71000000000001,1
235.0,Alvin Kamara,15.0,83.0,5.5,17,0,1.0,5.0,5,27.0,5.4,0.0,0.0,1,22.0,22.0,94.9%,34.37500000000001,1
234.0,James Conner,16.0,50.0,3.1,20,1,1.0,3.0,4,33.0,11.0,0.0,0.0,1,19.3,19.3,92.8%,31.965000000000003,1
233.0,Jordan Mason,28.0,147.0,5.3,24,1,1.0,1.0,1,5.0,5.0,0.0,0.0,1,22.2,22.2,68.3%,31.845000000000006,1
232.0,Alexander Mattison,5.0,19.0,3.8,7,0,0.0,4.0,6,43.0,10.8,1.0,0.0,1,16.2,16.2,8.8%,31.22,1
231.0,James Cook,19.0,71.0,3.7,15,0,0.0,3.0,3,32.0,10.7,0.0,0.0,1,13.3,13.3,97.7%,30.905,1
230.0,Austin Ekeler,2.0,10.0,5.0,6,0,0.0,4.0,4,52.0,13.0,0.0,0.0,1,10.2,10.2,69.1%,30.849999999999998,1
229.0,Justice Hill,1.0,3.0,3.0,3,0,0.0,6.0,8,52.0,8.7,0.0,0.0,1,11.5,11.5,21.4%,30.600000000000005,1
228.0,J.K. Dobbins,10.0,135.0,13.5,61,2,1.0,3.0,3,4.0,1.3,0.0,0.0,1,22.9,22.9,58.0%,30.175,1
227.0,Jahmyr Gibbs,11.0,40.0,3.6,8,0,1.0,4.0,6,34.0,8.5,0.0,0.0,1,17.4,17.4,99.0%,30.14,1
226.0,Isiah Pacheco,15.0,45.0,3.0,5,0,1.0,2.0,3,33.0,16.5,0.0,0.0,1,15.8,15.8,90.6%,29.5,1
225.0,Rhamondre Stevenson,25.0,120.0,4.8,17,0,1.0,3.0,3,6.0,2.0,0.0,0.0,1,21.6,21.6,83.1%,29.12,1
