Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,R_YDS,R_TD,FL,G,FPTS,FPTS/G,ROST,Score,week
430.0,Jayden Reed,4.0,6,138.0,34.5,70,3,1.0,1.0,33.0,1.0,0,1,33.1,33.1,83.7%,62.919999999999995,1
429.0,Cooper Kupp,14.0,21,110.0,7.9,21,2,1.0,2.0,10.0,0.0,0,1,32.0,32.0,88.1%,56.300000000000004,1
428.0,Tyreek Hill,7.0,12,130.0,18.6,80,2,1.0,0.0,0.0,0.0,0,1,26.0,26.0,97.1%,53.55,1
427.0,Jameson Williams,5.0,9,121.0,24.2,52,3,1.0,1.0,13.0,0.0,0,1,24.4,24.4,91.0%,50.82999999999999,1
426.0,A.J. Brown,5.0,10,119.0,23.8,67,2,1.0,0.0,0.0,0.0,0,1,22.9,22.9,99.0%,47.93,1
425.0,Alec Pierce,3.0,3,125.0,41.7,60,2,1.0,0.0,0.0,0.0,0,1,21.5,21.5,23.1%,47.75,1
424.0,Allen Lazard,6.0,9,89.0,14.8,36,2,2.0,0.0,0.0,0.0,0,1,26.9,26.9,6.6%,43.980000000000004,1
423.0,Nico Collins,6.0,8,117.0,19.5,55,1,0.0,0.0,0.0,0.0,0,1,17.7,17.7,98.8%,43.74,1
422.0,Jaylen Waddle,5.0,5,109.0,21.8,63,2,0.0,1.0,3.0,0.0,0,1,16.2,16.2,89.0%,40.69,1
421.0,Rashee Rice,7.0,9,103.0,14.7,33,1,0.0,0.0,0.0,0.0,0,1,17.3,17.3,93.5%,40.309999999999995,1
420.0,Chris Godwin,8.0,8,83.0,10.4,24,1,1.0,0.0,0.0,0.0,0,1,22.3,22.3,89.2%,39.559999999999995,1
419.0,DeVonta Smith,7.0,8,84.0,12.0,25,1,0.0,0.0,0.0,0.0,0,1,15.4,15.4,92.8%,34.23,1
418.0,Mike Evans,5.0,6,61.0,12.2,24,1,2.0,0.0,0.0,0.0,0,1,23.1,23.1,97.3%,33.97,1
417.0,George Pickens,6.0,7,85.0,14.2,40,2,0.0,1.0,-10.0,0.0,0,1,13.5,13.5,91.4%,31.850000000000005,1
416.0,Deebo Samuel Sr.,5.0,9,54.0,10.8,25,1,0.0,8.0,23.0,1.0,0,1,18.7,18.7,87.3%,31.14,1
415.0,Rashid Shaheed,3.0,5,73.0,24.3,59,1,1.0,0.0,0.0,0.0,0,1,16.3,16.3,67.3%,31.11,1
414.0,Tyler Lockett,6.0,7,77.0,12.8,19,0,0.0,0.0,0.0,0.0,0,1,13.7,13.7,17.8%,30.94,1
413.0,Tyler Johnson,5.0,7,79.0,15.8,63,1,0.0,0.0,0.0,0.0,0,1,12.9,12.9,0.6%,30.53,1
412.0,Xavier Worthy,2.0,3,47.0,23.5,35,1,1.0,1.0,21.0,1.0,0,1,20.8,20.8,94.1%,29.660000000000004,1
411.0,CeeDee Lamb,5.0,10,61.0,12.2,34,1,0.0,3.0,25.0,0.0,0,1,13.6,13.6,98.7%,29.17,1
410.0,Justin Jefferson,4.0,6,59.0,14.8,44,1,1.0,0.0,0.0,0.0,0,1,15.9,15.9,99.0%,27.679999999999996,1
409.0,Stefon Diggs,6.0,6,33.0,5.5,10,0,2.0,1.0,6.0,0.0,0,1,21.9,21.9,83.9%,27.130000000000003,1
408.0,Malik Nabers,5.0,7,66.0,13.2,25,2,0.0,0.0,0.0,0.0,0,1,11.6,11.6,98.7%,26.37,1
